,Report_Date,France_st martin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
37,2020-02-28,0,71.25796749497619,19.69790802123686,True,38,0.18189000159857543,38.685487560049594
38,2020-02-29,0,71.25796749497619,19.69790802123686,True,39,0.21361166204769702,38.685487560049594
39,2020-03-01,0,71.25796749497619,19.69790802123686,True,40,0.25083020088415686,38.685487560049594
40,2020-03-02,0,71.25796749497619,19.69790802123686,True,41,0.2944847583180688,38.685487560049594
41,2020-03-03,0,71.25796749497619,19.69790802123686,True,42,0.34566987590947595,38.685487560049594
42,2020-03-04,0,71.25796749497619,19.69790802123686,True,43,0.4056593057712528,38.685487560049594
43,2020-03-05,0,71.25796749497619,19.69790802123686,True,44,0.47593274231983085,38.685487560049594
44,2020-03-06,0,71.25796749497619,19.69790802123686,True,45,0.5582055474693296,38.685487560049594
45,2020-03-07,0,71.25796749497619,19.69790802123686,True,46,0.6544614056036099,38.685487560049594
46,2020-03-08,0,71.25796749497619,19.69790802123686,True,47,0.7669876428474286,38.685487560049594
47,2020-03-09,2,71.25796749497619,19.69790802123686,True,48,0.898412654564664,38.685487560049594
48,2020-03-10,2,71.25796749497619,19.69790802123686,True,49,1.0517444802477138,38.685487560049594
49,2020-03-11,2,71.25796749497619,19.69790802123686,True,50,1.2304090177654308,38.685487560049594
50,2020-03-12,2,71.25796749497619,19.69790802123686,True,51,1.438285650607973,38.685487560049594
51,2020-03-13,2,71.25796749497619,19.69790802123686,True,52,1.6797371478705685,38.685487560049594
52,2020-03-14,2,71.25796749497619,19.69790802123686,True,53,1.9596295751035462,38.685487560049594
53,2020-03-15,2,71.25796749497619,19.69790802123686,True,54,2.2833366374686843,38.685487560049594
54,2020-03-16,2,71.25796749497619,19.69790802123686,True,55,2.65672142034184,38.685487560049594
55,2020-03-17,2,71.25796749497619,19.69790802123686,True,56,3.086087018627892,38.685487560049594
56,2020-03-18,3,71.25796749497619,19.69790802123686,True,57,3.578086271191446,38.685487560049594
57,2020-03-19,4,71.25796749497619,19.69790802123686,True,58,4.1395800793569295,38.685487560049594
58,2020-03-20,4,71.25796749497619,19.69790802123686,True,59,4.777434065096046,38.685487560049594
59,2020-03-21,4,71.25796749497619,19.69790802123686,True,60,5.498245219114775,38.685487560049594
60,2020-03-22,5,71.25796749497619,19.69790802123686,True,61,6.307994370220343,38.685487560049594
61,2020-03-23,8,71.25796749497619,19.69790802123686,True,62,7.211627369440686,38.685487560049594
62,2020-03-24,8,71.25796749497619,19.69790802123686,True,63,8.212578112687494,38.685487560049594
63,2020-03-25,11,71.25796749497619,19.69790802123686,True,64,9.312259589709091,38.685487560049594
