,Report_Date,Liberia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,0,92.88225366007484,108.70076985684598,True,35,0.16635507119849993,177.80730388871893
35,2020-02-26,0,92.88225366007484,108.70076985684598,True,36,0.1882884974224854,177.80730388871893
36,2020-02-27,0,92.88225366007484,108.70076985684598,True,37,0.21311094434511343,177.80730388871893
37,2020-02-28,0,92.88225366007484,108.70076985684598,True,38,0.24120214999768821,177.80730388871893
38,2020-02-29,0,92.88225366007484,108.70076985684598,True,39,0.2729915419205007,177.80730388871893
39,2020-03-01,0,92.88225366007484,108.70076985684598,True,40,0.30896467622602747,177.80730388871893
40,2020-03-02,0,92.88225366007484,108.70076985684598,True,41,0.3496704933771414,177.80730388871893
41,2020-03-03,0,92.88225366007484,108.70076985684598,True,42,0.39572948926915835,177.80730388871893
42,2020-03-04,0,92.88225366007484,108.70076985684598,True,43,0.4478429106730432,177.80730388871893
43,2020-03-05,0,92.88225366007484,108.70076985684598,True,44,0.5068030952512271,177.80730388871893
44,2020-03-06,0,92.88225366007484,108.70076985684598,True,45,0.5735050881004542,177.80730388871893
45,2020-03-07,0,92.88225366007484,108.70076985684598,True,46,0.6489596789494332,177.80730388871893
46,2020-03-08,0,92.88225366007484,108.70076985684598,True,47,0.7343080165024463,177.80730388871893
47,2020-03-09,0,92.88225366007484,108.70076985684598,True,48,0.8308379686254872,177.80730388871893
48,2020-03-10,0,92.88225366007484,108.70076985684598,True,49,0.9400024086313462,177.80730388871893
49,2020-03-11,0,92.88225366007484,108.70076985684598,True,50,1.0634396181669772,177.80730388871893
50,2020-03-12,0,92.88225366007484,108.70076985684598,True,51,1.2029960052441147,177.80730388871893
51,2020-03-13,0,92.88225366007484,108.70076985684598,True,52,1.3607513405970755,177.80730388871893
52,2020-03-14,0,92.88225366007484,108.70076985684598,True,53,1.539046715253037,177.80730388871893
53,2020-03-15,0,92.88225366007484,108.70076985684598,True,54,1.7405154149657076,177.80730388871893
54,2020-03-16,1,92.88225366007484,108.70076985684598,True,55,1.9681168904517428,177.80730388871893
55,2020-03-17,1,92.88225366007484,108.70076985684598,True,56,2.2251739729783253,177.80730388871893
56,2020-03-18,2,92.88225366007484,108.70076985684598,True,57,2.5154134387916702,177.80730388871893
57,2020-03-19,2,92.88225366007484,108.70076985684598,True,58,2.8430099582441812,177.80730388871893
58,2020-03-20,2,92.88225366007484,108.70076985684598,True,59,3.2126333703203107,177.80730388871893
59,2020-03-21,3,92.88225366007484,108.70076985684598,True,60,3.6294990934684286,177.80730388871893
60,2020-03-22,3,92.88225366007484,108.70076985684598,True,61,4.099421310883223,177.80730388871893
61,2020-03-23,3,92.88225366007484,108.70076985684598,True,62,4.628868343098334,177.80730388871893
62,2020-03-24,3,92.88225366007484,108.70076985684598,True,63,5.2250193323129395,177.80730388871893
63,2020-03-25,3,92.88225366007484,108.70076985684598,True,64,5.895820999919704,177.80730388871893
64,2020-03-26,3,92.88225366007484,108.70076985684598,True,65,6.650042789750713,177.80730388871893
65,2020-03-27,3,92.88225366007484,108.70076985684598,True,66,7.497328164078978,177.80730388871893
66,2020-03-28,3,92.88225366007484,108.70076985684598,True,67,8.448239169422974,177.80730388871893
67,2020-03-29,3,92.88225366007484,108.70076985684598,True,68,9.514290631598307,177.80730388871893
68,2020-03-30,3,92.88225366007484,108.70076985684598,True,69,10.70796947924857,177.80730388871893
69,2020-03-31,3,92.88225366007484,108.70076985684598,True,70,12.042733749627287,177.80730388871893
70,2020-04-01,6,92.88225366007484,108.70076985684598,True,71,13.532984834741995,177.80730388871893
71,2020-04-02,6,92.88225366007484,108.70076985684598,True,72,15.194005539135292,177.80730388871893
72,2020-04-03,7,92.88225366007484,108.70076985684598,True,73,17.04185563240817,177.80730388871893
73,2020-04-04,10,92.88225366007484,108.70076985684598,True,74,19.093215917305553,177.80730388871893
74,2020-04-05,13,92.88225366007484,108.70076985684598,True,75,21.36517156717568,177.80730388871893
75,2020-04-06,14,92.88225366007484,108.70076985684598,True,76,23.874925827324805,177.80730388871893
76,2020-04-07,14,92.88225366007484,108.70076985684598,True,77,26.639436372624477,177.80730388871893
77,2020-04-08,31,92.88225366007484,108.70076985684598,True,78,29.67496893840339,177.80730388871893
78,2020-04-09,31,92.88225366007484,108.70076985684598,True,79,32.996566552157354,177.80730388871893
79,2020-04-10,37,92.88225366007484,108.70076985684598,True,80,36.617437989893745,177.80730388871893
80,2020-04-11,48,92.88225366007484,108.70076985684598,True,81,40.54827603790314,177.80730388871893
81,2020-04-12,50,92.88225366007484,108.70076985684598,True,82,44.79652462868597,177.80730388871893
82,2020-04-13,59,92.88225366007484,108.70076985684598,True,83,49.36562352202994,177.80730388871893
83,2020-04-14,59,92.88225366007484,108.70076985684598,True,84,54.25426914947739,177.80730388871893
84,2020-04-15,59,92.88225366007484,108.70076985684598,True,85,59.45573938790613,177.80730388871893
85,2020-04-16,59,92.88225366007484,108.70076985684598,True,86,64.95733690637056,177.80730388871893
86,2020-04-17,76,92.88225366007484,108.70076985684598,True,87,70.74000869561385,177.80730388871893
87,2020-04-18,76,92.88225366007484,108.70076985684598,True,88,76.77819688010416,177.80730388871893
88,2020-04-19,91,92.88225366007484,108.70076985684598,True,89,83.039966792117,177.80730388871893
89,2020-04-20,99,92.88225366007484,108.70076985684598,True,90,89.48744221597686,177.80730388871893
90,2020-04-21,101,92.88225366007484,108.70076985684598,True,91,96.07755544595658,177.80730388871893
91,2020-04-22,101,92.88225366007484,108.70076985684598,True,92,102.76309332610813,177.80730388871893
92,2020-04-23,101,92.88225366007484,108.70076985684598,True,93,109.4939928234934,177.80730388871893
93,2020-04-24,117,92.88225366007484,108.70076985684598,True,94,116.21881465177641,177.80730388871893
94,2020-04-25,120,92.88225366007484,108.70076985684598,True,95,122.88630472306721,177.80730388871893
