,Report_Date,Paraguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
40,2020-03-02,0,112.45235952003615,659.8770216751219,True,41,4.880651941084925,1099.771730679992
41,2020-03-03,0,112.45235952003615,659.8770216751219,True,42,5.276687407461269,1099.771730679992
42,2020-03-04,0,112.45235952003615,659.8770216751219,True,43,5.704719338160663,1099.771730679992
43,2020-03-05,0,112.45235952003615,659.8770216751219,True,44,6.167309263770991,1099.771730679992
44,2020-03-06,0,112.45235952003615,659.8770216751219,True,45,6.667219815976996,1099.771730679992
45,2020-03-07,0,112.45235952003615,659.8770216751219,True,46,7.207429846009653,1099.771730679992
46,2020-03-08,1,112.45235952003615,659.8770216751219,True,47,7.791150565792718,1099.771730679992
47,2020-03-09,1,112.45235952003615,659.8770216751219,True,48,8.421842761108223,1099.771730679992
48,2020-03-10,1,112.45235952003615,659.8770216751219,True,49,9.103235124729219,1099.771730679992
49,2020-03-11,5,112.45235952003615,659.8770216751219,True,50,9.839343755163533,1099.771730679992
50,2020-03-12,5,112.45235952003615,659.8770216751219,True,51,10.634492863226793,1099.771730679992
51,2020-03-13,6,112.45235952003615,659.8770216751219,True,52,11.49333672389629,1099.771730679992
52,2020-03-14,6,112.45235952003615,659.8770216751219,True,53,12.420882904537791,1099.771730679992
53,2020-03-15,6,112.45235952003615,659.8770216751219,True,54,13.422516792357797,1099.771730679992
54,2020-03-16,8,112.45235952003615,659.8770216751219,True,55,14.504027433487291,1099.771730679992
55,2020-03-17,9,112.45235952003615,659.8770216751219,True,56,15.671634683081704,1099.771730679992
56,2020-03-18,11,112.45235952003615,659.8770216751219,True,57,16.932017649812142,1099.771730679992
57,2020-03-19,11,112.45235952003615,659.8770216751219,True,58,18.29234439866419,1099.771730679992
58,2020-03-20,13,112.45235952003615,659.8770216751219,True,59,19.76030285254411,1099.771730679992
59,2020-03-21,18,112.45235952003615,659.8770216751219,True,60,21.34413280525853,1099.771730679992
60,2020-03-22,22,112.45235952003615,659.8770216751219,True,61,23.052658925378893,1099.771730679992
61,2020-03-23,22,112.45235952003615,659.8770216751219,True,62,24.895324591674136,1099.771730679992
62,2020-03-24,27,112.45235952003615,659.8770216751219,True,63,26.882226355509484,1099.771730679992
63,2020-03-25,37,112.45235952003615,659.8770216751219,True,64,29.0241487731522,1099.771730679992
64,2020-03-26,41,112.45235952003615,659.8770216751219,True,65,31.33259929057169,1099.771730679992
65,2020-03-27,52,112.45235952003615,659.8770216751219,True,66,33.819842794361314,1099.771730679992
66,2020-03-28,56,112.45235952003615,659.8770216751219,True,67,36.49893536416693,1099.771730679992
67,2020-03-29,59,112.45235952003615,659.8770216751219,True,68,39.38375667389059,1099.771730679992
68,2020-03-30,64,112.45235952003615,659.8770216751219,True,69,42.48904039048048,1099.771730679992
69,2020-03-31,65,112.45235952003615,659.8770216751219,True,70,45.830401810040875,1099.771730679992
70,2020-04-01,69,112.45235952003615,659.8770216751219,True,71,49.42436185128972,1099.771730679992
71,2020-04-02,77,112.45235952003615,659.8770216751219,True,72,53.28836639639751,1099.771730679992
72,2020-04-03,92,112.45235952003615,659.8770216751219,True,73,57.44079982976993,1099.771730679992
73,2020-04-04,96,112.45235952003615,659.8770216751219,True,74,61.900991477789184,1099.771730679992
74,2020-04-05,104,112.45235952003615,659.8770216751219,True,75,66.68921349903499,1099.771730679992
75,2020-04-06,113,112.45235952003615,659.8770216751219,True,76,71.82666861809992,1099.771730679992
76,2020-04-07,115,112.45235952003615,659.8770216751219,True,77,77.33546594087665,1099.771730679992
77,2020-04-08,119,112.45235952003615,659.8770216751219,True,78,83.23858294046404,1099.771730679992
78,2020-04-09,124,112.45235952003615,659.8770216751219,True,79,89.55981156734946,1099.771730679992
79,2020-04-10,129,112.45235952003615,659.8770216751219,True,80,96.32368632359082,1099.771730679992
80,2020-04-11,133,112.45235952003615,659.8770216751219,True,81,103.55539205832984,1099.771730679992
81,2020-04-12,134,112.45235952003615,659.8770216751219,True,82,111.28064920286933,1099.771730679992
82,2020-04-13,147,112.45235952003615,659.8770216751219,True,83,119.52557418120094,1099.771730679992
83,2020-04-14,159,112.45235952003615,659.8770216751219,True,84,128.31651282131995,1099.771730679992
84,2020-04-15,161,112.45235952003615,659.8770216751219,True,85,137.6798447702301,1099.771730679992
85,2020-04-16,174,112.45235952003615,659.8770216751219,True,86,147.64175719829672,1099.771730679992
86,2020-04-17,199,112.45235952003615,659.8770216751219,True,87,158.22798648367618,1099.771730679992
87,2020-04-18,202,112.45235952003615,659.8770216751219,True,88,169.46352711104345,1099.771730679992
88,2020-04-19,206,112.45235952003615,659.8770216751219,True,89,181.37230771459065,1099.771730679992
89,2020-04-20,208,112.45235952003615,659.8770216751219,True,90,193.9768350531984,1099.771730679992
90,2020-04-21,208,112.45235952003615,659.8770216751219,True,91,207.29780772993584,1099.771730679992
91,2020-04-22,213,112.45235952003615,659.8770216751219,True,92,221.3537026549015,1099.771730679992
92,2020-04-23,213,112.45235952003615,659.8770216751219,True,93,236.1603385861508,1099.771730679992
93,2020-04-24,223,112.45235952003615,659.8770216751219,True,94,251.7304225421946,1099.771730679992
94,2020-04-25,228,112.45235952003615,659.8770216751219,True,95,268.07308642155635,1099.771730679992
95,2020-04-26,228,112.45235952003615,659.8770216751219,True,96,285.19342273530935,1099.771730679992
96,2020-04-27,228,112.45235952003615,659.8770216751219,True,97,303.092029887154,1099.771730679992
97,2020-04-28,239,112.45235952003615,659.8770216751219,True,98,321.76457883782746,1099.771730679992
98,2020-04-29,239,112.45235952003615,659.8770216751219,True,99,341.2014141698619,1099.771730679992
99,2020-04-30,266,112.45235952003615,659.8770216751219,True,100,361.38720342063203,1099.771730679992
100,2020-05-01,333,112.45235952003615,659.8770216751219,True,101,382.30064897029916,1099.771730679992
