,Report_Date,UK_isle of man_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
67,2020-03-29,42,84.29774430120075,271.28333187744414,False,68,52.892081051234754,542.5666637537599
68,2020-03-30,49,84.29774430120075,271.28333187744414,False,69,59.77830604606411,542.5666637537599
69,2020-03-31,60,84.29774430120075,271.28333187744414,False,70,67.43760396947043,542.5666637537599
70,2020-04-01,68,84.29774430120075,271.28333187744414,False,71,75.92394327228801,542.5666637537599
71,2020-04-02,95,84.29774430120075,271.28333187744414,False,72,85.28650890397778,542.5666637537599
72,2020-04-03,114,84.29774430120075,271.28333187744414,False,73,95.5671721034014,542.5666637537599
73,2020-04-04,126,84.29774430120075,271.28333187744414,False,74,106.79766533381701,542.5666637537599
74,2020-04-05,127,84.29774430120075,271.28333187744414,False,75,118.99656933145015,542.5666637537599
75,2020-04-06,139,84.29774430120075,271.28333187744414,False,76,132.16627207155219,542.5666637537599
76,2020-04-07,150,84.29774430120075,271.28333187744414,False,77,146.2901118003365,542.5666637537599
77,2020-04-08,158,84.29774430120075,271.28333187744414,False,78,161.32995965991122,542.5666637537599
