,Report_Date,France_french guiana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
65,2020-03-27,28,74.13317289045135,60.493265623662786,True,66,30.123422427381044,109.85738368294835
66,2020-03-28,28,74.13317289045135,60.493265623662786,True,67,33.29774395316868,109.85738368294835
67,2020-03-29,28,74.13317289045135,60.493265623662786,True,68,36.6715648126003,109.85738368294835
68,2020-03-30,43,74.13317289045135,60.493265623662786,True,69,40.23039693543648,109.85738368294835
69,2020-03-31,43,74.13317289045135,60.493265623662786,True,70,43.95455328253951,109.85738368294835
70,2020-04-01,51,74.13317289045135,60.493265623662786,True,71,47.819316843946716,109.85738368294835
71,2020-04-02,51,74.13317289045135,60.493265623662786,True,72,51.79540760213869,109.85738368294835
72,2020-04-03,57,74.13317289045135,60.493265623662786,True,73,55.8497470488352,109.85738368294835
73,2020-04-04,61,74.13317289045135,60.493265623662786,True,74,59.94648869082059,109.85738368294835
74,2020-04-05,61,74.13317289045135,60.493265623662786,True,75,64.0482522645183,109.85738368294835
75,2020-04-06,72,74.13317289045135,60.493265623662786,True,76,68.11747427895844,109.85738368294835
76,2020-04-07,72,74.13317289045135,60.493265623662786,True,77,72.11777261683514,109.85738368294835
77,2020-04-08,77,74.13317289045135,60.493265623662786,True,78,76.0152210978704,109.85738368294835
78,2020-04-09,83,74.13317289045135,60.493265623662786,True,79,79.7794415036575,109.85738368294835
79,2020-04-10,83,74.13317289045135,60.493265623662786,True,80,83.38444333969451,109.85738368294835
80,2020-04-11,83,74.13317289045135,60.493265623662786,True,81,86.80917133454369,109.85738368294835
