,Report_Date,Iran_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
21,2020-02-12,0,0,82.96179358353636,67131.0473713845,True,22,2259.9182807187594,130933.88017208106
22,2020-02-13,0,0,82.96179358353636,67131.0473713845,True,23,2413.0460978571514,130933.88017208106
23,2020-02-14,0,0,82.96179358353636,67131.0473713845,True,24,2576.347061827589,130933.88017208106
24,2020-02-15,0,0,82.96179358353636,67131.0473713845,True,25,2750.4687503688374,130933.88017208106
25,2020-02-16,0,0,82.96179358353636,67131.0473713845,True,26,2936.0960227686187,130933.88017208106
26,2020-02-17,0,0,82.96179358353636,67131.0473713845,True,27,3133.9526122242182,130933.88017208106
27,2020-02-18,0,0,82.96179358353636,67131.0473713845,True,28,3344.802704193962,130933.88017208106
28,2020-02-19,2,0,82.96179358353636,67131.0473713845,True,29,3569.452485372846,130933.88017208106
29,2020-02-20,5,3,82.96179358353636,67131.0473713845,True,30,3808.7516454610754,130933.88017208106
30,2020-02-21,18,14,82.96179358353636,67131.0473713845,True,31,4063.5948111820703,130933.88017208106
31,2020-02-22,28,23,82.96179358353636,67131.0473713845,True,32,4334.922889039763,130933.88017208106
32,2020-02-23,43,35,82.96179358353636,67131.0473713845,True,33,4623.7242900812635,130933.88017208106
33,2020-02-24,61,49,82.96179358353636,67131.0473713845,True,34,4931.036006452697,130933.88017208106
34,2020-02-25,95,79,82.96179358353636,67131.0473713845,True,35,5257.944505813197,130933.88017208106
35,2020-02-26,139,71,82.96179358353636,67131.0473713845,True,36,5605.586405722819,130933.88017208106
36,2020-02-27,245,170,82.96179358353636,67131.0473713845,True,37,5975.148885973416,130933.88017208106
37,2020-02-28,388,281,82.96179358353636,67131.0473713845,True,38,6367.869792528813,130933.88017208106
38,2020-02-29,593,427,82.96179358353636,67131.0473713845,True,39,6785.037382338517,130933.88017208106
39,2020-03-01,978,749,82.96179358353636,67131.0473713845,True,40,7227.989653861671,130933.88017208106
40,2020-03-02,1501,1144,82.96179358353636,67131.0473713845,True,41,7698.11320377941,130933.88017208106
41,2020-03-03,2336,1968,82.96179358353636,67131.0473713845,True,42,8196.841546200967,130933.88017208106
42,2020-03-04,2922,2278,82.96179358353636,67131.0473713845,True,43,8725.652826824335,130933.88017208106
43,2020-03-05,3513,2667,82.96179358353636,67131.0473713845,True,44,9286.066861165757,130933.88017208106
44,2020-03-06,4747,3710,82.96179358353636,67131.0473713845,True,45,9879.64142332324,130933.88017208106
45,2020-03-07,5823,4009,82.96179358353636,67131.0473713845,True,46,10507.967710017538,130933.88017208106
46,2020-03-08,6566,4238,82.96179358353636,67131.0473713845,True,47,11172.664904119985,130933.88017208106
47,2020-03-09,7161,4530,82.96179358353636,67131.0473713845,True,48,11875.373762820685,130933.88017208106
48,2020-03-10,8042,5020,82.96179358353636,67131.0473713845,True,49,12617.749158328617,130933.88017208106
49,2020-03-11,9000,5687,82.96179358353636,67131.0473713845,True,50,13401.451503865594,130933.88017208106
50,2020-03-12,10075,6687,82.96179358353636,67131.0473713845,True,51,14228.13700506959,130933.88017208106
51,2020-03-13,11364,7891,82.96179358353636,67131.0473713845,True,52,15099.446687113996,130933.88017208106
52,2020-03-14,12729,9159,82.96179358353636,67131.0473713845,True,53,16016.994161219996,130933.88017208106
53,2020-03-15,13938,8624,82.96179358353636,67131.0473713845,True,54,16982.352111102635,130933.88017208106
54,2020-03-16,14991,9548,82.96179358353636,67131.0473713845,True,55,17997.037500508937,130933.88017208106
55,2020-03-17,16169,9792,82.96179358353636,67131.0473713845,True,56,19062.495527563115,130933.88017208106
56,2020-03-18,17361,10837,82.96179358353636,67131.0473713845,True,57,20180.082380208896,130933.88017208106
57,2020-03-19,18407,11413,82.96179358353636,67131.0473713845,True,58,21351.04687957443,130933.88017208106
58,2020-03-20,19644,11466,82.96179358353636,67131.0473713845,True,59,22576.511134353663,130933.88017208106
59,2020-03-21,20610,11419,82.96179358353636,67131.0473713845,True,60,23857.450368870566,130933.88017208106
60,2020-03-22,21638,12022,82.96179358353636,67131.0473713845,True,61,25194.672129710085,130933.88017208106
61,2020-03-23,23049,13306,82.96179358353636,67131.0473713845,True,62,26588.795119747865,130933.88017208106
62,2020-03-24,24811,13964,82.96179358353636,67131.0473713845,True,63,28040.227952908444,130933.88017208106
63,2020-03-25,27017,15315,82.96179358353636,67131.0473713845,True,64,29549.148166575458,130933.88017208106
64,2020-03-26,29406,16715,82.96179358353636,67131.0473713845,True,65,31115.481869560048,130933.88017208106
65,2020-03-27,32332,18821,82.96179358353636,67131.0473713845,True,66,32738.884439972968,130933.88017208106
66,2020-03-28,35408,21212,82.96179358353636,67131.0473713845,True,67,34418.72271714588,130933.88017208106
67,2020-03-29,38309,23278,82.96179358353636,67131.0473713845,True,68,36154.05915272136,130933.88017208106
68,2020-03-30,41495,24827,82.96179358353636,67131.0473713845,True,69,37943.63839601004,130933.88017208106
69,2020-03-31,44605,27051,82.96179358353636,67131.0473713845,True,70,39785.8767856631,130933.88017208106
70,2020-04-01,47593,29084,82.96179358353636,67131.0473713845,True,71,41678.85520187318,130933.88017208106
71,2020-04-02,50468,30597,82.96179358353636,67131.0473713845,True,72,43620.3156993628,130933.88017208106
72,2020-04-03,53183,31954,82.96179358353636,67131.0473713845,True,73,45607.66229058449,130933.88017208106
73,2020-04-04,55743,32555,82.96179358353636,67131.0473713845,True,74,47637.96618077887,130933.88017208106
74,2020-04-05,58226,34887,82.96179358353636,67131.0473713845,True,75,49707.97567256671,130933.88017208106
75,2020-04-06,60500,32525,82.96179358353636,67131.0473713845,True,76,51814.130859211946,130933.88017208106
76,2020-04-07,62589,31678,82.96179358353636,67131.0473713845,True,77,53952.58311510518,130933.88017208106
77,2020-04-08,64586,30781,82.96179358353636,67131.0473713845,True,78,56119.21927275134,130933.88017208106
78,2020-04-09,66220,29801,82.96179358353636,67131.0473713845,True,79,58309.69025170776,130933.88017208106
79,2020-04-10,68192,28495,82.96179358353636,67131.0473713845,True,80,60519.44378119578,130933.88017208106
80,2020-04-11,70029,23725,82.96179358353636,67131.0473713845,True,81,62743.76073951628,130933.88017208106
81,2020-04-12,71686,23318,82.96179358353636,67131.0473713845,True,82,64977.79452502755,130933.88017208106
82,2020-04-13,73303,22735,82.96179358353636,67131.0473713845,True,83,67216.61278014985,130933.88017208106
83,2020-04-14,74877,22065,82.96179358353636,67131.0473713845,True,84,69455.2407159672,130933.88017208106
84,2020-04-15,76389,21679,82.96179358353636,67131.0473713845,True,85,71688.70523401652,130933.88017208106
85,2020-04-16,77995,20897,82.96179358353636,67131.0473713845,True,86,73912.07901625123,130933.88017208106
86,2020-04-17,79494,20472,82.96179358353636,67131.0473713845,True,87,76120.52375519095,130933.88017208106
87,2020-04-18,80868,19850,82.96179358353636,67131.0473713845,True,88,78309.33172387177,130933.88017208106
88,2020-04-19,82211,20070,82.96179358353636,67131.0473713845,True,89,80473.9649380443,130933.88017208106
89,2020-04-20,83505,19023,82.96179358353636,67131.0473713845,True,90,82610.09123857811,130933.88017208106
90,2020-04-21,84802,18540,82.96179358353636,67131.0473713845,True,91,84713.61671663942,130933.88017208106
91,2020-04-22,85996,17492,82.96179358353636,67131.0473713845,True,92,86780.71401353745,130933.88017208106
92,2020-04-23,87026,16702,82.96179358353636,67131.0473713845,True,93,88807.84614630001,130933.88017208106
93,2020-04-24,88194,16021,82.96179358353636,67131.0473713845,True,94,90791.78563394559,130933.88017208106
94,2020-04-25,89328,15485,82.96179358353636,67131.0473713845,True,95,92729.62882306625,130933.88017208106
95,2020-04-26,90481,15114,82.96179358353636,67131.0473713845,True,96,94618.805430075,130933.88017208106
96,2020-04-27,91472,14733,82.96179358353636,67131.0473713845,True,97,96457.08342724647,130933.88017208106
97,2020-04-28,92584,14268,82.96179358353636,67131.0473713845,True,98,98242.569497184,130933.88017208106
98,2020-04-29,93657,13909,82.96179358353636,67131.0473713845,True,99,99973.7053631236,130933.88017208106
99,2020-04-30,94640,13509,82.96179358353636,67131.0473713845,True,100,101649.26036898643,130933.88017208106
100,2020-05-01,95646,13237,82.96179358353636,67131.0473713845,True,101,103268.32073262233,130933.88017208106
101,2020-05-02,96448,12942,82.96179358353636,67131.0473713845,True,102,104830.27592837604,130933.88017208106
102,2020-05-03,97424,12799,82.96179358353636,67131.0473713845,True,103,106334.80267175863,130933.88017208106
103,2020-05-04,98647,12991,82.96179358353636,67131.0473713845,True,104,107781.84698099562,130933.88017208106
104,2020-05-05,99970,13155,82.96179358353636,67131.0473713845,True,105,109171.60477932954,130933.88017208106
105,2020-05-06,101650,13645,82.96179358353636,67131.0473713845,True,106,110504.50148022904,130933.88017208106
106,2020-05-07,103135,13905,82.96179358353636,67131.0473713845,True,107,111781.1709672722,130933.88017208106
107,2020-05-08,104691,14313,82.96179358353636,67131.0473713845,True,108,113002.43434361392,130933.88017208106
