,Report_Date,China_shaanxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
22,2020-02-13,229,12.822586482432634,124.05595945368351,True,23,232.18354803365827,248.11191853551122
23,2020-02-14,230,12.822586482432634,124.05595945368351,True,24,235.68579126679836,248.11191853551122
24,2020-02-15,232,12.822586482432634,124.05595945368351,True,25,238.4500247723156,248.11191853551122
25,2020-02-16,236,12.822586482432634,124.05595945368351,True,26,240.61889489938204,248.11191853551122
26,2020-02-17,240,12.822586482432634,124.05595945368351,True,27,242.31274481088022,248.11191853551122
27,2020-02-18,240,12.822586482432634,124.05595945368351,True,28,243.63081918590123,248.11191853551122
28,2020-02-19,242,12.822586482432634,124.05595945368351,True,29,244.65358862767457,248.11191853551122
29,2020-02-20,245,12.822586482432634,124.05595945368351,True,30,245.44547531547033,248.11191853551122
30,2020-02-21,245,12.822586482432634,124.05595945368351,True,31,246.05755879270626,248.11191853551122
31,2020-02-22,245,12.822586482432634,124.05595945368351,True,32,246.53004373445788,248.11191853551122
32,2020-02-23,245,12.822586482432634,124.05595945368351,True,33,246.89439895131667,248.11191853551122
33,2020-02-24,245,12.822586482432634,124.05595945368351,True,34,247.17515068093203,248.11191853551122
34,2020-02-25,245,12.822586482432634,124.05595945368351,True,35,247.39135193575984,248.11191853551122
35,2020-02-26,245,12.822586482432634,124.05595945368351,True,36,247.55776692938895,248.11191853551122
36,2020-02-27,245,12.822586482432634,124.05595945368351,True,37,247.6858145658997,248.11191853551122
37,2020-02-28,245,12.822586482432634,124.05595945368351,True,38,247.7843134505036,248.11191853551122
38,2020-02-29,245,12.822586482432634,124.05595945368351,True,39,247.8600663452636,248.11191853551122
39,2020-03-01,245,12.822586482432634,124.05595945368351,True,40,247.91831642603074,248.11191853551122
40,2020-03-02,245,12.822586482432634,124.05595945368351,True,41,247.96310214233384,248.11191853551122
41,2020-03-03,245,12.822586482432634,124.05595945368351,True,42,247.9975324389247,248.11191853551122
42,2020-03-04,245,12.822586482432634,124.05595945368351,True,43,248.02399975496635,248.11191853551122
43,2020-03-05,245,12.822586482432634,124.05595945368351,True,44,248.04434459908643,248.11191853551122
44,2020-03-06,245,12.822586482432634,124.05595945368351,True,45,248.0599825505962,248.11191853551122
45,2020-03-07,245,12.822586482432634,124.05595945368351,True,46,248.07200217170856,248.11191853551122
46,2020-03-08,245,12.822586482432634,124.05595945368351,True,47,248.08124043822883,248.11191853551122
47,2020-03-09,245,12.822586482432634,124.05595945368351,True,48,248.08834081809098,248.11191853551122
48,2020-03-10,245,12.822586482432634,124.05595945368351,True,49,248.0937979702093,248.11191853551122
49,2020-03-11,245,12.822586482432634,124.05595945368351,True,50,248.09799213459672,248.11191853551122
50,2020-03-12,245,12.822586482432634,124.05595945368351,True,51,248.1012155845095,248.11191853551122
51,2020-03-13,245,12.822586482432634,124.05595945368351,True,52,248.10369296891236,248.11191853551122
52,2020-03-14,245,12.822586482432634,124.05595945368351,True,53,248.10559695408477,248.11191853551122
53,2020-03-15,245,12.822586482432634,124.05595945368351,True,54,248.10706024929044,248.11191853551122
54,2020-03-16,245,12.822586482432634,124.05595945368351,True,55,248.10818485160524,248.11191853551122
55,2020-03-17,246,12.822586482432634,124.05595945368351,True,56,248.109049152471,248.11191853551122
56,2020-03-18,246,12.822586482432634,124.05595945368351,True,57,248.10971340025938,248.11191853551122
57,2020-03-19,246,12.822586482432634,124.05595945368351,True,58,248.11022389899043,248.11191853551122
58,2020-03-20,247,12.822586482432634,124.05595945368351,True,59,248.11061623551507,248.11191853551122
59,2020-03-21,248,12.822586482432634,124.05595945368351,True,60,248.11091775990596,248.11191853551122
60,2020-03-22,248,12.822586482432634,124.05595945368351,True,61,248.11114949183437,248.11191853551122
61,2020-03-23,248,12.822586482432634,124.05595945368351,True,62,248.1113275857516,248.11191853551122
62,2020-03-24,249,12.822586482432634,124.05595945368351,True,63,248.11146445696937,248.11191853551122
63,2020-03-25,250,12.822586482432634,124.05595945368351,True,64,248.11156964711313,248.11191853551122
64,2020-03-26,253,12.822586482432634,124.05595945368351,True,65,248.1116504892655,248.11191853551122
65,2020-03-27,253,12.822586482432634,124.05595945368351,True,66,248.1117126191593,248.11191853551122
66,2020-03-28,253,12.822586482432634,124.05595945368351,True,67,248.1117603680512,248.11191853551122
67,2020-03-29,253,12.822586482432634,124.05595945368351,True,68,248.11179706466055,248.11191853551122
68,2020-03-30,253,12.822586482432634,124.05595945368351,True,69,248.11182526722143,248.11191853551122
69,2020-03-31,253,12.822586482432634,124.05595945368351,True,70,248.1118469418232,248.11191853551122
70,2020-04-01,255,12.822586482432634,124.05595945368351,True,71,248.11186359947146,248.11191853551122
71,2020-04-02,255,12.822586482432634,124.05595945368351,True,72,248.11187640142452,248.11191853551122
72,2020-04-03,255,12.822586482432634,124.05595945368351,True,73,248.11188624014827,248.11191853551122
73,2020-04-04,256,12.822586482432634,124.05595945368351,True,74,248.11189380153218,248.11191853551122
74,2020-04-05,256,12.822586482432634,124.05595945368351,True,75,248.11189961270517,248.11191853551122
75,2020-04-06,256,12.822586482432634,124.05595945368351,True,76,248.1119040787833,248.11191853551122
76,2020-04-07,256,12.822586482432634,124.05595945368351,True,77,248.11190751111167,248.11191853551122
77,2020-04-08,256,12.822586482432634,124.05595945368351,True,78,248.11191014896914,248.11191853551122
78,2020-04-09,256,12.822586482432634,124.05595945368351,True,79,248.11191217624963,248.11191853551122
79,2020-04-10,256,12.822586482432634,124.05595945368351,True,80,248.11191373428144,248.11191853551122
