,Report_Date,Turkey_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
33,2020-02-24,0,87.05220936925275,74876.45726584172,True,34,223.75476088963117,149219.36881423971
34,2020-02-25,0,87.05220936925275,74876.45726584172,True,35,252.89264878351227,149219.36881423971
35,2020-02-26,0,87.05220936925275,74876.45726584172,True,36,285.8176903179571,149219.36881423971
36,2020-02-27,0,87.05220936925275,74876.45726584172,True,37,323.02010438044465,149219.36881423971
37,2020-02-28,0,87.05220936925275,74876.45726584172,True,38,365.05300787595286,149219.36881423971
38,2020-02-29,0,87.05220936925275,74876.45726584172,True,39,412.54033149969877,149219.36881423971
39,2020-03-01,0,87.05220936925275,74876.45726584172,True,40,466.1856888081654,149219.36881423971
40,2020-03-02,0,87.05220936925275,74876.45726584172,True,41,526.7823013567879,149219.36881423971
41,2020-03-03,0,87.05220936925275,74876.45726584172,True,42,595.2240902747521,149219.36881423971
42,2020-03-04,0,87.05220936925275,74876.45726584172,True,43,672.518051713241,149219.36881423971
43,2020-03-05,0,87.05220936925275,74876.45726584172,True,44,759.7980396753735,149219.36881423971
44,2020-03-06,0,87.05220936925275,74876.45726584172,True,45,858.3400842045447,149219.36881423971
45,2020-03-07,0,87.05220936925275,74876.45726584172,True,46,969.5793749728846,149219.36881423971
46,2020-03-08,0,87.05220936925275,74876.45726584172,True,47,1095.1290389363285,149219.36881423971
47,2020-03-09,0,87.05220936925275,74876.45726584172,True,48,1236.8008345791013,149219.36881423971
48,2020-03-10,0,87.05220936925275,74876.45726584172,True,49,1396.6278726756702,149219.36881423971
49,2020-03-11,1,87.05220936925275,74876.45726584172,True,50,1576.8894523443737,149219.36881423971
50,2020-03-12,1,87.05220936925275,74876.45726584172,True,51,1780.1380688434792,149219.36881423971
51,2020-03-13,5,87.05220936925275,74876.45726584172,True,52,2009.2286028743565,149219.36881423971
52,2020-03-14,5,87.05220936925275,74876.45726584172,True,53,2267.349636256246,149219.36881423971
53,2020-03-15,6,87.05220936925275,74876.45726584172,True,54,2558.0567511503104,149219.36881423971
54,2020-03-16,18,87.05220936925275,74876.45726584172,True,55,2885.307554211251,149219.36881423971
55,2020-03-17,47,87.05220936925275,74876.45726584172,True,56,3253.498017073565,149219.36881423971
56,2020-03-18,98,87.05220936925275,74876.45726584172,True,57,3667.4995337495902,149219.36881423971
57,2020-03-19,192,87.05220936925275,74876.45726584172,True,58,4132.695856749851,149219.36881423971
58,2020-03-20,359,87.05220936925275,74876.45726584172,True,59,4655.018779988772,149219.36881423971
59,2020-03-21,670,87.05220936925275,74876.45726584172,True,60,5240.981081489475,149219.36881423971
60,2020-03-22,1236,87.05220936925275,74876.45726584172,True,61,5897.704817992882,149219.36881423971
61,2020-03-23,1529,87.05220936925275,74876.45726584172,True,62,6632.942575506757,149219.36881423971
62,2020-03-24,1872,87.05220936925275,74876.45726584172,True,63,7455.088728592937,149219.36881423971
63,2020-03-25,2433,87.05220936925275,74876.45726584172,True,64,8373.17715873771,149219.36881423971
64,2020-03-26,3629,87.05220936925275,74876.45726584172,True,65,9396.861251698905,149219.36881423971
65,2020-03-27,5698,87.05220936925275,74876.45726584172,True,66,10536.371373621474,149219.36881423971
66,2020-03-28,7402,87.05220936925275,74876.45726584172,True,67,11802.444473592011,149219.36881423971
67,2020-03-29,9217,87.05220936925275,74876.45726584172,True,68,13206.22005698543,149219.36881423971
68,2020-03-30,10827,87.05220936925275,74876.45726584172,True,69,14759.09662622942,149219.36881423971
69,2020-03-31,13531,87.05220936925275,74876.45726584172,True,70,16472.54292649982,149219.36881423971
70,2020-04-01,15679,87.05220936925275,74876.45726584172,True,71,18357.859118616576,149219.36881423971
71,2020-04-02,18135,87.05220936925275,74876.45726584172,True,72,20425.88449702372,149219.36881423971
72,2020-04-03,20921,87.05220936925275,74876.45726584172,True,73,22686.65073673464,149219.36881423971
73,2020-04-04,23934,87.05220936925275,74876.45726584172,True,74,25148.983011978646,149219.36881423971
74,2020-04-05,27069,87.05220936925275,74876.45726584172,True,75,27820.055726228773,149219.36881423971
75,2020-04-06,30217,87.05220936925275,74876.45726584172,True,76,30704.914948054797,149219.36881423971
76,2020-04-07,34109,87.05220936925275,74876.45726584172,True,77,33805.98570422267,149219.36881423971
77,2020-04-08,38226,87.05220936925275,74876.45726584172,True,78,37122.588569623964,149219.36881423971
78,2020-04-09,42282,87.05220936925275,74876.45726584172,True,79,40650.49581199831,149219.36881423971
79,2020-04-10,47029,87.05220936925275,74876.45726584172,True,80,44381.561796123366,149219.36881423971
80,2020-04-11,52167,87.05220936925275,74876.45726584172,True,81,48303.46441229903,149219.36881423971
81,2020-04-12,56956,87.05220936925275,74876.45726584172,True,82,52399.59299211675,149219.36881423971
82,2020-04-13,61049,87.05220936925275,74876.45726584172,True,83,56649.112780194926,149219.36881423971
83,2020-04-14,65111,87.05220936925275,74876.45726584172,True,84,61027.22628297639,149219.36881423971
84,2020-04-15,69392,87.05220936925275,74876.45726584172,True,85,65505.63811318163,149219.36881423971
85,2020-04-16,74193,87.05220936925275,74876.45726584172,True,86,70053.21343830058,149219.36881423971
86,2020-04-17,78546,87.05220936925275,74876.45726584172,True,87,74636.80265467198,149219.36881423971
87,2020-04-18,82329,87.05220936925275,74876.45726584172,True,88,79222.18871868686,149219.36881423971
88,2020-04-19,86306,87.05220936925275,74876.45726584172,True,89,83775.1009999506,149219.36881423971
