,Report_Date,Antigua and Barbuda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
21,2020-02-12,0,74.07116786807542,13.386837780927474,True,22,0.0081777454818812,26.30616365183914
22,2020-02-13,0,74.07116786807542,13.386837780927474,True,23,0.009552431499629577,26.30616365183914
23,2020-02-14,0,74.07116786807542,13.386837780927474,True,24,0.01115810707803791,26.30616365183914
24,2020-02-15,0,74.07116786807542,13.386837780927474,True,25,0.013033550467743136,26.30616365183914
25,2020-02-16,0,74.07116786807542,13.386837780927474,True,26,0.01522403717533698,26.30616365183914
26,2020-02-17,0,74.07116786807542,13.386837780927474,True,27,0.017782423911929725,26.30616365183914
27,2020-02-18,0,74.07116786807542,13.386837780927474,True,28,0.02077041168016424,26.30616365183914
28,2020-02-19,0,74.07116786807542,13.386837780927474,True,29,0.024260016984663332,26.30616365183914
29,2020-02-20,0,74.07116786807542,13.386837780927474,True,30,0.02833528461296868,26.30616365183914
30,2020-02-21,0,74.07116786807542,13.386837780927474,True,31,0.03309428049813295,26.30616365183914
31,2020-02-22,0,74.07116786807542,13.386837780927474,True,32,0.03865140888855138,26.30616365183914
32,2020-02-23,0,74.07116786807542,13.386837780927474,True,33,0.04514010445314837,26.30616365183914
33,2020-02-24,0,74.07116786807542,13.386837780927474,True,34,0.052715957059754084,26.30616365183914
34,2020-02-25,0,74.07116786807542,13.386837780927474,True,35,0.06156033477017316,26.30616365183914
35,2020-02-26,0,74.07116786807542,13.386837780927474,True,36,0.07188457903910708,26.30616365183914
36,2020-02-27,0,74.07116786807542,13.386837780927474,True,37,0.08393485505844331,26.30616365183914
37,2020-02-28,0,74.07116786807542,13.386837780927474,True,38,0.09799774942585135,26.30616365183914
38,2020-02-29,0,74.07116786807542,13.386837780927474,True,39,0.11440671646734761,26.30616365183914
39,2020-03-01,0,74.07116786807542,13.386837780927474,True,40,0.13354948303979006,26.30616365183914
40,2020-03-02,0,74.07116786807542,13.386837780927474,True,41,0.15587652864199722,26.30616365183914
41,2020-03-03,0,74.07116786807542,13.386837780927474,True,42,0.18191076196654712,26.30616365183914
42,2020-03-04,0,74.07116786807542,13.386837780927474,True,43,0.2122585149345012,26.30616365183914
43,2020-03-05,0,74.07116786807542,13.386837780927474,True,44,0.2476219684391961,26.30616365183914
44,2020-03-06,0,74.07116786807542,13.386837780927474,True,45,0.28881310732714416,26.30616365183914
45,2020-03-07,0,74.07116786807542,13.386837780927474,True,46,0.33676927137174006,26.30616365183914
46,2020-03-08,0,74.07116786807542,13.386837780927474,True,47,0.392570318684274,26.30616365183914
47,2020-03-09,0,74.07116786807542,13.386837780927474,True,48,0.4574573411827025,26.30616365183914
48,2020-03-10,0,74.07116786807542,13.386837780927474,True,49,0.5328527597203917,26.30616365183914
49,2020-03-11,0,74.07116786807542,13.386837780927474,True,50,0.6203814687886106,26.30616365183914
50,2020-03-12,0,74.07116786807542,13.386837780927474,True,51,0.7218924852153776,26.30616365183914
51,2020-03-13,1,74.07116786807542,13.386837780927474,True,52,0.8394802687419077,26.30616365183914
52,2020-03-14,1,74.07116786807542,13.386837780927474,True,53,0.9755045116043038,26.30616365183914
53,2020-03-15,1,74.07116786807542,13.386837780927474,True,54,1.1326067284116348,26.30616365183914
54,2020-03-16,1,74.07116786807542,13.386837780927474,True,55,1.3137214117548306,26.30616365183914
55,2020-03-17,1,74.07116786807542,13.386837780927474,True,56,1.5220788596476869,26.30616365183914
