,Report_Date,Australia_new south wales_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
49,2020-03-11,65,67.03515677005191,1529.6915049204738,True,50,155.7159801556093,3058.9759703900895
50,2020-03-12,65,67.03515677005191,1529.6915049204738,True,51,183.1465273854142,3058.9759703900895
51,2020-03-13,92,67.03515677005191,1529.6915049204738,True,52,215.05129818972912,3058.9759703900895
52,2020-03-14,112,67.03515677005191,1529.6915049204738,True,53,252.02698575817863,3058.9759703900895
53,2020-03-15,134,67.03515677005191,1529.6915049204738,True,54,294.7015255758719,3058.9759703900895
54,2020-03-16,171,67.03515677005191,1529.6915049204738,True,55,343.71724693016154,3058.9759703900895
55,2020-03-17,210,67.03515677005191,1529.6915049204738,True,56,399.70677345140246,3058.9759703900895
56,2020-03-18,267,67.03515677005191,1529.6915049204738,True,57,463.2608381030253,3058.9759703900895
57,2020-03-19,307,67.03515677005191,1529.6915049204738,True,58,534.8878491006795,3058.9759703900895
58,2020-03-20,353,67.03515677005191,1529.6915049204738,True,59,614.9661232873129,3058.9759703900895
59,2020-03-21,436,67.03515677005191,1529.6915049204738,True,60,703.6911957110779,3058.9759703900895
60,2020-03-22,669,67.03515677005191,1529.6915049204738,True,61,801.0224017120029,3058.9759703900895
61,2020-03-23,669,67.03515677005191,1529.6915049204738,True,62,906.6347283994686,3058.9759703900895
62,2020-03-24,818,67.03515677005191,1529.6915049204738,True,63,1019.8832908055401,3058.9759703900895
63,2020-03-25,1029,67.03515677005191,1529.6915049204738,True,64,1139.7881419044506,3058.9759703900895
64,2020-03-26,1219,67.03515677005191,1529.6915049204738,True,65,1265.0459637711167,3058.9759703900895
65,2020-03-27,1405,67.03515677005191,1529.6915049204738,True,66,1394.0722758122017,3058.9759703900895
66,2020-03-28,1617,67.03515677005191,1529.6915049204738,True,67,1525.0733917456205,3058.9759703900895
67,2020-03-29,1791,67.03515677005191,1529.6915049204738,True,68,1656.1422820403766,3058.9759703900895
68,2020-03-30,2032,67.03515677005191,1529.6915049204738,True,69,1785.3679819861936,3058.9759703900895
69,2020-03-31,2032,67.03515677005191,1529.6915049204738,True,70,1910.9454773343584,3058.9759703900895
70,2020-04-01,2182,67.03515677005191,1529.6915049204738,True,71,2031.2729021419775,3058.9759703900895
71,2020-04-02,2298,67.03515677005191,1529.6915049204738,True,72,2145.025426548866,3058.9759703900895
72,2020-04-03,2389,67.03515677005191,1529.6915049204738,True,73,2251.199639812849,3058.9759703900895
73,2020-04-04,2493,67.03515677005191,1529.6915049204738,True,74,2349.127312638358,3058.9759703900895
74,2020-04-05,2580,67.03515677005191,1529.6915049204738,True,75,2438.461907370054,3058.9759703900895
75,2020-04-06,2637,67.03515677005191,1529.6915049204738,True,76,2519.1442359589855,3058.9759703900895
76,2020-04-07,2686,67.03515677005191,1529.6915049204738,True,77,2591.35494759098,3058.9759703900895
77,2020-04-08,2734,67.03515677005191,1529.6915049204738,True,78,2655.461265704522,3058.9759703900895
78,2020-04-09,2773,67.03515677005191,1529.6915049204738,True,79,2711.9640874627285,3058.9759703900895
79,2020-04-10,2822,67.03515677005191,1529.6915049204738,True,80,2761.449772553806,3058.9759703900895
80,2020-04-11,2857,67.03515677005191,1529.6915049204738,True,81,2804.5491483861847,3058.9759703900895
81,2020-04-12,2857,67.03515677005191,1529.6915049204738,True,82,2841.9047402169303,3058.9759703900895
82,2020-04-13,2863,67.03515677005191,1529.6915049204738,True,83,2874.1461247362936,3058.9759703900895
83,2020-04-14,2870,67.03515677005191,1529.6915049204738,True,84,2901.8726075974964,3058.9759703900895
84,2020-04-15,2886,67.03515677005191,1529.6915049204738,True,85,2925.642072405071,3058.9759703900895
85,2020-04-16,2897,67.03515677005191,1529.6915049204738,True,86,2945.9647477123226,3058.9759703900895
86,2020-04-17,2926,67.03515677005191,1529.6915049204738,True,87,2963.30069915406,3058.9759703900895
87,2020-04-18,2936,67.03515677005191,1529.6915049204738,True,88,2978.0600022853564,3058.9759703900895
88,2020-04-19,2957,67.03515677005191,1529.6915049204738,True,89,2990.6047351679977,3058.9759703900895
89,2020-04-20,2963,67.03515677005191,1529.6915049204738,True,90,3001.252114482457,3058.9759703900895
90,2020-04-21,2969,67.03515677005191,1529.6915049204738,True,91,3010.2782661173082,3058.9759703900895
91,2020-04-22,2971,67.03515677005191,1529.6915049204738,True,92,3017.922262405079,3058.9759703900895
92,2020-04-23,2976,67.03515677005191,1529.6915049204738,True,93,3024.3901716148325,3058.9759703900895
93,2020-04-24,2982,67.03515677005191,1529.6915049204738,True,94,3029.858952844746,3058.9759703900895
94,2020-04-25,2994,67.03515677005191,1529.6915049204738,True,95,3034.4800946754885,3058.9759703900895
95,2020-04-26,3002,67.03515677005191,1529.6915049204738,True,96,3038.3829429517723,3058.9759703900895
96,2020-04-27,3004,67.03515677005191,1529.6915049204738,True,97,3041.677695792644,3058.9759703900895
97,2020-04-28,3016,67.03515677005191,1529.6915049204738,True,98,3044.4580658375544,3058.9759703900895
98,2020-04-29,3016,67.03515677005191,1529.6915049204738,True,99,3046.8036236607677,3058.9759703900895
99,2020-04-30,3025,67.03515677005191,1529.6915049204738,True,100,3048.781844485581,3058.9759703900895
100,2020-05-01,3030,67.03515677005191,1529.6915049204738,True,101,3050.4498845318226,3058.9759703900895
101,2020-05-02,3035,67.03515677005191,1529.6915049204738,True,102,3051.8561148277718,3058.9759703900895
102,2020-05-03,3033,67.03515677005191,1529.6915049204738,True,103,3053.0414400548902,3058.9759703900895
103,2020-05-04,3035,67.03515677005191,1529.6915049204738,True,104,3054.0404286445364,3058.9759703900895
104,2020-05-05,3042,67.03515677005191,1529.6915049204738,True,105,3054.8822783810688,3058.9759703900895
105,2020-05-06,3044,67.03515677005191,1529.6915049204738,True,106,3055.5916395059276,3058.9759703900895
106,2020-05-07,3047,67.03515677005191,1529.6915049204738,True,107,3056.1893149743883,3058.9759703900895
107,2020-05-08,3051,67.03515677005191,1529.6915049204738,True,108,3056.6928552253016,3058.9759703900895
108,2020-05-09,3053,67.03515677005191,1529.6915049204738,True,109,3057.117062664689,3058.9759703900895
