,Report_Date,Libyan Arab Jamahiriya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
28,2020-02-19,0,82.73333640970759,33.949383718930086,True,29,0.03839149743879603,67.83659589256642
29,2020-02-20,0,82.73333640970759,33.949383718930086,True,30,0.044119798560997084,67.83659589256642
30,2020-02-21,0,82.73333640970759,33.949383718930086,True,31,0.05070216683968518,67.83659589256642
31,2020-02-22,0,82.73333640970759,33.949383718930086,True,32,0.05826573559645091,67.83659589256642
32,2020-02-23,0,82.73333640970759,33.949383718930086,True,33,0.06695649713556383,67.83659589256642
33,2020-02-24,0,82.73333640970759,33.949383718930086,True,34,0.0769420792565995,67.83659589256642
34,2020-02-25,0,82.73333640970759,33.949383718930086,True,35,0.08841492379139036,67.83659589256642
35,2020-02-26,0,82.73333640970759,33.949383718930086,True,36,0.10159592320413702,67.83659589256642
36,2020-02-27,0,82.73333640970759,33.949383718930086,True,37,0.11673857839850682,67.83659589256642
37,2020-02-28,0,82.73333640970759,33.949383718930086,True,38,0.13413374864516012,67.83659589256642
38,2020-02-29,0,82.73333640970759,33.949383718930086,True,39,0.15411507295394022,67.83659589256642
39,2020-03-01,0,82.73333640970759,33.949383718930086,True,40,0.17706515120295707,67.83659589256642
40,2020-03-02,0,82.73333640970759,33.949383718930086,True,41,0.20342258278059477,67.83659589256642
41,2020-03-03,0,82.73333640970759,33.949383718930086,True,42,0.2336899701951765,67.83659589256642
42,2020-03-04,0,82.73333640970759,33.949383718930086,True,43,0.2684430047511558,67.83659589256642
43,2020-03-05,0,82.73333640970759,33.949383718930086,True,44,0.30834076052478315,67.83659589256642
44,2020-03-06,0,82.73333640970759,33.949383718930086,True,45,0.3541373308466279,67.83659589256642
45,2020-03-07,0,82.73333640970759,33.949383718930086,True,46,0.40669494740862394,67.83659589256642
46,2020-03-08,0,82.73333640970759,33.949383718930086,True,47,0.4669987247242155,67.83659589256642
47,2020-03-09,0,82.73333640970759,33.949383718930086,True,48,0.5361731703222876,67.83659589256642
48,2020-03-10,0,82.73333640970759,33.949383718930086,True,49,0.6155005915531685,67.83659589256642
49,2020-03-11,0,82.73333640970759,33.949383718930086,True,50,0.7064415103638317,67.83659589256642
50,2020-03-12,0,82.73333640970759,33.949383718930086,True,51,0.8106571641773346,67.83659589256642
51,2020-03-13,0,82.73333640970759,33.949383718930086,True,52,0.9300341194264785,67.83659589256642
52,2020-03-14,0,82.73333640970759,33.949383718930086,True,53,1.0667109485406006,67.83659589256642
53,2020-03-15,0,82.73333640970759,33.949383718930086,True,54,1.2231068141845267,67.83659589256642
54,2020-03-16,0,82.73333640970759,33.949383718930086,True,55,1.4019516578579372,67.83659589256642
