,Report_Date,Slovakia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
49,2020-03-11,10,85.45642706372301,956.4483579661927,True,50,55.590559925240775,1649.6268540212518
50,2020-03-12,16,85.45642706372301,956.4483579661927,True,51,61.18840668532165,1649.6268540212518
51,2020-03-13,32,85.45642706372301,956.4483579661927,True,52,67.3295098178227,1649.6268540212518
52,2020-03-14,44,85.45642706372301,956.4483579661927,True,53,74.06230582939247,1649.6268540212518
53,2020-03-15,54,85.45642706372301,956.4483579661927,True,54,81.43865707094582,1649.6268540212518
54,2020-03-16,63,85.45642706372301,956.4483579661927,True,55,89.51390456642025,1649.6268540212518
55,2020-03-17,72,85.45642706372301,956.4483579661927,True,56,98.3468751614949,1649.6268540212518
56,2020-03-18,105,85.45642706372301,956.4483579661927,True,57,107.99983151238796,1649.6268540212518
57,2020-03-19,123,85.45642706372301,956.4483579661927,True,58,118.53835197420808,1649.6268540212518
58,2020-03-20,137,85.45642706372301,956.4483579661927,True,59,130.03112605735436,1649.6268540212518
59,2020-03-21,178,85.45642706372301,956.4483579661927,True,60,142.54964990037686,1649.6268540212518
60,2020-03-22,185,85.45642706372301,956.4483579661927,True,61,156.16780528961473,1649.6268540212518
61,2020-03-23,186,85.45642706372301,956.4483579661927,True,62,170.9613053031793,1649.6268540212518
62,2020-03-24,204,85.45642706372301,956.4483579661927,True,63,187.0069898653818,1649.6268540212518
63,2020-03-25,216,85.45642706372301,956.4483579661927,True,64,204.3819555930529,1649.6268540212518
64,2020-03-26,226,85.45642706372301,956.4483579661927,True,65,223.16250654480314,1649.6268540212518
65,2020-03-27,269,85.45642706372301,956.4483579661927,True,66,243.42291610351523,1649.6268540212518
66,2020-03-28,292,85.45642706372301,956.4483579661927,True,67,265.2339954731286,1649.6268540212518
67,2020-03-29,314,85.45642706372301,956.4483579661927,True,68,288.661471351239,1649.6268540212518
68,2020-03-30,336,85.45642706372301,956.4483579661927,True,69,313.76418436481924,1649.6268540212518
69,2020-03-31,363,85.45642706372301,956.4483579661927,True,70,340.59213081421245,1649.6268540212518
70,2020-04-01,400,85.45642706372301,956.4483579661927,True,71,369.18438296769875,1649.6268540212518
71,2020-04-02,426,85.45642706372301,956.4483579661927,True,72,399.56693716410524,1649.6268540212518
72,2020-04-03,450,85.45642706372301,956.4483579661927,True,73,431.75055362503656,1649.6268540212518
73,2020-04-04,471,85.45642706372301,956.4483579661927,True,74,465.7286661757919,1649.6268540212518
74,2020-04-05,485,85.45642706372301,956.4483579661927,True,75,501.47545277698725,1649.6268540212518
75,2020-04-06,534,85.45642706372301,956.4483579661927,True,76,538.9441674149328,1649.6268540212518
76,2020-04-07,581,85.45642706372301,956.4483579661927,True,77,578.065838921112,1649.6268540212518
77,2020-04-08,682,85.45642706372301,956.4483579661927,True,78,618.7484411811714,1649.6268540212518
78,2020-04-09,701,85.45642706372301,956.4483579661927,True,79,660.8766307077751,1649.6268540212518
79,2020-04-10,715,85.45642706372301,956.4483579661927,True,80,704.3121309387246,1649.6268540212518
80,2020-04-11,728,85.45642706372301,956.4483579661927,True,81,748.8948178410017,1649.6268540212518
81,2020-04-12,742,85.45642706372301,956.4483579661927,True,82,794.444529285144,1649.6268540212518
82,2020-04-13,769,85.45642706372301,956.4483579661927,True,83,840.7635829745668,1649.6268540212518
83,2020-04-14,835,85.45642706372301,956.4483579661927,True,84,887.6399471176574,1649.6268540212518
84,2020-04-15,863,85.45642706372301,956.4483579661927,True,85,934.8509678254698,1649.6268540212518
85,2020-04-16,977,85.45642706372301,956.4483579661927,True,86,982.1675210289491,1649.6268540212518
86,2020-04-17,1049,85.45642706372301,956.4483579661927,True,87,1029.3584280356356,1649.6268540212518
87,2020-04-18,1089,85.45642706372301,956.4483579661927,True,88,1076.1949555954152,1649.6268540212518
88,2020-04-19,1161,85.45642706372301,956.4483579661927,True,89,1122.4552154252972,1649.6268540212518
89,2020-04-20,1173,85.45642706372301,956.4483579661927,True,90,1167.9282851819748,1649.6268540212518
90,2020-04-21,1199,85.45642706372301,956.4483579661927,True,91,1212.4178921224316,1649.6268540212518
91,2020-04-22,1244,85.45642706372301,956.4483579661927,True,92,1255.7455301489715,1649.6268540212518
92,2020-04-23,1325,85.45642706372301,956.4483579661927,True,93,1297.7529176182038,1649.6268540212518
93,2020-04-24,1360,85.45642706372301,956.4483579661927,True,94,1338.3037436750799,1649.6268540212518
