,Report_Date,Bulgaria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
43,2020-03-05,0,97.02664125969537,1343.0194062458336,True,44,55.27334593178087,2235.0795060834193
44,2020-03-06,0,97.02664125969537,1343.0194062458336,True,45,59.35772710714731,2235.0795060834193
45,2020-03-07,0,97.02664125969537,1343.0194062458336,True,46,63.736608347761965,2235.0795060834193
46,2020-03-08,4,97.02664125969537,1343.0194062458336,True,47,68.43010853509561,2235.0795060834193
47,2020-03-09,4,97.02664125969537,1343.0194062458336,True,48,73.45955127346163,2235.0795060834193
48,2020-03-10,4,97.02664125969537,1343.0194062458336,True,49,78.84751091150228,2235.0795060834193
49,2020-03-11,7,97.02664125969537,1343.0194062458336,True,50,84.61785600100771,2235.0795060834193
50,2020-03-12,7,97.02664125969537,1343.0194062458336,True,51,90.79578927752199,2235.0795060834193
51,2020-03-13,23,97.02664125969537,1343.0194062458336,True,52,97.4078831125073,2235.0795060834193
52,2020-03-14,41,97.02664125969537,1343.0194062458336,True,53,104.48210924112175,2235.0795060834193
53,2020-03-15,51,97.02664125969537,1343.0194062458336,True,54,112.04786141361025,2235.0795060834193
54,2020-03-16,52,97.02664125969537,1343.0194062458336,True,55,120.13596945309511,2235.0795060834193
55,2020-03-17,67,97.02664125969537,1343.0194062458336,True,56,128.77870303000677,2235.0795060834193
56,2020-03-18,92,97.02664125969537,1343.0194062458336,True,57,138.00976328609934,2235.0795060834193
57,2020-03-19,94,97.02664125969537,1343.0194062458336,True,58,147.8642602624209,2235.0795060834193
58,2020-03-20,127,97.02664125969537,1343.0194062458336,True,59,158.37867391030207,2235.0795060834193
59,2020-03-21,163,97.02664125969537,1343.0194062458336,True,60,169.59079629810157,2235.0795060834193
60,2020-03-22,187,97.02664125969537,1343.0194062458336,True,61,181.53965247620215,2235.0795060834193
61,2020-03-23,201,97.02664125969537,1343.0194062458336,True,62,194.26539733711834,2235.0795060834193
62,2020-03-24,218,97.02664125969537,1343.0194062458336,True,63,207.80918571667704,2235.0795060834193
63,2020-03-25,242,97.02664125969537,1343.0194062458336,True,64,222.21301293779422,2235.0795060834193
64,2020-03-26,264,97.02664125969537,1343.0194062458336,True,65,237.5195230136993,2235.0795060834193
65,2020-03-27,293,97.02664125969537,1343.0194062458336,True,66,253.77178181731156,2235.0795060834193
66,2020-03-28,331,97.02664125969537,1343.0194062458336,True,67,271.01301270384675,2235.0795060834193
67,2020-03-29,346,97.02664125969537,1343.0194062458336,True,68,289.28629236139756,2235.0795060834193
68,2020-03-30,359,97.02664125969537,1343.0194062458336,True,69,308.63420507618025,2235.0795060834193
69,2020-03-31,399,97.02664125969537,1343.0194062458336,True,70,329.098454151819,2235.0795060834193
70,2020-04-01,422,97.02664125969537,1343.0194062458336,True,71,350.7194299302268,2235.0795060834193
71,2020-04-02,457,97.02664125969537,1343.0194062458336,True,72,373.5357347372735,2235.0795060834193
72,2020-04-03,485,97.02664125969537,1343.0194062458336,True,73,397.5836661270537,2235.0795060834193
73,2020-04-04,503,97.02664125969537,1343.0194062458336,True,74,422.8966610256547,2235.0795060834193
74,2020-04-05,531,97.02664125969537,1343.0194062458336,True,75,449.504704772428,2235.0795060834193
75,2020-04-06,549,97.02664125969537,1343.0194062458336,True,76,477.43371060774547,2235.0795060834193
76,2020-04-07,577,97.02664125969537,1343.0194062458336,True,77,506.7048768333586,2235.0795060834193
77,2020-04-08,593,97.02664125969537,1343.0194062458336,True,78,537.334030634121,2235.0795060834193
78,2020-04-09,618,97.02664125969537,1343.0194062458336,True,79,569.33096934342,2235.0795060834193
79,2020-04-10,635,97.02664125969537,1343.0194062458336,True,80,602.6988116903995,2235.0795060834193
80,2020-04-11,661,97.02664125969537,1343.0194062458336,True,81,637.4333732027807,2235.0795060834193
81,2020-04-12,675,97.02664125969537,1343.0194062458336,True,82,673.5225813611817,2235.0795060834193
82,2020-04-13,685,97.02664125969537,1343.0194062458336,True,83,710.9459472074933,2235.0795060834193
83,2020-04-14,713,97.02664125969537,1343.0194062458336,True,84,749.6741107960048,2235.0795060834193
84,2020-04-15,747,97.02664125969537,1343.0194062458336,True,85,789.6684780393222,2235.0795060834193
