,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
31,2020-02-22,0,107.22354546924343,3653.271328952866,False,32,2.6668969863458947,7306.542657905732
32,2020-02-23,0,107.22354546924343,3653.271328952866,False,33,2.9626913321664854,7306.542657905732
33,2020-02-24,0,107.22354546924343,3653.271328952866,False,34,3.2912784212827404,7306.542657905732
34,2020-02-25,0,107.22354546924343,3653.271328952866,False,35,3.6562903052117415,7306.542657905732
35,2020-02-26,0,107.22354546924343,3653.271328952866,False,36,4.06176050333117,7306.542657905732
36,2020-02-27,0,107.22354546924343,3653.271328952866,False,37,4.51216818938304,7306.542657905732
37,2020-02-28,0,107.22354546924343,3653.271328952866,False,38,5.012487196827585,7306.542657905732
38,2020-02-29,0,107.22354546924343,3653.271328952866,False,39,5.568240358150128,7306.542657905732
39,2020-03-01,0,107.22354546924343,3653.271328952866,False,40,6.1855597458233245,7306.542657905732
40,2020-03-02,0,107.22354546924343,3653.271328952866,False,41,6.871253440008244,7306.542657905732
41,2020-03-03,0,107.22354546924343,3653.271328952866,False,42,7.632879510528299,7306.542657905732
42,2020-03-04,0,107.22354546924343,3653.271328952866,False,43,8.478827968434652,7306.542657905732
43,2020-03-05,0,107.22354546924343,3653.271328952866,False,44,9.418411515827334,7306.542657905732
44,2020-03-06,0,107.22354546924343,3653.271328952866,False,45,10.461966001671717,7306.542657905732
45,2020-03-07,0,107.22354546924343,3653.271328952866,False,46,11.62096157624317,7306.542657905732
46,2020-03-08,0,107.22354546924343,3653.271328952866,False,47,12.908125627517524,7306.542657905732
47,2020-03-09,0,107.22354546924343,3653.271328952866,False,48,14.337578679124018,7306.542657905732
48,2020-03-10,0,107.22354546924343,3653.271328952866,False,49,15.924984531011608,7306.542657905732
49,2020-03-11,0,107.22354546924343,3653.271328952866,False,50,17.687716030107637,7306.542657905732
50,2020-03-12,0,107.22354546924343,3653.271328952866,False,51,19.64503796799162,7306.542657905732
51,2020-03-13,0,107.22354546924343,3653.271328952866,False,52,21.818308714557446,7306.542657905732
52,2020-03-14,3,107.22354546924343,3653.271328952866,False,53,24.23120230884256,7306.542657905732
53,2020-03-15,6,107.22354546924343,3653.271328952866,False,54,26.909952838029916,7306.542657905732
54,2020-03-16,6,107.22354546924343,3653.271328952866,False,55,29.88362303959645,7306.542657905732
55,2020-03-17,7,107.22354546924343,3653.271328952866,False,56,33.184399155162694,7306.542657905732
56,2020-03-18,7,107.22354546924343,3653.271328952866,False,57,36.84791414197899,7306.542657905732
