,Report_Date,China_macau_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
52,2020-03-14,10,114.40043236322293,103.69842741423192,False,53,18.490322863591608,102.32082974859384
53,2020-03-15,10,114.40043236322293,103.69842741423192,False,54,19.137776683887537,102.32082974859384
54,2020-03-16,11,114.40043236322293,103.69842741423192,False,55,19.805524722141193,102.32082974859384
55,2020-03-17,12,114.40043236322293,103.69842741423192,False,56,20.49403524404968,102.32082974859384
56,2020-03-18,15,114.40043236322293,103.69842741423192,False,57,21.203775418517566,102.32082974859384
57,2020-03-19,17,114.40043236322293,103.69842741423192,False,58,21.935210316845236,102.32082974859384
58,2020-03-20,17,114.40043236322293,103.69842741423192,False,59,22.68880184713876,102.32082974859384
59,2020-03-21,18,114.40043236322293,103.69842741423192,False,60,23.46500762315028,102.32082974859384
60,2020-03-22,24,114.40043236322293,103.69842741423192,False,61,24.264279767060597,102.32082974859384
61,2020-03-23,24,114.40043236322293,103.69842741423192,False,62,25.087063646054208,102.32082974859384
62,2020-03-24,25,114.40043236322293,103.69842741423192,False,63,25.933796542913175,102.32082974859384
63,2020-03-25,30,114.40043236322293,103.69842741423192,False,64,26.804906261268933,102.32082974859384
64,2020-03-26,31,114.40043236322293,103.69842741423192,False,65,27.700809666602666,102.32082974859384
65,2020-03-27,33,114.40043236322293,103.69842741423192,False,66,28.621911164574534,102.32082974859384
66,2020-03-28,37,114.40043236322293,103.69842741423192,False,67,29.56860111878854,102.32082974859384
67,2020-03-29,37,114.40043236322293,103.69842741423192,False,68,30.541254210663734,102.32082974859384
68,2020-03-30,38,114.40043236322293,103.69842741423192,False,69,31.54022774468118,102.32082974859384
69,2020-03-31,41,114.40043236322293,103.69842741423192,False,70,32.56585990290758,102.32082974859384
70,2020-04-01,41,114.40043236322293,103.69842741423192,False,71,33.61846795335807,102.32082974859384
71,2020-04-02,41,114.40043236322293,103.69842741423192,False,72,34.698346417449166,102.32082974859384
72,2020-04-03,43,114.40043236322293,103.69842741423192,False,73,35.80576520250293,102.32082974859384
73,2020-04-04,43,114.40043236322293,103.69842741423192,False,74,36.94096770599069,102.32082974859384
74,2020-04-05,44,114.40043236322293,103.69842741423192,False,75,38.10416889894324,102.32082974859384
75,2020-04-06,44,114.40043236322293,103.69842741423192,False,76,39.29555339669711,102.32082974859384
76,2020-04-07,44,114.40043236322293,103.69842741423192,False,77,40.51527352588515,102.32082974859384
77,2020-04-08,45,114.40043236322293,103.69842741423192,False,78,41.76344739730792,102.32082974859384
78,2020-04-09,45,114.40043236322293,103.69842741423192,False,79,43.04015699502812,102.32082974859384
79,2020-04-10,45,114.40043236322293,103.69842741423192,False,80,44.34544629270561,102.32082974859384
80,2020-04-11,45,114.40043236322293,103.69842741423192,False,81,45.679319408824966,102.32082974859384
81,2020-04-12,45,114.40043236322293,103.69842741423192,False,82,47.04173881304815,102.32082974859384
82,2020-04-13,45,114.40043236322293,103.69842741423192,False,83,48.43262359644195,102.32082974859384
83,2020-04-14,45,114.40043236322293,103.69842741423192,False,84,49.851847818771304,102.32082974859384
84,2020-04-15,45,114.40043236322293,103.69842741423192,False,85,51.29923894640259,102.32082974859384
85,2020-04-16,45,114.40043236322293,103.69842741423192,False,86,52.77457639461471,102.32082974859384
