,Report_Date,MS Zaandam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
36,2020-02-27,0,69.75962910637158,4.6771834411683395,True,37,0.04178627766717884,9.354092556006453
37,2020-02-28,0,69.75962910637158,4.6771834411683395,True,38,0.049244803546677984,9.354092556006453
38,2020-02-29,0,69.75962910637158,4.6771834411683395,True,39,0.05802632313325484,9.354092556006453
39,2020-03-01,0,69.75962910637158,4.6771834411683395,True,40,0.06836229184784881,9.354092556006453
40,2020-03-02,0,69.75962910637158,4.6771834411683395,True,41,0.08052341300563864,9.354092556006453
41,2020-03-03,0,69.75962910637158,4.6771834411683395,True,42,0.09482581157759082,9.354092556006453
42,2020-03-04,0,69.75962910637158,4.6771834411683395,True,43,0.1116379912518829,9.354092556006453
43,2020-03-05,0,69.75962910637158,4.6771834411683395,True,44,0.13138859788963994,9.354092556006453
44,2020-03-06,0,69.75962910637158,4.6771834411683395,True,45,0.15457497643666604,9.354092556006453
45,2020-03-07,0,69.75962910637158,4.6771834411683395,True,46,0.1817724535688902,9.354092556006453
46,2020-03-08,0,69.75962910637158,4.6771834411683395,True,47,0.21364419860855904,9.354092556006453
47,2020-03-09,0,69.75962910637158,4.6771834411683395,True,48,0.2509514031793547,9.354092556006453
48,2020-03-10,0,69.75962910637158,4.6771834411683395,True,49,0.2945633674164779,9.354092556006453
49,2020-03-11,0,69.75962910637158,4.6771834411683395,True,50,0.34546687889465777,9.354092556006453
50,2020-03-12,0,69.75962910637158,4.6771834411683395,True,51,0.40477401262231605,9.354092556006453
51,2020-03-13,0,69.75962910637158,4.6771834411683395,True,52,0.4737271630210676,9.354092556006453
52,2020-03-14,0,69.75962910637158,4.6771834411683395,True,53,0.5536997458777019,9.354092556006453
53,2020-03-15,0,69.75962910637158,4.6771834411683395,True,54,0.6461905970740899,9.354092556006453
54,2020-03-16,0,69.75962910637158,4.6771834411683395,True,55,0.7528096832225122,9.354092556006453
55,2020-03-17,0,69.75962910637158,4.6771834411683395,True,56,0.875252394000537,9.354092556006453
56,2020-03-18,0,69.75962910637158,4.6771834411683395,True,57,1.015259511053614,9.354092556006453
57,2020-03-19,0,69.75962910637158,4.6771834411683395,True,58,1.1745600893505705,9.354092556006453
58,2020-03-20,0,69.75962910637158,4.6771834411683395,True,59,1.3547951255543307,9.354092556006453
59,2020-03-21,0,69.75962910637158,4.6771834411683395,True,60,1.5574212196934676,9.354092556006453
60,2020-03-22,0,69.75962910637158,4.6771834411683395,True,61,1.783595622533365,9.354092556006453
61,2020-03-23,0,69.75962910637158,4.6771834411683395,True,62,2.034047151847704,9.354092556006453
62,2020-03-24,0,69.75962910637158,4.6771834411683395,True,63,2.3089412959291127,9.354092556006453
63,2020-03-25,0,69.75962910637158,4.6771834411683395,True,64,2.607751934354012,9.354092556006453
64,2020-03-26,0,69.75962910637158,4.6771834411683395,True,65,2.929155673166452,9.354092556006453
65,2020-03-27,0,69.75962910637158,4.6771834411683395,True,66,3.2709667080308806,9.354092556006453
66,2020-03-28,2,69.75962910637158,4.6771834411683395,True,67,3.630129235757608,9.354092556006453
67,2020-03-29,2,69.75962910637158,4.6771834411683395,True,68,4.002779912412002,9.354092556006453
68,2020-03-30,2,69.75962910637158,4.6771834411683395,True,69,4.384384674424559,9.354092556006453
69,2020-03-31,2,69.75962910637158,4.6771834411683395,True,70,4.769943468187258,9.354092556006453
70,2020-04-01,9,69.75962910637158,4.6771834411683395,True,71,5.154245202360632,9.354092556006453
71,2020-04-02,9,69.75962910637158,4.6771834411683395,True,72,5.532146227730728,9.354092556006453
72,2020-04-03,9,69.75962910637158,4.6771834411683395,True,73,5.898841246291093,9.354092556006453
73,2020-04-04,9,69.75962910637158,4.6771834411683395,True,74,6.250096980184082,9.354092556006453
74,2020-04-05,9,69.75962910637158,4.6771834411683395,True,75,6.582425790387544,9.354092556006453
75,2020-04-06,9,69.75962910637158,4.6771834411683395,True,76,6.8931868505862015,9.354092556006453
76,2020-04-07,9,69.75962910637158,4.6771834411683395,True,77,7.180613809409144,9.354092556006453
77,2020-04-08,9,69.75962910637158,4.6771834411683395,True,78,7.443777607336525,9.354092556006453
78,2020-04-09,9,69.75962910637158,4.6771834411683395,True,79,7.682499598764643,9.354092556006453
79,2020-04-10,9,69.75962910637158,4.6771834411683395,True,80,7.89723284483287,9.354092556006453
80,2020-04-11,9,69.75962910637158,4.6771834411683395,True,81,8.08892885130527,9.354092556006453
81,2020-04-12,9,69.75962910637158,4.6771834411683395,True,82,8.258904166877496,9.354092556006453
82,2020-04-13,9,69.75962910637158,4.6771834411683395,True,83,8.408717304475292,9.354092556006453
83,2020-04-14,9,69.75962910637158,4.6771834411683395,True,84,8.540062388706657,9.354092556006453
84,2020-04-15,9,69.75962910637158,4.6771834411683395,True,85,8.654682417830129,9.354092556006453
85,2020-04-16,9,69.75962910637158,4.6771834411683395,True,86,8.754302368161541,9.354092556006453
86,2020-04-17,9,69.75962910637158,4.6771834411683395,True,87,8.840580608727219,9.354092556006453
87,2020-04-18,9,69.75962910637158,4.6771834411683395,True,88,8.91507611911925,9.354092556006453
88,2020-04-19,9,69.75962910637158,4.6771834411683395,True,89,8.97922862841084,9.354092556006453
89,2020-04-20,9,69.75962910637158,4.6771834411683395,True,90,9.034348824597359,9.354092556006453
90,2020-04-21,9,69.75962910637158,4.6771834411683395,True,91,9.08161605646633,9.354092556006453
91,2020-04-22,9,69.75962910637158,4.6771834411683395,True,92,9.12208133755659,9.354092556006453
92,2020-04-23,9,69.75962910637158,4.6771834411683395,True,93,9.156673879649603,9.354092556006453
93,2020-04-24,9,69.75962910637158,4.6771834411683395,True,94,9.186209779287129,9.354092556006453
94,2020-04-25,9,69.75962910637158,4.6771834411683395,True,95,9.211401828250535,9.354092556006453
95,2020-04-26,9,69.75962910637158,4.6771834411683395,True,96,9.232869707644719,9.354092556006453
96,2020-04-27,9,69.75962910637158,4.6771834411683395,True,97,9.251150055313765,9.354092556006453
97,2020-04-28,9,69.75962910637158,4.6771834411683395,True,98,9.266706073396811,9.354092556006453
98,2020-04-29,9,69.75962910637158,4.6771834411683395,True,99,9.279936474910462,9.354092556006453
99,2020-04-30,9,69.75962910637158,4.6771834411683395,True,100,9.291183663784809,9.354092556006453
100,2020-05-01,9,69.75962910637158,4.6771834411683395,True,101,9.300741109671852,9.354092556006453
101,2020-05-02,9,69.75962910637158,4.6771834411683395,True,102,9.308859923915024,9.354092556006453
102,2020-05-03,9,69.75962910637158,4.6771834411683395,True,103,9.315754671940999,9.354092556006453
103,2020-05-04,9,69.75962910637158,4.6771834411683395,True,104,9.321608474479966,9.354092556006453
104,2020-05-05,9,69.75962910637158,4.6771834411683395,True,105,9.326577458890101,9.354092556006453
105,2020-05-06,9,69.75962910637158,4.6771834411683395,True,106,9.330794625059719,9.354092556006453
106,2020-05-07,9,69.75962910637158,4.6771834411683395,True,107,9.334373189808334,9.354092556006453
107,2020-05-08,9,69.75962910637158,4.6771834411683395,True,108,9.337409470796377,9.354092556006453
108,2020-05-09,9,69.75962910637158,4.6771834411683395,True,109,9.339985366667351,9.354092556006453
109,2020-05-10,9,69.75962910637158,4.6771834411683395,True,110,9.342170485168632,9.354092556006453
110,2020-05-11,9,69.75962910637158,4.6771834411683395,True,111,9.34402396578711,9.354092556006453
111,2020-05-12,9,69.75962910637158,4.6771834411683395,True,112,9.345596038293104,9.354092556006453
112,2020-05-13,9,69.75962910637158,4.6771834411683395,True,113,9.346929353694994,9.354092556006453
113,2020-05-14,9,69.75962910637158,4.6771834411683395,True,114,9.348060119573436,9.354092556006453
114,2020-05-15,9,69.75962910637158,4.6771834411683395,True,115,9.34901906763864,9.354092556006453
115,2020-05-16,9,69.75962910637158,4.6771834411683395,True,116,9.349832277652323,9.354092556006453
116,2020-05-17,9,69.75962910637158,4.6771834411683395,True,117,9.350521878568799,9.354092556006453
117,2020-05-18,9,69.75962910637158,4.6771834411683395,True,118,9.351106644855687,9.354092556006453
118,2020-05-19,9,69.75962910637158,4.6771834411683395,True,119,9.351602503423182,9.354092556006453
119,2020-05-20,9,69.75962910637158,4.6771834411683395,True,120,9.352022964388516,9.354092556006453
120,2020-05-21,9,69.75962910637158,4.6771834411683395,True,121,9.352379486994392,9.354092556006453
121,2020-05-22,9,69.75962910637158,4.6771834411683395,True,122,9.352681790353556,9.354092556006453
122,2020-05-23,9,69.75962910637158,4.6771834411683395,True,123,9.352938117274233,9.354092556006453
