,Report_Date,Singapore_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
23,2020-02-14,67,98.26749250154,14461.801138080711,True,24,4.8121233375621415,26581.14311006925
24,2020-02-15,72,98.26749250154,14461.801138080711,True,25,5.410149860779915,26581.14311006925
25,2020-02-16,75,98.26749250154,14461.801138080711,True,26,6.08248048552941,26581.14311006925
26,2020-02-17,77,98.26749250154,14461.801138080711,True,27,6.838343283789917,26581.14311006925
27,2020-02-18,81,98.26749250154,14461.801138080711,True,28,7.688111303082179,26581.14311006925
28,2020-02-19,84,98.26749250154,14461.801138080711,True,29,8.643444342099267,26581.14311006925
29,2020-02-20,84,98.26749250154,14461.801138080711,True,30,9.717448205667772,26581.14311006925
30,2020-02-21,85,98.26749250154,14461.801138080711,True,31,10.924853573978421,26581.14311006925
31,2020-02-22,85,98.26749250154,14461.801138080711,True,32,12.282216876471514,26581.14311006925
32,2020-02-23,89,98.26749250154,14461.801138080711,True,33,13.808145845354725,26581.14311006925
33,2020-02-24,89,98.26749250154,14461.801138080711,True,34,15.523552740410041,26581.14311006925
34,2020-02-25,91,98.26749250154,14461.801138080711,True,35,17.451938588641323,26581.14311006925
35,2020-02-26,93,98.26749250154,14461.801138080711,True,36,19.619712172719332,26581.14311006925
36,2020-02-27,93,98.26749250154,14461.801138080711,True,37,22.0565479345198,26581.14311006925
37,2020-02-28,93,98.26749250154,14461.801138080711,True,38,24.79578743781917,26581.14311006925
38,2020-02-29,102,98.26749250154,14461.801138080711,True,39,27.87488956089915,26581.14311006925
39,2020-03-01,106,98.26749250154,14461.801138080711,True,40,31.335935168781628,26581.14311006925
40,2020-03-02,108,98.26749250154,14461.801138080711,True,41,35.22619264915939,26581.14311006925
41,2020-03-03,110,98.26749250154,14461.801138080711,True,42,39.59875138840412,26581.14311006925
42,2020-03-04,110,98.26749250154,14461.801138080711,True,43,44.513231016162294,26581.14311006925
43,2020-03-05,117,98.26749250154,14461.801138080711,True,44,50.03657505969155,26581.14311006925
44,2020-03-06,130,98.26749250154,14461.801138080711,True,45,56.24393852134931,26581.14311006925
45,2020-03-07,138,98.26749250154,14461.801138080711,True,46,63.21967982140325,26581.14311006925
46,2020-03-08,150,98.26749250154,14461.801138080711,True,47,71.05846852746684,26581.14311006925
47,2020-03-09,150,98.26749250154,14461.801138080711,True,48,79.86652131126729,26581.14311006925
