,Report_Date,UK_gibraltar_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
68,2020-03-30,69,71.18659930922381,76.77770093839447,True,69,63.34174806480057,150.35998088864832
69,2020-03-31,69,71.18659930922381,76.77770093839447,True,70,69.43312650703552,150.35998088864832
70,2020-04-01,81,71.18659930922381,76.77770093839447,True,71,75.61927138978376,150.35998088864832
71,2020-04-02,88,71.18659930922381,76.77770093839447,True,72,81.82049712608075,150.35998088864832
72,2020-04-03,95,71.18659930922381,76.77770093839447,True,73,87.9563405045899,150.35998088864832
73,2020-04-04,98,71.18659930922381,76.77770093839447,True,74,93.94968941686503,150.35998088864832
74,2020-04-05,103,71.18659930922381,76.77770093839447,True,75,99.73055267693495,150.35998088864832
75,2020-04-06,109,71.18659930922381,76.77770093839447,True,76,105.23909263739611,150.35998088864832
76,2020-04-07,113,71.18659930922381,76.77770093839447,True,77,110.4276693981485,150.35998088864832
77,2020-04-08,120,71.18659930922381,76.77770093839447,True,78,115.26180267874899,150.35998088864832
78,2020-04-09,123,71.18659930922381,76.77770093839447,True,79,119.72010872131311,150.35998088864832
79,2020-04-10,127,71.18659930922381,76.77770093839447,True,80,123.79338598517903,150.35998088864832
80,2020-04-11,129,71.18659930922381,76.77770093839447,True,81,127.48308986511134,150.35998088864832
81,2020-04-12,129,71.18659930922381,76.77770093839447,True,82,130.79945285323757,150.35998088864832
82,2020-04-13,129,71.18659930922381,76.77770093839447,True,83,133.75948290974534,150.35998088864832
83,2020-04-14,129,71.18659930922381,76.77770093839447,True,84,136.38502473928023,150.35998088864832
84,2020-04-15,131,71.18659930922381,76.77770093839447,True,85,138.7010113788715,150.35998088864832
