,Report_Date,South Africa_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
39,2020-03-01,0,68.65085642352919,1137.4046705484045,True,40,18.479690121868448,2222.438429490268
40,2020-03-02,0,68.65085642352919,1137.4046705484045,True,41,21.821434542492643,2222.438429490268
41,2020-03-03,0,68.65085642352919,1137.4046705484045,True,42,25.760578531479144,2222.438429490268
42,2020-03-04,0,68.65085642352919,1137.4046705484045,True,43,30.401210549545098,2222.438429490268
43,2020-03-05,1,68.65085642352919,1137.4046705484045,True,44,35.86449683409253,2222.438429490268
44,2020-03-06,1,68.65085642352919,1137.4046705484045,True,45,42.29106991764263,2222.438429490268
45,2020-03-07,1,68.65085642352919,1137.4046705484045,True,46,49.84358654435895,2222.438429490268
46,2020-03-08,3,68.65085642352919,1137.4046705484045,True,47,58.70939439952511,2222.438429490268
47,2020-03-09,3,68.65085642352919,1137.4046705484045,True,48,69.10320833130713,2222.438429490268
48,2020-03-10,7,68.65085642352919,1137.4046705484045,True,49,81.26964489762844,2222.438429490268
49,2020-03-11,13,68.65085642352919,1137.4046705484045,True,50,95.48539692452918,2222.438429490268
50,2020-03-12,17,68.65085642352919,1137.4046705484045,True,51,112.0607459844298,2222.438429490268
51,2020-03-13,24,68.65085642352919,1137.4046705484045,True,52,131.34001084062896,2222.438429490268
52,2020-03-14,38,68.65085642352919,1137.4046705484045,True,53,153.70041790115533,2222.438429490268
53,2020-03-15,51,68.65085642352919,1137.4046705484045,True,54,179.5487649743212,2222.438429490268
54,2020-03-16,62,68.65085642352919,1137.4046705484045,True,55,209.31514944021822,2222.438429490268
55,2020-03-17,62,68.65085642352919,1137.4046705484045,True,56,243.44297406284633,2222.438429490268
56,2020-03-18,116,68.65085642352919,1137.4046705484045,True,57,282.374467709066,2222.438429490268
57,2020-03-19,150,68.65085642352919,1137.4046705484045,True,58,326.5311147768211,2222.438429490268
58,2020-03-20,202,68.65085642352919,1137.4046705484045,True,59,376.28873185828945,2222.438429490268
59,2020-03-21,240,68.65085642352919,1137.4046705484045,True,60,431.9475108636641,2222.438429490268
60,2020-03-22,274,68.65085642352919,1137.4046705484045,True,61,493.6981826667645,2222.438429490268
61,2020-03-23,402,68.65085642352919,1137.4046705484045,True,62,561.5865039997805,2222.438429490268
62,2020-03-24,554,68.65085642352919,1137.4046705484045,True,63,635.4794052509958,2222.438429490268
63,2020-03-25,709,68.65085642352919,1137.4046705484045,True,64,715.0371284962703,2222.438429490268
64,2020-03-26,927,68.65085642352919,1137.4046705484045,True,65,799.6962204227991,2222.438429490268
65,2020-03-27,1170,68.65085642352919,1137.4046705484045,True,66,888.6679940701624,2222.438429490268
66,2020-03-28,1187,68.65085642352919,1137.4046705484045,True,67,980.9558046335775,2222.438429490268
67,2020-03-29,1280,68.65085642352919,1137.4046705484045,True,68,1075.3921954507866,2222.438429490268
68,2020-03-30,1326,68.65085642352919,1137.4046705484045,True,69,1170.6939771781151,2222.438429490268
69,2020-03-31,1353,68.65085642352919,1137.4046705484045,True,70,1265.5302239608288,2222.438429490268
70,2020-04-01,1380,68.65085642352919,1137.4046705484045,True,71,1358.5957697634344,2222.438429490268
71,2020-04-02,1462,68.65085642352919,1137.4046705484045,True,72,1448.6817244006675,2222.438429490268
72,2020-04-03,1505,68.65085642352919,1137.4046705484045,True,73,1534.7351080803776,2222.438429490268
73,2020-04-04,1585,68.65085642352919,1137.4046705484045,True,74,1615.9017578510675,2222.438429490268
74,2020-04-05,1655,68.65085642352919,1137.4046705484045,True,75,1691.5496148718642,2222.438429490268
75,2020-04-06,1686,68.65085642352919,1137.4046705484045,True,76,1761.2725964953947,2222.438429490268
76,2020-04-07,1749,68.65085642352919,1137.4046705484045,True,77,1824.877807350837,2222.438429490268
77,2020-04-08,1845,68.65085642352919,1137.4046705484045,True,78,1882.3604334743034,2222.438429490268
78,2020-04-09,1934,68.65085642352919,1137.4046705484045,True,79,1933.87120499561,2222.438429490268
79,2020-04-10,2003,68.65085642352919,1137.4046705484045,True,80,1979.6809819078449,2222.438429490268
80,2020-04-11,2028,68.65085642352919,1137.4046705484045,True,81,2020.146127938454,2222.438429490268
