,Report_Date,Congo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
21,2020-02-12,0,108.83745488527795,310.68178002609625,True,22,1.0855778568637229,530.6463023796346
22,2020-02-13,0,108.83745488527795,310.68178002609625,True,23,1.1677544990317286,530.6463023796346
23,2020-02-14,0,108.83745488527795,310.68178002609625,True,24,1.256139194190943,530.6463023796346
24,2020-02-15,0,108.83745488527795,310.68178002609625,True,25,1.3511989524139192,530.6463023796346
25,2020-02-16,0,108.83745488527795,310.68178002609625,True,26,1.4534356046105177,530.6463023796346
26,2020-02-17,0,108.83745488527795,310.68178002609625,True,27,1.5633883499980696,530.6463023796346
27,2020-02-18,0,108.83745488527795,310.68178002609625,True,28,1.6816364822487222,530.6463023796346
28,2020-02-19,0,108.83745488527795,310.68178002609625,True,29,1.8088023056208697,530.6463023796346
29,2020-02-20,0,108.83745488527795,310.68178002609625,True,30,1.9455542528961316,530.6463023796346
30,2020-02-21,0,108.83745488527795,310.68178002609625,True,31,2.0926102174454164,530.6463023796346
31,2020-02-22,0,108.83745488527795,310.68178002609625,True,32,2.250741112228802,530.6463023796346
32,2020-02-23,0,108.83745488527795,310.68178002609625,True,33,2.4207746689840484,530.6463023796346
33,2020-02-24,0,108.83745488527795,310.68178002609625,True,34,2.60359949126554,530.6463023796346
34,2020-02-25,0,108.83745488527795,310.68178002609625,True,35,2.8001693753449763,530.6463023796346
35,2020-02-26,0,108.83745488527795,310.68178002609625,True,36,3.01150791326043,530.6463023796346
36,2020-02-27,0,108.83745488527795,310.68178002609625,True,37,3.2387133924815124,530.6463023796346
37,2020-02-28,0,108.83745488527795,310.68178002609625,True,38,3.4829640067224905,530.6463023796346
38,2020-02-29,0,108.83745488527795,310.68178002609625,True,39,3.7455233923552473,530.6463023796346
39,2020-03-01,0,108.83745488527795,310.68178002609625,True,40,4.0277465046188885,530.6463023796346
40,2020-03-02,0,108.83745488527795,310.68178002609625,True,41,4.331085847356836,530.6463023796346
41,2020-03-03,0,108.83745488527795,310.68178002609625,True,42,4.657098069293973,530.6463023796346
42,2020-03-04,0,108.83745488527795,310.68178002609625,True,43,5.0074509388487725,530.6463023796346
43,2020-03-05,0,108.83745488527795,310.68178002609625,True,44,5.383930708104464,530.6463023796346
44,2020-03-06,0,108.83745488527795,310.68178002609625,True,45,5.788449874778054,530.6463023796346
45,2020-03-07,0,108.83745488527795,310.68178002609625,True,46,6.2230553487574785,530.6463023796346
46,2020-03-08,0,108.83745488527795,310.68178002609625,True,47,6.689937026947369,530.6463023796346
47,2020-03-09,0,108.83745488527795,310.68178002609625,True,48,7.191436776686109,530.6463023796346
48,2020-03-10,0,108.83745488527795,310.68178002609625,True,49,7.730057823773959,530.6463023796346
49,2020-03-11,0,108.83745488527795,310.68178002609625,True,50,8.308474536076742,530.6463023796346
50,2020-03-12,0,108.83745488527795,310.68178002609625,True,51,8.929542587624008,530.6463023796346
51,2020-03-13,0,108.83745488527795,310.68178002609625,True,52,9.596309480975776,530.6463023796346
52,2020-03-14,0,108.83745488527795,310.68178002609625,True,53,10.312025397248336,530.6463023796346
53,2020-03-15,1,108.83745488527795,310.68178002609625,True,54,11.080154333417763,530.6463023796346
54,2020-03-16,1,108.83745488527795,310.68178002609625,True,55,11.90438547520114,530.6463023796346
55,2020-03-17,1,108.83745488527795,310.68178002609625,True,56,12.788644740784125,530.6463023796346
56,2020-03-18,1,108.83745488527795,310.68178002609625,True,57,13.737106415749603,530.6463023796346
57,2020-03-19,3,108.83745488527795,310.68178002609625,True,58,14.754204782594329,530.6463023796346
58,2020-03-20,3,108.83745488527795,310.68178002609625,True,59,15.84464562903147,530.6463023796346
59,2020-03-21,3,108.83745488527795,310.68178002609625,True,60,17.013417497711032,530.6463023796346
60,2020-03-22,3,108.83745488527795,310.68178002609625,True,61,18.265802515908877,530.6463023796346
61,2020-03-23,4,108.83745488527795,310.68178002609625,True,62,19.60738661703002,530.6463023796346
62,2020-03-24,4,108.83745488527795,310.68178002609625,True,63,21.044068936378,530.6463023796346
63,2020-03-25,4,108.83745488527795,310.68178002609625,True,64,22.582070131548697,530.6463023796346
64,2020-03-26,4,108.83745488527795,310.68178002609625,True,65,24.227939343082898,530.6463023796346
65,2020-03-27,4,108.83745488527795,310.68178002609625,True,66,25.988559473823315,530.6463023796346
66,2020-03-28,4,108.83745488527795,310.68178002609625,True,67,27.871150426055465,530.6463023796346
67,2020-03-29,19,108.83745488527795,310.68178002609625,True,68,29.883269894410844,530.6463023796346
68,2020-03-30,19,108.83745488527795,310.68178002609625,True,69,32.03281127029898,530.6463023796346
69,2020-03-31,19,108.83745488527795,310.68178002609625,True,70,34.32799817115354,530.6463023796346
70,2020-04-01,19,108.83745488527795,310.68178002609625,True,71,36.777375066124115,530.6463023796346
71,2020-04-02,22,108.83745488527795,310.68178002609625,True,72,39.38979343040671,530.6463023796346
72,2020-04-03,22,108.83745488527795,310.68178002609625,True,73,42.174392824891214,530.6463023796346
73,2020-04-04,22,108.83745488527795,310.68178002609625,True,74,45.14057626828224,530.6463023796346
74,2020-04-05,45,108.83745488527795,310.68178002609625,True,75,48.29797924776357,530.6463023796346
75,2020-04-06,45,108.83745488527795,310.68178002609625,True,76,51.65643170445665,530.6463023796346
76,2020-04-07,45,108.83745488527795,310.68178002609625,True,77,55.22591233458023,530.6463023796346
77,2020-04-08,45,108.83745488527795,310.68178002609625,True,78,59.01649456991406,530.6463023796346
78,2020-04-09,60,108.83745488527795,310.68178002609625,True,79,63.038283645742666,530.6463023796346
79,2020-04-10,60,108.83745488527795,310.68178002609625,True,80,67.30134423494161,530.6463023796346
80,2020-04-11,60,108.83745488527795,310.68178002609625,True,81,71.81561822733731,530.6463023796346
81,2020-04-12,60,108.83745488527795,310.68178002609625,True,82,76.59083236783243,530.6463023796346
82,2020-04-13,60,108.83745488527795,310.68178002609625,True,83,81.63639563855271,530.6463023796346
83,2020-04-14,60,108.83745488527795,310.68178002609625,True,84,86.96128648221412,530.6463023796346
84,2020-04-15,117,108.83745488527795,310.68178002609625,True,85,92.5739302177311,530.6463023796346
85,2020-04-16,117,108.83745488527795,310.68178002609625,True,86,98.48206729498823,530.6463023796346
86,2020-04-17,143,108.83745488527795,310.68178002609625,True,87,104.69261337192755,530.6463023796346
87,2020-04-18,143,108.83745488527795,310.68178002609625,True,88,111.21151256954072,530.6463023796346
88,2020-04-19,143,108.83745488527795,310.68178002609625,True,89,118.04358566205845,530.6463023796346
89,2020-04-20,160,108.83745488527795,310.68178002609625,True,90,125.1923753805128,530.6463023796346
90,2020-04-21,165,108.83745488527795,310.68178002609625,True,91,132.65999143446206,530.6463023796346
91,2020-04-22,186,108.83745488527795,310.68178002609625,True,92,140.4469582721646,530.6463023796346
92,2020-04-23,186,108.83745488527795,310.68178002609625,True,93,148.55206898382215,530.6463023796346
93,2020-04-24,200,108.83745488527795,310.68178002609625,True,94,156.97224908297315,530.6463023796346
94,2020-04-25,200,108.83745488527795,310.68178002609625,True,95,165.7024341531527,530.6463023796346
95,2020-04-26,200,108.83745488527795,310.68178002609625,True,96,174.73546549535266,530.6463023796346
96,2020-04-27,200,108.83745488527795,310.68178002609625,True,97,184.06200793233427,530.6463023796346
97,2020-04-28,207,108.83745488527795,310.68178002609625,True,98,193.67049379690306,530.6463023796346
98,2020-04-29,207,108.83745488527795,310.68178002609625,True,99,203.547096835988,530.6463023796346
99,2020-04-30,220,108.83745488527795,310.68178002609625,True,100,213.67573929067538,530.6463023796346
100,2020-05-01,229,108.83745488527795,310.68178002609625,True,101,224.0381347627386,530.6463023796346
101,2020-05-02,229,108.83745488527795,310.68178002609625,True,102,234.6138686592972,530.6463023796346
102,2020-05-03,229,108.83745488527795,310.68178002609625,True,103,245.3805170387139,530.6463023796346
103,2020-05-04,236,108.83745488527795,310.68178002609625,True,104,256.3138035935623,530.6463023796346
104,2020-05-05,236,108.83745488527795,310.68178002609625,True,105,267.38779334174865,530.6463023796346
105,2020-05-06,264,108.83745488527795,310.68178002609625,True,106,278.57512040462615,530.6463023796346
106,2020-05-07,264,108.83745488527795,310.68178002609625,True,107,289.8472460871523,530.6463023796346
107,2020-05-08,274,108.83745488527795,310.68178002609625,True,108,301.17474239830057,530.6463023796346
108,2020-05-09,274,108.83745488527795,310.68178002609625,True,109,312.5275952170693,530.6463023796346
109,2020-05-10,274,108.83745488527795,310.68178002609625,True,110,323.87552057195296,530.6463023796346
110,2020-05-11,333,108.83745488527795,310.68178002609625,True,111,335.18828700146963,530.6463023796346
111,2020-05-12,333,108.83745488527795,310.68178002609625,True,112,346.4360367292288,530.6463023796346
112,2020-05-13,333,108.83745488527795,310.68178002609625,True,113,357.5895984327691,530.6463023796346
113,2020-05-14,391,108.83745488527795,310.68178002609625,True,114,368.6207847083043,530.6463023796346
114,2020-05-15,391,108.83745488527795,310.68178002609625,True,115,379.5026679147596,530.6463023796346
115,2020-05-16,391,108.83745488527795,310.68178002609625,True,116,390.20982888660325,530.6463023796346
116,2020-05-17,391,108.83745488527795,310.68178002609625,True,117,400.71857399065334,530.6463023796346
117,2020-05-18,412,108.83745488527795,310.68178002609625,True,118,411.00711711354717,530.6463023796346
118,2020-05-19,420,108.83745488527795,310.68178002609625,True,119,421.0557243459774,530.6463023796346
119,2020-05-20,420,108.83745488527795,310.68178002609625,True,120,430.84682031901497,530.6463023796346
120,2020-05-21,469,108.83745488527795,310.68178002609625,True,121,440.36505629251144,530.6463023796346
121,2020-05-22,469,108.83745488527795,310.68178002609625,True,122,449.5973411482887,530.6463023796346
122,2020-05-23,487,108.83745488527795,310.68178002609625,True,123,458.53283736357247,530.6463023796346
