,Report_Date,Bahamas_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
24,2020-02-15,0,77.49604749167005,34.581787433810376,True,25,0.028358601767005616,64.38355094293247
25,2020-02-16,0,77.49604749167005,34.581787433810376,True,26,0.03289847099549895,64.38355094293247
26,2020-02-17,0,77.49604749167005,34.581787433810376,True,27,0.03816471718763353,64.38355094293247
27,2020-02-18,0,77.49604749167005,34.581787433810376,True,28,0.044273421610310414,64.38355094293247
28,2020-02-19,0,77.49604749167005,34.581787433810376,True,29,0.051359168364989334,64.38355094293247
29,2020-02-20,0,77.49604749167005,34.581787433810376,True,30,0.05957797708314893,64.38355094293247
30,2020-02-21,0,77.49604749167005,34.581787433810376,True,31,0.06911069472086036,64.38355094293247
31,2020-02-22,0,77.49604749167005,34.581787433810376,True,32,0.08016691633449559,64.38355094293247
32,2020-02-23,0,77.49604749167005,34.581787433810376,True,33,0.09298951466242493,64.38355094293247
33,2020-02-24,0,77.49604749167005,34.581787433810376,True,34,0.10785986944761958,64.38355094293247
34,2020-02-25,0,77.49604749167005,34.581787433810376,True,35,0.12510389975715924,64.38355094293247
35,2020-02-26,0,77.49604749167005,34.581787433810376,True,36,0.14509901609023285,64.38355094293247
36,2020-02-27,0,77.49604749167005,34.581787433810376,True,37,0.1682821237578679,64.38355094293247
37,2020-02-28,0,77.49604749167005,34.581787433810376,True,38,0.19515882471531001,64.38355094293247
38,2020-02-29,0,77.49604749167005,34.581787433810376,True,39,0.22631398144988604,64.38355094293247
39,2020-03-01,0,77.49604749167005,34.581787433810376,True,40,0.2624238232058167,64.38355094293247
40,2020-03-02,0,77.49604749167005,34.581787433810376,True,41,0.30426979103810564,64.38355094293247
41,2020-03-03,0,77.49604749167005,34.581787433810376,True,42,0.3527543328547839,64.38355094293247
42,2020-03-04,0,77.49604749167005,34.581787433810376,True,43,0.4089188711827963,64.38355094293247
43,2020-03-05,0,77.49604749167005,34.581787433810376,True,44,0.47396417270330704,64.38355094293247
44,2020-03-06,0,77.49604749167005,34.581787433810376,True,45,0.5492733466522024,64.38355094293247
45,2020-03-07,0,77.49604749167005,34.581787433810376,True,46,0.6364376849173093,64.38355094293247
46,2020-03-08,0,77.49604749167005,34.581787433810376,True,47,0.7372855246883593,64.38355094293247
47,2020-03-09,0,77.49604749167005,34.581787433810376,True,48,0.8539142577610669,64.38355094293247
48,2020-03-10,0,77.49604749167005,34.581787433810376,True,49,0.9887255199664701,64.38355094293247
49,2020-03-11,0,77.49604749167005,34.581787433810376,True,50,1.144463458208678,64.38355094293247
50,2020-03-12,0,77.49604749167005,34.581787433810376,True,51,1.3242557770799352,64.38355094293247
51,2020-03-13,0,77.49604749167005,34.581787433810376,True,52,1.5316569949802519,64.38355094293247
52,2020-03-14,0,77.49604749167005,34.581787433810376,True,53,1.7706929714283521,64.38355094293247
53,2020-03-15,0,77.49604749167005,34.581787433810376,True,54,2.045905281175587,64.38355094293247
54,2020-03-16,1,77.49604749167005,34.581787433810376,True,55,2.3623933848099745,64.38355094293247
55,2020-03-17,1,77.49604749167005,34.581787433810376,True,56,2.725851760289012,64.38355094293247
56,2020-03-18,1,77.49604749167005,34.581787433810376,True,57,3.1425982031570023,64.38355094293247
