,Report_Date,Haiti_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,0,91.43235226860136,60.77564188108394,True,42,0.8519788706542744,96.71733464774529
42,2020-03-04,0,91.43235226860136,60.77564188108394,True,43,0.9410824887952226,96.71733464774529
43,2020-03-05,0,91.43235226860136,60.77564188108394,True,44,1.0394246959828064,96.71733464774529
44,2020-03-06,0,91.43235226860136,60.77564188108394,True,45,1.1479457570116625,96.71733464774529
45,2020-03-07,0,91.43235226860136,60.77564188108394,True,46,1.2676777687072953,96.71733464774529
46,2020-03-08,0,91.43235226860136,60.77564188108394,True,47,1.3997527798638452,96.71733464774529
47,2020-03-09,0,91.43235226860136,60.77564188108394,True,48,1.5454114396669512,96.71733464774529
48,2020-03-10,0,91.43235226860136,60.77564188108394,True,49,1.7060121639556218,96.71733464774529
49,2020-03-11,0,91.43235226860136,60.77564188108394,True,50,1.8830407949240768,96.71733464774529
50,2020-03-12,0,91.43235226860136,60.77564188108394,True,51,2.0781207125383605,96.71733464774529
51,2020-03-13,0,91.43235226860136,60.77564188108394,True,52,2.2930233344082382,96.71733464774529
52,2020-03-14,0,91.43235226860136,60.77564188108394,True,53,2.5296789144162606,96.71733464774529
53,2020-03-15,0,91.43235226860136,60.77564188108394,True,54,2.790187518317136,96.71733464774529
54,2020-03-16,0,91.43235226860136,60.77564188108394,True,55,3.0768300160073716,96.71733464774529
55,2020-03-17,0,91.43235226860136,60.77564188108394,True,56,3.3920788844575434,96.71733464774529
56,2020-03-18,0,91.43235226860136,60.77564188108394,True,57,3.738608561680126,96.71733464774529
57,2020-03-19,0,91.43235226860136,60.77564188108394,True,58,4.119305029979493,96.71733464774529
58,2020-03-20,2,91.43235226860136,60.77564188108394,True,59,4.537274235718015,96.71733464774529
59,2020-03-21,2,91.43235226860136,60.77564188108394,True,60,4.99584887289275,96.71733464774529
60,2020-03-22,2,91.43235226860136,60.77564188108394,True,61,5.498592969408935,96.71733464774529
61,2020-03-23,6,91.43235226860136,60.77564188108394,True,62,6.049303619210273,96.71733464774529
62,2020-03-24,7,91.43235226860136,60.77564188108394,True,63,6.652009102462606,96.71733464774529
63,2020-03-25,8,91.43235226860136,60.77564188108394,True,64,7.310962533066887,96.71733464774529
64,2020-03-26,8,91.43235226860136,60.77564188108394,True,65,8.030630072678326,96.71733464774529
65,2020-03-27,8,91.43235226860136,60.77564188108394,True,66,8.815672659714465,96.71733464774529
66,2020-03-28,8,91.43235226860136,60.77564188108394,True,67,9.670920129217187,96.71733464774529
67,2020-03-29,15,91.43235226860136,60.77564188108394,True,68,10.601336555868961,96.71733464774529
68,2020-03-30,15,91.43235226860136,60.77564188108394,True,69,11.611975651316614,96.71733464774529
69,2020-03-31,15,91.43235226860136,60.77564188108394,True,70,12.707925103844374,96.71733464774529
70,2020-04-01,16,91.43235226860136,60.77564188108394,True,71,13.894238880785126,96.71733464774529
71,2020-04-02,16,91.43235226860136,60.77564188108394,True,72,15.175856740209486,96.71733464774529
72,2020-04-03,18,91.43235226860136,60.77564188108394,True,73,16.557510536230787,96.71733464774529
73,2020-04-04,20,91.43235226860136,60.77564188108394,True,74,18.04361736700872,96.71733464774529
74,2020-04-05,21,91.43235226860136,60.77564188108394,True,75,19.63816021626497,96.71733464774529
75,2020-04-06,24,91.43235226860136,60.77564188108394,True,76,21.344557479330057,96.71733464774529
76,2020-04-07,25,91.43235226860136,60.77564188108394,True,77,23.165523632665955,96.71733464774529
77,2020-04-08,27,91.43235226860136,60.77564188108394,True,78,25.102924274773464,96.71733464774529
78,2020-04-09,30,91.43235226860136,60.77564188108394,True,79,27.15762979068853,96.71733464774529
79,2020-04-10,31,91.43235226860136,60.77564188108394,True,80,29.329372905432404,96.71733464774529
80,2020-04-11,33,91.43235226860136,60.77564188108394,True,81,31.616616307123987,96.71733464774529
81,2020-04-12,33,91.43235226860136,60.77564188108394,True,82,34.016437234778834,96.71733464774529
82,2020-04-13,40,91.43235226860136,60.77564188108394,True,83,36.52443632685606,96.71733464774529
83,2020-04-14,40,91.43235226860136,60.77564188108394,True,84,39.134678004562296,96.71733464774529
84,2020-04-15,41,91.43235226860136,60.77564188108394,True,85,41.83966912625512,96.71733464774529
85,2020-04-16,41,91.43235226860136,60.77564188108394,True,86,44.63038153752662,96.71733464774529
86,2020-04-17,43,91.43235226860136,60.77564188108394,True,87,47.49632244746327,96.71733464774529
87,2020-04-18,44,91.43235226860136,60.77564188108394,True,88,50.42565433970685,96.71733464774529
88,2020-04-19,47,91.43235226860136,60.77564188108394,True,89,53.40536350016447,96.71733464774529
89,2020-04-20,57,91.43235226860136,60.77564188108394,True,90,56.42147339867138,96.71733464774529
90,2020-04-21,57,91.43235226860136,60.77564188108394,True,91,59.4592963359346,96.71733464774529
91,2020-04-22,62,91.43235226860136,60.77564188108394,True,92,62.50371422003464,96.71733464774529
92,2020-04-23,72,91.43235226860136,60.77564188108394,True,93,65.53947732071035,96.71733464774529
93,2020-04-24,72,91.43235226860136,60.77564188108394,True,94,68.55150857407632,96.71733464774529
94,2020-04-25,72,91.43235226860136,60.77564188108394,True,95,71.52520061193194,96.71733464774529
