,Report_Date,Jamaica_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
20,2020-02-11,0,148.27737313870324,7325.434258078687,False,21,0.7481242237760756,14650.868516157363
21,2020-02-12,0,148.27737313870324,7325.434258078687,False,22,0.8085232473404845,14650.868516157363
22,2020-02-13,0,148.27737313870324,7325.434258078687,False,23,0.8737982318030658,14650.868516157363
23,2020-02-14,0,148.27737313870324,7325.434258078687,False,24,0.9443427604104159,14650.868516157363
24,2020-02-15,0,148.27737313870324,7325.434258078687,False,25,1.0205821778932709,14650.868516157363
25,2020-02-16,0,148.27737313870324,7325.434258078687,False,26,1.1029761521844315,14650.868516157363
26,2020-02-17,0,148.27737313870324,7325.434258078687,False,27,1.1920214425200613,14650.868516157363
27,2020-02-18,0,148.27737313870324,7325.434258078687,False,28,1.2882548905126014,14650.868516157363
28,2020-02-19,0,148.27737313870324,7325.434258078687,False,29,1.3922566521102868,14650.868516157363
29,2020-02-20,0,148.27737313870324,7325.434258078687,False,30,1.5046536897900153,14650.868516157363
30,2020-02-21,0,148.27737313870324,7325.434258078687,False,31,1.6261235458752226,14650.868516157363
31,2020-02-22,0,148.27737313870324,7325.434258078687,False,32,1.757398419537156,14650.868516157363
32,2020-02-23,0,148.27737313870324,7325.434258078687,False,33,1.89926957183595,14650.868516157363
33,2020-02-24,0,148.27737313870324,7325.434258078687,False,34,2.0525920850970985,14650.868516157363
34,2020-02-25,0,148.27737313870324,7325.434258078687,False,35,2.2182900050101613,14650.868516157363
35,2020-02-26,0,148.27737313870324,7325.434258078687,False,36,2.397361896091274,14650.868516157363
36,2020-02-27,0,148.27737313870324,7325.434258078687,False,37,2.5908868435815466,14650.868516157363
37,2020-02-28,0,148.27737313870324,7325.434258078687,False,38,2.8000309374729757,14650.868516157363
38,2020-02-29,0,148.27737313870324,7325.434258078687,False,39,3.0260542771759673,14650.868516157363
39,2020-03-01,0,148.27737313870324,7325.434258078687,False,40,3.2703185383830644,14650.868516157363
40,2020-03-02,0,148.27737313870324,7325.434258078687,False,41,3.5342951469578736,14650.868516157363
41,2020-03-03,0,148.27737313870324,7325.434258078687,False,42,3.8195741082033985,14650.868516157363
42,2020-03-04,0,148.27737313870324,7325.434258078687,False,43,4.127873543658184,14650.868516157363
43,2020-03-05,0,148.27737313870324,7325.434258078687,False,44,4.461049991650656,14650.868516157363
44,2020-03-06,0,148.27737313870324,7325.434258078687,False,45,4.821109532232264,14650.868516157363
45,2020-03-07,0,148.27737313870324,7325.434258078687,False,46,5.21021980182962,14650.868516157363
46,2020-03-08,0,148.27737313870324,7325.434258078687,False,47,5.6307229680272215,14650.868516157363
47,2020-03-09,0,148.27737313870324,7325.434258078687,False,48,6.08514974033913,14650.868516157363
48,2020-03-10,0,148.27737313870324,7325.434258078687,False,49,6.576234498674812,14650.868516157363
49,2020-03-11,1,148.27737313870324,7325.434258078687,False,50,7.10693162747673,14650.868516157363
50,2020-03-12,2,148.27737313870324,7325.434258078687,False,51,7.680433150232081,14650.868516157363
51,2020-03-13,8,148.27737313870324,7325.434258078687,False,52,8.300187766265752,14650.868516157363
52,2020-03-14,8,148.27737313870324,7325.434258078687,False,53,8.969921399434202,14650.868516157363
53,2020-03-15,10,148.27737313870324,7325.434258078687,False,54,9.693659376589858,14650.868516157363
54,2020-03-16,10,148.27737313870324,7325.434258078687,False,55,10.475750362501193,14650.868516157363
55,2020-03-17,12,148.27737313870324,7325.434258078687,False,56,11.320892187324864,14650.868516157363
56,2020-03-18,13,148.27737313870324,7325.434258078687,False,57,12.234159712761217,14650.868516157363
57,2020-03-19,15,148.27737313870324,7325.434258078687,False,58,13.221034893711618,14650.868516157363
58,2020-03-20,16,148.27737313870324,7325.434258078687,False,59,14.287439203621659,14650.868516157363
59,2020-03-21,16,148.27737313870324,7325.434258078687,False,60,15.439768603763055,14650.868516157363
60,2020-03-22,19,148.27737313870324,7325.434258078687,False,61,16.684931249499932,14650.868516157363
61,2020-03-23,19,148.27737313870324,7325.434258078687,False,62,18.030388140120916,14650.868516157363
62,2020-03-24,21,148.27737313870324,7325.434258078687,False,63,19.484196933107537,14650.868516157363
63,2020-03-25,26,148.27737313870324,7325.434258078687,False,64,21.055059158759153,14650.868516157363
64,2020-03-26,26,148.27737313870324,7325.434258078687,False,65,22.752371086901405,14650.868516157363
65,2020-03-27,26,148.27737313870324,7325.434258078687,False,66,24.58627851395558,14650.868516157363
66,2020-03-28,30,148.27737313870324,7325.434258078687,False,67,26.567735755914654,14650.868516157363
67,2020-03-29,32,148.27737313870324,7325.434258078687,False,68,28.708569150715732,14650.868516157363
68,2020-03-30,36,148.27737313870324,7325.434258078687,False,69,31.021545392056886,14650.868516157363
69,2020-03-31,36,148.27737313870324,7325.434258078687,False,70,33.52044503579536,14650.868516157363
70,2020-04-01,44,148.27737313870324,7325.434258078687,False,71,36.22014153957119,14650.868516157363
71,2020-04-02,47,148.27737313870324,7325.434258078687,False,72,39.13668621608032,14650.868516157363
72,2020-04-03,47,148.27737313870324,7325.434258078687,False,73,42.28739950029247,14650.868516157363
73,2020-04-04,53,148.27737313870324,7325.434258078687,False,74,45.69096895063661,14650.868516157363
74,2020-04-05,58,148.27737313870324,7325.434258078687,False,75,49.36755442348103,14650.868516157363
