,Report_Date,Canada_recovered_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
31,2020-02-22,0,332.1170551569143,0.013818063794798358,False,32,1.8565141484402801e-06,9.183808755280788e-07
32,2020-02-23,0,332.1170551569143,0.013818063794798358,False,33,1.91690705167687e-06,9.183808755280788e-07
33,2020-02-24,0,332.1170551569143,0.013818063794798358,False,34,1.9792644115440014e-06,9.183808755280788e-07
34,2020-02-25,0,332.1170551569143,0.013818063794798358,False,35,2.0436501184621434e-06,9.183808755280788e-07
35,2020-02-26,0,332.1170551569143,0.013818063794798358,False,36,2.110130140157703e-06,9.183808755280788e-07
36,2020-02-27,0,332.1170551569143,0.013818063794798358,False,37,2.17877258916299e-06,9.183808755280788e-07
37,2020-02-28,0,332.1170551569143,0.013818063794798358,False,38,2.2496477925068376e-06,9.183808755280788e-07
38,2020-02-29,0,332.1170551569143,0.013818063794798358,False,39,2.322828363666802e-06,9.183808755280788e-07
39,2020-03-01,0,332.1170551569143,0.013818063794798358,False,40,2.3983892768561244e-06,9.183808755280788e-07
40,2020-03-02,0,332.1170551569143,0.013818063794798358,False,41,2.4764079437210358e-06,9.183808755280788e-07
41,2020-03-03,0,332.1170551569143,0.013818063794798358,False,42,2.556964292526377e-06,9.183808755280788e-07
42,2020-03-04,0,332.1170551569143,0.013818063794798358,False,43,2.6401408499100473e-06,9.183808755280788e-07
43,2020-03-05,0,332.1170551569143,0.013818063794798358,False,44,2.7260228252893654e-06,9.183808755280788e-07
44,2020-03-06,0,332.1170551569143,0.013818063794798358,False,45,2.8146981980050953e-06,9.183808755280788e-07
45,2020-03-07,0,332.1170551569143,0.013818063794798358,False,46,2.906257807291669e-06,9.183808755280788e-07
46,2020-03-08,0,332.1170551569143,0.013818063794798358,False,47,3.000795445164956e-06,9.183808755280788e-07
47,2020-03-09,0,332.1170551569143,0.013818063794798358,False,48,3.0984079523218673e-06,9.183808755280788e-07
48,2020-03-10,0,332.1170551569143,0.013818063794798358,False,49,3.199195317149133e-06,9.183808755280788e-07
49,2020-03-11,0,332.1170551569143,0.013818063794798358,False,50,3.3032607779416746e-06,9.183808755280788e-07
50,2020-03-12,0,332.1170551569143,0.013818063794798358,False,51,3.410710928434248e-06,9.183808755280788e-07
51,2020-03-13,0,332.1170551569143,0.013818063794798358,False,52,3.5216558267533436e-06,9.183808755280788e-07
52,2020-03-14,0,332.1170551569143,0.013818063794798358,False,53,3.6362091078997456e-06,9.183808755280788e-07
53,2020-03-15,0,332.1170551569143,0.013818063794798358,False,54,3.754488099875712e-06,9.183808755280788e-07
54,2020-03-16,0,332.1170551569143,0.013818063794798358,False,55,3.876613943574373e-06,9.183808755280788e-07
55,2020-03-17,0,332.1170551569143,0.013818063794798358,False,56,4.0027117165526775e-06,9.183808755280788e-07
56,2020-03-18,0,332.1170551569143,0.013818063794798358,False,57,4.132910560813174e-06,9.183808755280788e-07
57,2020-03-19,0,332.1170551569143,0.013818063794798358,False,58,4.2673438147238105e-06,9.183808755280788e-07
58,2020-03-20,0,332.1170551569143,0.013818063794798358,False,59,4.4061491492091565e-06,9.183808755280788e-07
59,2020-03-21,0,332.1170551569143,0.013818063794798358,False,60,4.549468708350655e-06,9.183808755280788e-07
60,2020-03-22,0,332.1170551569143,0.013818063794798358,False,61,4.697449254537905e-06,9.183808755280788e-07
61,2020-03-23,0,332.1170551569143,0.013818063794798358,False,62,4.850242318317519e-06,9.183808755280788e-07
62,2020-03-24,0,332.1170551569143,0.013818063794798358,False,63,5.008004353090768e-06,9.183808755280788e-07
63,2020-03-25,0,332.1170551569143,0.013818063794798358,False,64,5.1708968948160035e-06,9.183808755280788e-07
64,2020-03-26,0,332.1170551569143,0.013818063794798358,False,65,5.33908672687684e-06,9.183808755280788e-07
65,2020-03-27,0,332.1170551569143,0.013818063794798358,False,66,5.512746050282205e-06,9.183808755280788e-07
66,2020-03-28,0,332.1170551569143,0.013818063794798358,False,67,5.6920526593696016e-06,9.183808755280788e-07
67,2020-03-29,0,332.1170551569143,0.013818063794798358,False,68,5.877190123188387e-06,9.183808755280788e-07
68,2020-03-30,0,332.1170551569143,0.013818063794798358,False,69,6.068347972745478e-06,9.183808755280788e-07
69,2020-03-31,0,332.1170551569143,0.013818063794798358,False,70,6.265721894301671e-06,9.183808755280788e-07
70,2020-04-01,0,332.1170551569143,0.013818063794798358,False,71,6.469513928912683e-06,9.183808755280788e-07
71,2020-04-02,0,332.1170551569143,0.013818063794798358,False,72,6.679932678415241e-06,9.183808755280788e-07
72,2020-04-03,0,332.1170551569143,0.013818063794798358,False,73,6.8971935180647635e-06,9.183808755280788e-07
73,2020-04-04,0,332.1170551569143,0.013818063794798358,False,74,7.121518816037791e-06,9.183808755280788e-07
74,2020-04-05,0,332.1170551569143,0.013818063794798358,False,75,7.353138160018989e-06,9.183808755280788e-07
75,2020-04-06,0,332.1170551569143,0.013818063794798358,False,76,7.592288591099462e-06,9.183808755280788e-07
76,2020-04-07,0,332.1170551569143,0.013818063794798358,False,77,7.839214845220323e-06,9.183808755280788e-07
77,2020-04-08,0,332.1170551569143,0.013818063794798358,False,78,8.094169602402654e-06,9.183808755280788e-07
78,2020-04-09,0,332.1170551569143,0.013818063794798358,False,79,8.357413744012795e-06,9.183808755280788e-07
79,2020-04-10,0,332.1170551569143,0.013818063794798358,False,80,8.629216618319438e-06,9.183808755280788e-07
80,2020-04-11,0,332.1170551569143,0.013818063794798358,False,81,8.909856314607248e-06,9.183808755280788e-07
