,Report_Date,Australia_tasmania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
22,2020-02-13,0,80.69232590892953,130.16071647231374,True,23,0.31462986424719885,244.13718303684107
23,2020-02-14,0,80.69232590892953,130.16071647231374,True,24,0.3534269432476544,244.13718303684107
24,2020-02-15,0,80.69232590892953,130.16071647231374,True,25,0.39700079400536264,244.13718303684107
25,2020-02-16,0,80.69232590892953,130.16071647231374,True,26,0.44593763022155736,244.13718303684107
26,2020-02-17,0,80.69232590892953,130.16071647231374,True,27,0.5008951066418122,244.13718303684107
27,2020-02-18,0,80.69232590892953,130.16071647231374,True,28,0.5626108946185666,244.13718303684107
28,2020-02-19,0,80.69232590892953,130.16071647231374,True,29,0.631912252746069,244.13718303684107
29,2020-02-20,0,80.69232590892953,130.16071647231374,True,30,0.7097266989675939,244.13718303684107
30,2020-02-21,0,80.69232590892953,130.16071647231374,True,31,0.7970938994837805,244.13718303684107
31,2020-02-22,0,80.69232590892953,130.16071647231374,True,32,0.8951788987639272,244.13718303684107
32,2020-02-23,0,80.69232590892953,130.16071647231374,True,33,1.0052868237253736,244.13718303684107
33,2020-02-24,0,80.69232590892953,130.16071647231374,True,34,1.1288792033543185,244.13718303684107
34,2020-02-25,0,80.69232590892953,130.16071647231374,True,35,1.2675920522331912,244.13718303684107
35,2020-02-26,0,80.69232590892953,130.16071647231374,True,36,1.4232558720084416,244.13718303684107
36,2020-02-27,0,80.69232590892953,130.16071647231374,True,37,1.5979177279912107,244.13718303684107
37,2020-02-28,0,80.69232590892953,130.16071647231374,True,38,1.79386555782219,244.13718303684107
38,2020-02-29,0,80.69232590892953,130.16071647231374,True,39,2.013654864170111,244.13718303684107
39,2020-03-01,0,80.69232590892953,130.16071647231374,True,40,2.2601379321611503,244.13718303684107
40,2020-03-02,1,80.69232590892953,130.16071647231374,True,41,2.5364956926529456,244.13718303684107
41,2020-03-03,1,80.69232590892953,130.16071647231374,True,42,2.8462723221074726,244.13718303684107
42,2020-03-04,1,80.69232590892953,130.16071647231374,True,43,3.1934126256814808,244.13718303684107
43,2020-03-05,1,80.69232590892953,130.16071647231374,True,44,3.582302188629315,244.13718303684107
44,2020-03-06,1,80.69232590892953,130.16071647231374,True,45,4.017810197911391,244.13718303684107
45,2020-03-07,1,80.69232590892953,130.16071647231374,True,46,4.505334726003916,244.13718303684107
46,2020-03-08,2,80.69232590892953,130.16071647231374,True,47,5.050850126549594,244.13718303684107
47,2020-03-09,2,80.69232590892953,130.16071647231374,True,48,5.6609560102051075,244.13718303684107
48,2020-03-10,2,80.69232590892953,130.16071647231374,True,49,6.342927041778156,244.13718303684107
49,2020-03-11,3,80.69232590892953,130.16071647231374,True,50,7.10476251911908,244.13718303684107
50,2020-03-12,3,80.69232590892953,130.16071647231374,True,51,7.955234352951346,244.13718303684107
51,2020-03-13,5,80.69232590892953,130.16071647231374,True,52,8.903931658367421,244.13718303684107
52,2020-03-14,5,80.69232590892953,130.16071647231374,True,53,9.961299688316556,244.13718303684107
53,2020-03-15,6,80.69232590892953,130.16071647231374,True,54,11.138670285450559,244.13718303684107
54,2020-03-16,7,80.69232590892953,130.16071647231374,True,55,12.448280404585566,244.13718303684107
55,2020-03-17,7,80.69232590892953,130.16071647231374,True,56,13.903274574651784,244.13718303684107
56,2020-03-18,10,80.69232590892953,130.16071647231374,True,57,15.517686447681625,244.13718303684107
57,2020-03-19,10,80.69232590892953,130.16071647231374,True,58,17.306393858469637,244.13718303684107
58,2020-03-20,10,80.69232590892953,130.16071647231374,True,59,19.285041145243515,244.13718303684107
59,2020-03-21,16,80.69232590892953,130.16071647231374,True,60,21.46992193392636,244.13718303684107
60,2020-03-22,22,80.69232590892953,130.16071647231374,True,61,23.87781526609263,244.13718303684107
61,2020-03-23,28,80.69232590892953,130.16071647231374,True,62,26.52576797952698,244.13718303684107
62,2020-03-24,28,80.69232590892953,130.16071647231374,True,63,29.43081678102737,244.13718303684107
63,2020-03-25,36,80.69232590892953,130.16071647231374,True,64,32.609644652588536,244.13718303684107
64,2020-03-26,47,80.69232590892953,130.16071647231374,True,65,36.07816827826035,244.13718303684107
65,2020-03-27,47,80.69232590892953,130.16071647231374,True,66,39.85105622708806,244.13718303684107
66,2020-03-28,62,80.69232590892953,130.16071647231374,True,67,43.94118178705741,244.13718303684107
67,2020-03-29,66,80.69232590892953,130.16071647231374,True,68,48.3590196370911,244.13718303684107
68,2020-03-30,66,80.69232590892953,130.16071647231374,True,69,53.11200185527861,244.13718303684107
69,2020-03-31,69,80.69232590892953,130.16071647231374,True,70,58.203855796971894,244.13718303684107
70,2020-04-01,69,80.69232590892953,130.16071647231374,True,71,63.633953624679584,244.13718303684107
71,2020-04-02,72,80.69232590892953,130.16071647231374,True,72,69.39670999352974,244.13718303684107
72,2020-04-03,74,80.69232590892953,130.16071647231374,True,73,75.4810696531252,244.13718303684107
73,2020-04-04,80,80.69232590892953,130.16071647231374,True,74,81.87012946338545,244.13718303684107
74,2020-04-05,82,80.69232590892953,130.16071647231374,True,75,88.54093850575282,244.13718303684107
75,2020-04-06,86,80.69232590892953,130.16071647231374,True,76,95.46451478155319,244.13718303684107
76,2020-04-07,89,80.69232590892953,130.16071647231374,True,77,102.60610703089223,244.13718303684107
77,2020-04-08,98,80.69232590892953,130.16071647231374,True,78,109.92571569923224,244.13718303684107
78,2020-04-09,111,80.69232590892953,130.16071647231374,True,79,117.37886897800398,244.13718303684107
79,2020-04-10,122,80.69232590892953,130.16071647231374,True,80,124.91762982449549,244.13718303684107
80,2020-04-11,133,80.69232590892953,130.16071647231374,True,81,132.49179015182693,244.13718303684107
81,2020-04-12,133,80.69232590892953,130.16071647231374,True,82,140.05019143428518,244.13718303684107
82,2020-04-13,144,80.69232590892953,130.16071647231374,True,83,147.54209907939867,244.13718303684107
83,2020-04-14,165,80.69232590892953,130.16071647231374,True,84,154.91855275568324,244.13718303684107
84,2020-04-15,165,80.69232590892953,130.16071647231374,True,85,162.1336171811078,244.13718303684107
85,2020-04-16,169,80.69232590892953,130.16071647231374,True,86,169.1454673355201,244.13718303684107
86,2020-04-17,180,80.69232590892953,130.16071647231374,True,87,175.91725730872625,244.13718303684107
87,2020-04-18,188,80.69232590892953,130.16071647231374,True,88,182.41774093658762,244.13718303684107
88,2020-04-19,195,80.69232590892953,130.16071647231374,True,89,188.62163256541797,244.13718303684107
89,2020-04-20,200,80.69232590892953,130.16071647231374,True,90,194.5097153581578,244.13718303684107
90,2020-04-21,201,80.69232590892953,130.16071647231374,True,91,200.06872059872424,244.13718303684107
91,2020-04-22,205,80.69232590892953,130.16071647231374,True,92,205.2910132234011,244.13718303684107
92,2020-04-23,207,80.69232590892953,130.16071647231374,True,93,210.1741258152429,244.13718303684107
93,2020-04-24,207,80.69232590892953,130.16071647231374,True,94,214.7201857173215,244.13718303684107
