,Report_Date,Oman_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
87,2020-04-18,1180,998,146.50736318679776,17990.11808551586,False,88,1045.9365703123997,35980.236171031735
88,2020-04-19,1266,1026,146.50736318679776,17990.11808551586,False,89,1108.5862251873593,35980.236171031735
89,2020-04-20,1410,1165,146.50736318679776,17990.11808551586,False,90,1174.862275643249,35980.236171031735
90,2020-04-21,1508,1262,146.50736318679776,17990.11808551586,False,91,1244.9591356973374,35980.236171031735
91,2020-04-22,1614,1368,146.50736318679776,17990.11808551586,False,92,1319.0797454227463,35980.236171031735
92,2020-04-23,1716,1400,146.50736318679776,17990.11808551586,False,93,1397.4357078097075,35980.236171031735
93,2020-04-24,1790,1455,146.50736318679776,17990.11808551586,False,94,1480.2473941598032,35980.236171031735
94,2020-04-25,1905,1566,146.50736318679776,17990.11808551586,False,95,1567.7440126659435,35980.236171031735
95,2020-04-26,1998,1655,146.50736318679776,17990.11808551586,False,96,1660.163634339928,35980.236171031735
96,2020-04-27,2049,1675,146.50736318679776,17990.11808551586,False,97,1757.7531699476276,35980.236171031735
97,2020-04-28,2131,1757,146.50736318679776,17990.11808551586,False,98,1860.7682911057727,35980.236171031735
98,2020-04-29,2274,1900,146.50736318679776,17990.11808551586,False,99,1969.4732881922623,35980.236171031735
99,2020-04-30,2348,1842,146.50736318679776,17990.11808551586,False,100,2084.1408572338164,35980.236171031735
100,2020-05-01,2447,1941,146.50736318679776,17990.11808551586,False,101,2205.051807472779,35980.236171031735
101,2020-05-02,2483,1721,146.50736318679776,17990.11808551586,False,102,2332.4946808931686,35980.236171031735
102,2020-05-03,2568,1806,146.50736318679776,17990.11808551586,False,103,2466.7652746213994,35980.236171031735
103,2020-05-04,2637,1809,146.50736318679776,17990.11808551586,False,104,2608.16605682827,35980.236171031735
104,2020-05-05,2735,1864,146.50736318679776,17990.11808551586,False,105,2757.0054665679813,35980.236171031735
105,2020-05-06,2903,2002,146.50736318679776,17990.11808551586,False,106,2913.5970879207184,35980.236171031735
106,2020-05-07,2958,1963,146.50736318679776,17990.11808551586,False,107,3078.2586888848614,35980.236171031735
107,2020-05-08,3112,2071,146.50736318679776,17990.11808551586,False,108,3251.3111157217195,35980.236171031735
108,2020-05-09,3224,2139,146.50736318679776,17990.11808551586,False,109,3433.0770339207356,35980.236171031735
109,2020-05-10,3399,2265,146.50736318679776,17990.11808551586,False,110,3623.8795076585448,35980.236171031735
110,2020-05-11,3573,2306,146.50736318679776,17990.11808551586,False,111,3824.040410603581,35980.236171031735
111,2020-05-12,3721,2454,146.50736318679776,17990.11808551586,False,112,4033.878662201963,35980.236171031735
112,2020-05-13,4019,2713,146.50736318679776,17990.11808551586,False,113,4253.708285200727,35980.236171031735
113,2020-05-14,4341,3020,146.50736318679776,17990.11808551586,False,114,4483.836282149355,35980.236171031735
