,Report_Date,Niger_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,0,82.02252787203396,438.47898789161314,True,42,3.174505257243602,838.6019023604415
42,2020-03-04,0,82.02252787203396,438.47898789161314,True,43,3.650884342750509,838.6019023604415
43,2020-03-05,0,82.02252787203396,438.47898789161314,True,44,4.198407311828911,838.6019023604415
44,2020-03-06,0,82.02252787203396,438.47898789161314,True,45,4.827588367103837,838.6019023604415
45,2020-03-07,0,82.02252787203396,438.47898789161314,True,46,5.550460000128475,838.6019023604415
46,2020-03-08,0,82.02252787203396,438.47898789161314,True,47,6.380780791240679,838.6019023604415
47,2020-03-09,0,82.02252787203396,438.47898789161314,True,48,7.334267942229877,838.6019023604415
48,2020-03-10,0,82.02252787203396,438.47898789161314,True,49,8.428856249995652,838.6019023604415
49,2020-03-11,0,82.02252787203396,438.47898789161314,True,50,9.68498489013892,838.6019023604415
50,2020-03-12,0,82.02252787203396,438.47898789161314,True,51,11.12591282439529,838.6019023604415
51,2020-03-13,0,82.02252787203396,438.47898789161314,True,52,12.77806280306388,838.6019023604415
52,2020-03-14,0,82.02252787203396,438.47898789161314,True,53,14.671392714095218,838.6019023604415
53,2020-03-15,0,82.02252787203396,438.47898789161314,True,54,16.839791326487237,838.6019023604415
54,2020-03-16,0,82.02252787203396,438.47898789161314,True,55,19.32149315998925,838.6019023604415
55,2020-03-17,0,82.02252787203396,438.47898789161314,True,56,22.15950414103602,838.6019023604415
56,2020-03-18,0,82.02252787203396,438.47898789161314,True,57,25.402025719117105,838.6019023604415
57,2020-03-19,0,82.02252787203396,438.47898789161314,True,58,29.102860059749535,838.6019023604415
58,2020-03-20,1,82.02252787203396,438.47898789161314,True,59,33.32177265901804,838.6019023604415
59,2020-03-21,1,82.02252787203396,438.47898789161314,True,60,38.124781148281976,838.6019023604415
60,2020-03-22,2,82.02252787203396,438.47898789161314,True,61,43.58433017943093,838.6019023604415
61,2020-03-23,3,82.02252787203396,438.47898789161314,True,62,49.779302265125075,838.6019023604415
62,2020-03-24,3,82.02252787203396,438.47898789161314,True,63,56.79480370650666,838.6019023604415
63,2020-03-25,7,82.02252787203396,438.47898789161314,True,64,64.72165403928764,838.6019023604415
64,2020-03-26,10,82.02252787203396,438.47898789161314,True,65,73.65549800878405,838.6019023604415
65,2020-03-27,10,82.02252787203396,438.47898789161314,True,66,83.69545277556718,838.6019023604415
66,2020-03-28,10,82.02252787203396,438.47898789161314,True,67,94.94220235212697,838.6019023604415
67,2020-03-29,18,82.02252787203396,438.47898789161314,True,68,107.49545932591576,838.6019023604415
68,2020-03-30,27,82.02252787203396,438.47898789161314,True,69,121.45073436078515,838.6019023604415
69,2020-03-31,27,82.02252787203396,438.47898789161314,True,70,136.895390467471,838.6019023604415
70,2020-04-01,74,82.02252787203396,438.47898789161314,True,71,153.90401458522513,838.6019023604415
71,2020-04-02,98,82.02252787203396,438.47898789161314,True,72,172.5332148248688,838.6019023604415
72,2020-04-03,120,82.02252787203396,438.47898789161314,True,73,192.81604582640426,838.6019023604415
73,2020-04-04,144,82.02252787203396,438.47898789161314,True,74,214.75637052720427,838.6019023604415
74,2020-04-05,184,82.02252787203396,438.47898789161314,True,75,238.32357203631918,838.6019023604415
75,2020-04-06,253,82.02252787203396,438.47898789161314,True,76,263.4481164249448,838.6019023604415
76,2020-04-07,278,82.02252787203396,438.47898789161314,True,77,290.0185142037723,838.6019023604415
77,2020-04-08,342,82.02252787203396,438.47898789161314,True,78,317.88021287789496,838.6019023604415
78,2020-04-09,410,82.02252787203396,438.47898789161314,True,79,346.83685835065063,838.6019023604415
79,2020-04-10,438,82.02252787203396,438.47898789161314,True,80,376.65418391203445,838.6019023604415
80,2020-04-11,491,82.02252787203396,438.47898789161314,True,81,407.0665339359677,838.6019023604415
81,2020-04-12,529,82.02252787203396,438.47898789161314,True,82,437.78573587294784,838.6019023604415
82,2020-04-13,529,82.02252787203396,438.47898789161314,True,83,468.5117445744872,838.6019023604415
83,2020-04-14,570,82.02252787203396,438.47898789161314,True,84,498.94424951662637,838.6019023604415
84,2020-04-15,584,82.02252787203396,438.47898789161314,True,85,528.7943037657631,838.6019023604415
85,2020-04-16,584,82.02252787203396,438.47898789161314,True,86,557.7950305178997,838.6019023604415
86,2020-04-17,627,82.02252787203396,438.47898789161314,True,87,585.7105893681405,838.6019023604415
87,2020-04-18,639,82.02252787203396,438.47898789161314,True,88,612.3428142354294,838.6019023604415
88,2020-04-19,648,82.02252787203396,438.47898789161314,True,89,637.5352230123115,838.6019023604415
89,2020-04-20,648,82.02252787203396,438.47898789161314,True,90,661.1743934424196,838.6019023604415
90,2020-04-21,657,82.02252787203396,438.47898789161314,True,91,683.1889540243199,838.6019023604415
91,2020-04-22,662,82.02252787203396,438.47898789161314,True,92,703.5466214421588,838.6019023604415
92,2020-04-23,671,82.02252787203396,438.47898789161314,True,93,722.2498144465594,838.6019023604415
93,2020-04-24,681,82.02252787203396,438.47898789161314,True,94,739.3303927601983,838.6019023604415
