,Report_Date,Bosnia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
28,2020-02-19,0,75.98009902418545,700.3663068677988,True,29,1.1334389611224334,1326.4229970865101
29,2020-02-20,0,75.98009902418545,700.3663068677988,True,30,1.3187040839838733,1326.4229970865101
30,2020-02-21,0,75.98009902418545,700.3663068677988,True,31,1.5342183357503192,1326.4229970865101
31,2020-02-22,0,75.98009902418545,700.3663068677988,True,32,1.7849089036812134,1326.4229970865101
32,2020-02-23,0,75.98009902418545,700.3663068677988,True,33,2.076501403359065,1326.4229970865101
33,2020-02-24,0,75.98009902418545,700.3663068677988,True,34,2.4156477954650124,1326.4229970865101
34,2020-02-25,0,75.98009902418545,700.3663068677988,True,35,2.810074277937595,1326.4229970865101
35,2020-02-26,0,75.98009902418545,700.3663068677988,True,36,3.268752088570957,1326.4229970865101
36,2020-02-27,0,75.98009902418545,700.3663068677988,True,37,3.8020945178059513,1326.4229970865101
37,2020-02-28,0,75.98009902418545,700.3663068677988,True,38,4.422183816313305,1326.4229970865101
38,2020-02-29,0,75.98009902418545,700.3663068677988,True,39,5.1430320770415845,1326.4229970865101
39,2020-03-01,0,75.98009902418545,700.3663068677988,True,40,5.980880560917542,1326.4229970865101
40,2020-03-02,0,75.98009902418545,700.3663068677988,True,41,6.954542295464787,1326.4229970865101
41,2020-03-03,0,75.98009902418545,700.3663068677988,True,42,8.085793071382332,1326.4229970865101
42,2020-03-04,0,75.98009902418545,700.3663068677988,True,43,9.399816144005248,1326.4229970865101
43,2020-03-05,2,75.98009902418545,700.3663068677988,True,44,10.925705945517997,1326.4229970865101
44,2020-03-06,2,75.98009902418545,700.3663068677988,True,45,12.697035835465744,1326.4229970865101
45,2020-03-07,3,75.98009902418545,700.3663068677988,True,46,14.752494234806736,1326.4229970865101
46,2020-03-08,3,75.98009902418545,700.3663068677988,True,47,17.13659223517849,1326.4229970865101
47,2020-03-09,3,75.98009902418545,700.3663068677988,True,48,19.900443733260115,1326.4229970865101
