,Report_Date,China_guizhou_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,146,15.865851291388056,73.26225094785714,True,33,145.72924179229273,146.52450189458276
33,2020-02-24,146,15.865851291388056,73.26225094785714,True,34,145.93694473427269,146.52450189458276
34,2020-02-25,146,15.865851291388056,73.26225094785714,True,35,146.0905621614696,146.52450189458276
35,2020-02-26,146,15.865851291388056,73.26225094785714,True,36,146.20410433043293,146.52450189458276
36,2020-02-27,146,15.865851291388056,73.26225094785714,True,37,146.2879858077061,146.52450189458276
37,2020-02-28,146,15.865851291388056,73.26225094785714,True,38,146.349932970159,146.52450189458276
38,2020-02-29,146,15.865851291388056,73.26225094785714,True,39,146.39566951702236,146.52450189458276
39,2020-03-01,146,15.865851291388056,73.26225094785714,True,40,146.4294310068688,146.52450189458276
40,2020-03-02,146,15.865851291388056,73.26225094785714,True,41,146.45434928509977,146.52450189458276
41,2020-03-03,146,15.865851291388056,73.26225094785714,True,42,146.472738739412,146.52450189458276
42,2020-03-04,146,15.865851291388056,73.26225094785714,True,43,146.48630893130397,146.52450189458276
43,2020-03-05,146,15.865851291388056,73.26225094785714,True,44,146.49632225586376,146.52450189458276
44,2020-03-06,146,15.865851291388056,73.26225094785714,True,45,146.50371068761515,146.52450189458276
45,2020-03-07,146,15.865851291388056,73.26225094785714,True,46,146.50916214614816,146.52450189458276
46,2020-03-08,146,15.865851291388056,73.26225094785714,True,47,146.51318434168596,146.52450189458276
47,2020-03-09,146,15.865851291388056,73.26225094785714,True,48,146.51615194797873,146.52450189458276
48,2020-03-10,146,15.865851291388056,73.26225094785714,True,49,146.51834144295952,146.52450189458276
49,2020-03-11,146,15.865851291388056,73.26225094785714,True,50,146.51995683380076,146.52450189458276
50,2020-03-12,146,15.865851291388056,73.26225094785714,True,51,146.52114864735753,146.52450189458276
51,2020-03-13,146,15.865851291388056,73.26225094785714,True,52,146.52202794689413,146.52450189458276
52,2020-03-14,146,15.865851291388056,73.26225094785714,True,53,146.52267667655894,146.52450189458276
53,2020-03-15,146,15.865851291388056,73.26225094785714,True,54,146.52315529506103,146.52450189458276
54,2020-03-16,146,15.865851291388056,73.26225094785714,True,55,146.52350840857017,146.52450189458276
55,2020-03-17,147,15.865851291388056,73.26225094785714,True,56,146.52376892705024,146.52450189458276
56,2020-03-18,146,15.865851291388056,73.26225094785714,True,57,146.52396113097953,146.52450189458276
57,2020-03-19,146,15.865851291388056,73.26225094785714,True,58,146.5241029340504,146.52450189458276
58,2020-03-20,146,15.865851291388056,73.26225094785714,True,59,146.52420755261346,146.52450189458276
59,2020-03-21,146,15.865851291388056,73.26225094785714,True,60,146.524284737394,146.52450189458276
60,2020-03-22,146,15.865851291388056,73.26225094785714,True,61,146.52434168224428,146.52450189458276
61,2020-03-23,146,15.865851291388056,73.26225094785714,True,62,146.52438369460955,146.52450189458276
62,2020-03-24,146,15.865851291388056,73.26225094785714,True,63,146.52441469018717,146.52450189458276
63,2020-03-25,146,15.865851291388056,73.26225094785714,True,64,146.52443755787618,146.52450189458276
64,2020-03-26,146,15.865851291388056,73.26225094785714,True,65,146.5244544290298,146.52450189458276
65,2020-03-27,146,15.865851291388056,73.26225094785714,True,66,146.5244668761032,146.52450189458276
66,2020-03-28,146,15.865851291388056,73.26225094785714,True,67,146.5244760592113,146.52450189458276
67,2020-03-29,146,15.865851291388056,73.26225094785714,True,68,146.52448283425548,146.52450189458276
68,2020-03-30,146,15.865851291388056,73.26225094785714,True,69,146.52448783269625,146.52450189458276
69,2020-03-31,146,15.865851291388056,73.26225094785714,True,70,146.52449152040793,146.52450189458276
70,2020-04-01,146,15.865851291388056,73.26225094785714,True,71,146.52449424109983,146.52450189458276
71,2020-04-02,146,15.865851291388056,73.26225094785714,True,72,146.5244962483512,146.52450189458276
72,2020-04-03,146,15.865851291388056,73.26225094785714,True,73,146.5244977292458,146.52450189458276
73,2020-04-04,146,15.865851291388056,73.26225094785714,True,74,146.52449882180895,146.52450189458276
74,2020-04-05,146,15.865851291388056,73.26225094785714,True,75,146.52449962787188,146.52450189458276
75,2020-04-06,146,15.865851291388056,73.26225094785714,True,76,146.5245002225628,146.52450189458276
76,2020-04-07,146,15.865851291388056,73.26225094785714,True,77,146.52450066130936,146.52450189458276
77,2020-04-08,146,15.865851291388056,73.26225094785714,True,78,146.52450098500444,146.52450189458276
78,2020-04-09,146,15.865851291388056,73.26225094785714,True,79,146.52450122381774,146.52450189458276
79,2020-04-10,146,15.865851291388056,73.26225094785714,True,80,146.52450140000755,146.52450189458276
80,2020-04-11,146,15.865851291388056,73.26225094785714,True,81,146.52450152999555,146.52450189458276
81,2020-04-12,146,15.865851291388056,73.26225094785714,True,82,146.5245016258971,146.52450189458276
82,2020-04-13,146,15.865851291388056,73.26225094785714,True,83,146.52450169665062,146.52450189458276
83,2020-04-14,146,15.865851291388056,73.26225094785714,True,84,146.5245017488506,146.52450189458276
84,2020-04-15,146,15.865851291388056,73.26225094785714,True,85,146.52450178736234,146.52450189458276
85,2020-04-16,146,15.865851291388056,73.26225094785714,True,86,146.5245018157752,146.52450189458276
86,2020-04-17,146,15.865851291388056,73.26225094785714,True,87,146.52450183673744,146.52450189458276
87,2020-04-18,146,15.865851291388056,73.26225094785714,True,88,146.52450185220277,146.52450189458276
88,2020-04-19,147,15.865851291388056,73.26225094785714,True,89,146.5245018636127,146.52450189458276
89,2020-04-20,147,15.865851291388056,73.26225094785714,True,90,146.52450187203064,146.52450189458276
