,Report_Date,Slovenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
27,2020-02-18,0,66.58480751986393,652.7548413204389,True,28,4.11450425517518,1286.956874923665
28,2020-02-19,0,66.58480751986393,652.7548413204389,True,29,4.774106007535324,1286.956874923665
29,2020-02-20,0,66.58480751986393,652.7548413204389,True,30,5.53899935287554,1286.956874923665
30,2020-02-21,0,66.58480751986393,652.7548413204389,True,31,6.425836268864526,1286.956874923665
31,2020-02-22,0,66.58480751986393,652.7548413204389,True,32,7.453848531155439,1286.956874923665
32,2020-02-23,0,66.58480751986393,652.7548413204389,True,33,8.645228835188524,1286.956874923665
33,2020-02-24,0,66.58480751986393,652.7548413204389,True,34,10.025561779876174,1286.956874923665
34,2020-02-25,0,66.58480751986393,652.7548413204389,True,35,11.624308944266946,1286.956874923665
35,2020-02-26,0,66.58480751986393,652.7548413204389,True,36,13.47535175632141,1286.956874923665
36,2020-02-27,0,66.58480751986393,652.7548413204389,True,37,15.617594870620295,1286.956874923665
37,2020-02-28,0,66.58480751986393,652.7548413204389,True,38,18.095631169882516,1286.956874923665
38,2020-02-29,0,66.58480751986393,652.7548413204389,True,39,20.96046706870108,1286.956874923665
39,2020-03-01,0,66.58480751986393,652.7548413204389,True,40,24.270303260044944,1286.956874923665
40,2020-03-02,0,66.58480751986393,652.7548413204389,True,41,28.09136108319317,1286.956874923665
41,2020-03-03,0,66.58480751986393,652.7548413204389,True,42,32.49873792902347,1286.956874923665
42,2020-03-04,0,66.58480751986393,652.7548413204389,True,43,37.57726611516779,1286.956874923665
43,2020-03-05,2,66.58480751986393,652.7548413204389,True,44,43.42233802387921,1286.956874923665
44,2020-03-06,7,66.58480751986393,652.7548413204389,True,45,50.1406455998582,1286.956874923665
45,2020-03-07,7,66.58480751986393,652.7548413204389,True,46,57.85076427723817,1286.956874923665
46,2020-03-08,16,66.58480751986393,652.7548413204389,True,47,66.68349002658567,1286.956874923665
47,2020-03-09,16,66.58480751986393,652.7548413204389,True,48,76.78181392139575,1286.956874923665
48,2020-03-10,31,66.58480751986393,652.7548413204389,True,49,88.30039257704937,1286.956874923665
49,2020-03-11,57,66.58480751986393,652.7548413204389,True,50,101.40434722294171,1286.956874923665
50,2020-03-12,89,66.58480751986393,652.7548413204389,True,51,116.26720266008448,1286.956874923665
51,2020-03-13,141,66.58480751986393,652.7548413204389,True,52,133.06776532078715,1286.956874923665
52,2020-03-14,181,66.58480751986393,652.7548413204389,True,53,151.98574441617572,1286.956874923665
53,2020-03-15,219,66.58480751986393,652.7548413204389,True,54,173.19595083872494,1286.956874923665
54,2020-03-16,253,66.58480751986393,652.7548413204389,True,55,196.8609751790939,1286.956874923665
55,2020-03-17,275,66.58480751986393,652.7548413204389,True,56,223.12235831905883,1286.956874923665
56,2020-03-18,275,66.58480751986393,652.7548413204389,True,57,252.09043146992514,1286.956874923665
57,2020-03-19,286,66.58480751986393,652.7548413204389,True,58,283.8332157506699,1286.956874923665
58,2020-03-20,341,66.58480751986393,652.7548413204389,True,59,318.365021159191,1286.956874923665
59,2020-03-21,383,66.58480751986393,652.7548413204389,True,60,355.6356422881636,1286.956874923665
60,2020-03-22,414,66.58480751986393,652.7548413204389,True,61,395.5212679881509,1286.956874923665
61,2020-03-23,442,66.58480751986393,652.7548413204389,True,62,437.81834623301575,1286.956874923665
62,2020-03-24,480,66.58480751986393,652.7548413204389,True,63,482.2416131670435,1286.956874923665
63,2020-03-25,528,66.58480751986393,652.7548413204389,True,64,528.4272604666913,1286.956874923665
64,2020-03-26,562,66.58480751986393,652.7548413204389,True,65,575.9417652980793,1286.956874923665
65,2020-03-27,632,66.58480751986393,652.7548413204389,True,66,624.2962794077946,1286.956874923665
66,2020-03-28,684,66.58480751986393,652.7548413204389,True,67,672.9657588390727,1286.956874923665
