,Report_Date,Portugal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
36,2020-02-27,0,78.37810047100676,13232.647358187538,True,37,126.68168578753306,26325.70254998687
37,2020-02-28,0,78.37810047100676,13232.647358187538,True,38,144.0272865598422,26325.70254998687
38,2020-02-29,0,78.37810047100676,13232.647358187538,True,39,163.73312998736026,26325.70254998687
39,2020-03-01,0,78.37810047100676,13232.647358187538,True,40,186.1160666632168,26325.70254998687
40,2020-03-02,2,78.37810047100676,13232.647358187538,True,41,211.53422608540453,26325.70254998687
41,2020-03-03,2,78.37810047100676,13232.647358187538,True,42,240.39202786373596,26325.70254998687
42,2020-03-04,5,78.37810047100676,13232.647358187538,True,43,273.1456933116912,26325.70254998687
43,2020-03-05,8,78.37810047100676,13232.647358187538,True,44,310.30927428627365,26325.70254998687
44,2020-03-06,13,78.37810047100676,13232.647358187538,True,45,352.46120484624635,26325.70254998687
45,2020-03-07,20,78.37810047100676,13232.647358187538,True,46,400.25136519816954,26325.70254998687
46,2020-03-08,30,78.37810047100676,13232.647358187538,True,47,454.40862519564763,26325.70254998687
47,2020-03-09,30,78.37810047100676,13232.647358187538,True,48,515.7488048243443,26325.70254998687
48,2020-03-10,41,78.37810047100676,13232.647358187538,True,49,585.182949890539,26325.70254998687
49,2020-03-11,59,78.37810047100676,13232.647358187538,True,50,663.7257705851898,26325.70254998687
50,2020-03-12,59,78.37810047100676,13232.647358187538,True,51,752.5040266481219,26325.70254998687
51,2020-03-13,112,78.37810047100676,13232.647358187538,True,52,852.7645634548685,26325.70254998687
52,2020-03-14,169,78.37810047100676,13232.647358187538,True,53,965.8816066854417,26325.70254998687
53,2020-03-15,245,78.37810047100676,13232.647358187538,True,54,1093.362808102372,26325.70254998687
54,2020-03-16,331,78.37810047100676,13232.647358187538,True,55,1236.8534012663256,26325.70254998687
55,2020-03-17,448,78.37810047100676,13232.647358187538,True,56,1398.137675464257,26325.70254998687
56,2020-03-18,448,78.37810047100676,13232.647358187538,True,57,1579.1368131590764,26325.70254998687
57,2020-03-19,785,78.37810047100676,13232.647358187538,True,58,1781.9019691931637,26325.70254998687
58,2020-03-20,1020,78.37810047100676,13232.647358187538,True,59,2008.6013122486547,26325.70254998687
59,2020-03-21,1280,78.37810047100676,13232.647358187538,True,60,2261.499620630836,26325.70254998687
60,2020-03-22,1600,78.37810047100676,13232.647358187538,True,61,2542.928952855498,26325.70254998687
61,2020-03-23,2060,78.37810047100676,13232.647358187538,True,62,2855.24893448069,26325.70254998687
62,2020-03-24,2362,78.37810047100676,13232.647358187538,True,63,3200.795359309943,26325.70254998687
63,2020-03-25,2995,78.37810047100676,13232.647358187538,True,64,3581.8161436299843,26325.70254998687
64,2020-03-26,3544,78.37810047100676,13232.647358187538,True,65,4000.3942443431984,26325.70254998687
65,2020-03-27,4268,78.37810047100676,13232.647358187538,True,66,4458.3579945771,26325.70254998687
66,2020-03-28,5170,78.37810047100676,13232.647358187538,True,67,4957.18044125216,26325.70254998687
67,2020-03-29,5962,78.37810047100676,13232.647358187538,True,68,5497.870669387781,26325.70254998687
68,2020-03-30,6408,78.37810047100676,13232.647358187538,True,69,6080.861696317187,26325.70254998687
69,2020-03-31,7443,78.37810047100676,13232.647358187538,True,70,6705.901178494899,26325.70254998687
70,2020-04-01,8251,78.37810047100676,13232.647358187538,True,71,7371.952686945484,26325.70254998687
71,2020-04-02,9034,78.37810047100676,13232.647358187538,True,72,8077.116407265721,26325.70254998687
72,2020-04-03,9886,78.37810047100676,13232.647358187538,True,73,8818.578509368564,26325.70254998687
73,2020-04-04,10524,78.37810047100676,13232.647358187538,True,74,9592.597835972378,26325.70254998687
74,2020-04-05,11278,78.37810047100676,13232.647358187538,True,75,10394.536792806313,26325.70254998687
75,2020-04-06,11730,78.37810047100676,13232.647358187538,True,76,11218.94036474534,26325.70254998687
76,2020-04-07,12442,78.37810047100676,13232.647358187538,True,77,12059.663222368148,26325.70254998687
77,2020-04-08,13141,78.37810047100676,13232.647358187538,True,78,12910.040341862032,26325.70254998687
78,2020-04-09,13956,78.37810047100676,13232.647358187538,True,79,13763.09204048623,26325.70254998687
79,2020-04-10,15472,78.37810047100676,13232.647358187538,True,80,14611.7505151065,26325.70254998687
80,2020-04-11,15987,78.37810047100676,13232.647358187538,True,81,15449.092490669778,26325.70254998687
81,2020-04-12,16585,78.37810047100676,13232.647358187538,True,82,16268.56186772885,26325.70254998687
82,2020-04-13,16934,78.37810047100676,13232.647358187538,True,83,17064.167430046888,26325.70254998687
83,2020-04-14,17448,78.37810047100676,13232.647358187538,True,84,17830.643528500157,26325.70254998687
84,2020-04-15,18091,78.37810047100676,13232.647358187538,True,85,18563.565706908776,26325.70254998687
85,2020-04-16,18841,78.37810047100676,13232.647358187538,True,86,19259.417823385407,26325.70254998687
86,2020-04-17,19022,78.37810047100676,13232.647358187538,True,87,19915.611670345348,26325.70254998687
87,2020-04-18,19685,78.37810047100676,13232.647358187538,True,88,20530.46384222934,26325.70254998687
88,2020-04-19,20206,78.37810047100676,13232.647358187538,True,89,21103.13727684543,26325.70254998687
89,2020-04-20,20863,78.37810047100676,13232.647358187538,True,90,21633.556367673107,26325.70254998687
90,2020-04-21,21379,78.37810047100676,13232.647358187538,True,91,22122.30487871476,26325.70254998687
91,2020-04-22,21982,78.37810047100676,13232.647358187538,True,92,22570.515303719723,26325.70254998687
92,2020-04-23,22353,78.37810047100676,13232.647358187538,True,93,22979.757083967816,26325.70254998687
93,2020-04-24,22797,78.37810047100676,13232.647358187538,True,94,23351.929527110842,26325.70254998687
94,2020-04-25,23392,78.37810047100676,13232.647358187538,True,95,23689.16360850179,26325.70254998687
95,2020-04-26,23864,78.37810047100676,13232.647358187538,True,96,23993.735276392174,26325.70254998687
96,2020-04-27,24027,78.37810047100676,13232.647358187538,True,97,24267.991543452925,26325.70254998687
97,2020-04-28,24322,78.37810047100676,13232.647358187538,True,98,24514.289586367453,26325.70254998687
98,2020-04-29,24505,78.37810047100676,13232.647358187538,True,99,24734.948301152792,26325.70254998687
99,2020-04-30,25045,78.37810047100676,13232.647358187538,True,100,24932.21125024965,26325.70254998687
100,2020-05-01,25351,78.37810047100676,13232.647358187538,True,101,25108.21964624537,26325.70254998687
101,2020-05-02,25190,78.37810047100676,13232.647358187538,True,102,25264.993897809338,26325.70254998687
102,2020-05-03,25282,78.37810047100676,13232.647358187538,True,103,25404.42224874338,26325.70254998687
103,2020-05-04,25524,78.37810047100676,13232.647358187538,True,104,25528.2551294743,26325.70254998687
104,2020-05-05,25702,78.37810047100676,13232.647358187538,True,105,25638.10397812859,26325.70254998687
105,2020-05-06,26182,78.37810047100676,13232.647358187538,True,106,25735.44344990633,26325.70254998687
106,2020-05-07,26715,78.37810047100676,13232.647358187538,True,107,25821.61610056697,26325.70254998687
107,2020-05-08,27268,78.37810047100676,13232.647358187538,True,108,25897.838790376023,26325.70254998687
108,2020-05-09,27406,78.37810047100676,13232.647358187538,True,109,25965.210201594105,26325.70254998687
