,Report_Date,Kyrgyzstan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
38,2020-02-29,0,84.2487324697966,419.73935443425887,True,39,1.7285796080149345,752.0887196826113
39,2020-03-01,0,84.2487324697966,419.73935443425887,True,40,1.9811006075367055,752.0887196826113
40,2020-03-02,0,84.2487324697966,419.73935443425887,True,41,2.2704113727520197,752.0887196826113
41,2020-03-03,0,84.2487324697966,419.73935443425887,True,42,2.601840487162312,752.0887196826113
42,2020-03-04,0,84.2487324697966,419.73935443425887,True,43,2.9814785194111217,752.0887196826113
43,2020-03-05,0,84.2487324697966,419.73935443425887,True,44,3.4162839193646004,752.0887196826113
44,2020-03-06,0,84.2487324697966,419.73935443425887,True,45,3.9142026673945445,752.0887196826113
45,2020-03-07,0,84.2487324697966,419.73935443425887,True,46,4.484303156054275,752.0887196826113
46,2020-03-08,0,84.2487324697966,419.73935443425887,True,47,5.136927840010885,752.0887196826113
47,2020-03-09,0,84.2487324697966,419.73935443425887,True,48,5.8838632088142555,752.0887196826113
48,2020-03-10,0,84.2487324697966,419.73935443425887,True,49,6.738529599699795,752.0887196826113
49,2020-03-11,0,84.2487324697966,419.73935443425887,True,50,7.716192250314673,752.0887196826113
50,2020-03-12,0,84.2487324697966,419.73935443425887,True,51,8.834194763175132,752.0887196826113
51,2020-03-13,0,84.2487324697966,419.73935443425887,True,52,10.112215775409988,752.0887196826113
52,2020-03-14,0,84.2487324697966,419.73935443425887,True,53,11.572549049363552,752.0887196826113
53,2020-03-15,0,84.2487324697966,419.73935443425887,True,54,13.240406360605846,752.0887196826113
54,2020-03-16,0,84.2487324697966,419.73935443425887,True,55,15.144241385417605,752.0887196826113
55,2020-03-17,0,84.2487324697966,419.73935443425887,True,56,17.316091191664242,752.0887196826113
56,2020-03-18,3,84.2487324697966,419.73935443425887,True,57,19.791929813612228,752.0887196826113
57,2020-03-19,3,84.2487324697966,419.73935443425887,True,58,22.61202563035978,752.0887196826113
58,2020-03-20,6,84.2487324697966,419.73935443425887,True,59,25.821290751835846,752.0887196826113
59,2020-03-21,14,84.2487324697966,419.73935443425887,True,60,29.469606234062404,752.0887196826113
60,2020-03-22,14,84.2487324697966,419.73935443425887,True,61,33.612101607945284,752.0887196826113
61,2020-03-23,16,84.2487324697966,419.73935443425887,True,62,38.30936087440809,752.0887196826113
62,2020-03-24,42,84.2487324697966,419.73935443425887,True,63,43.627519842592115,752.0887196826113
63,2020-03-25,44,84.2487324697966,419.73935443425887,True,64,49.63821165696176,752.0887196826113
64,2020-03-26,44,84.2487324697966,419.73935443425887,True,65,56.41830897061965,752.0887196826113
65,2020-03-27,58,84.2487324697966,419.73935443425887,True,66,64.04940315952068,752.0887196826113
66,2020-03-28,58,84.2487324697966,419.73935443425887,True,67,72.61695428981218,752.0887196826113
67,2020-03-29,84,84.2487324697966,419.73935443425887,True,68,82.20904174725946,752.0887196826113
68,2020-03-30,94,84.2487324697966,419.73935443425887,True,69,92.91464649552071,752.0887196826113
69,2020-03-31,107,84.2487324697966,419.73935443425887,True,70,104.82140427675218,752.0887196826113
70,2020-04-01,111,84.2487324697966,419.73935443425887,True,71,118.01278741489851,752.0887196826113
71,2020-04-02,116,84.2487324697966,419.73935443425887,True,72,132.56470387918517,752.0887196826113
72,2020-04-03,130,84.2487324697966,419.73935443425887,True,73,148.54154792910236,752.0887196826113
73,2020-04-04,144,84.2487324697966,419.73935443425887,True,74,165.9917975649224,752.0887196826113
74,2020-04-05,147,84.2487324697966,419.73935443425887,True,75,184.9433282942475,752.0887196826113
75,2020-04-06,216,84.2487324697966,419.73935443425887,True,76,205.39869513126055,752.0887196826113
76,2020-04-07,228,84.2487324697966,419.73935443425887,True,77,227.33071592910605,752.0887196826113
77,2020-04-08,270,84.2487324697966,419.73935443425887,True,78,250.67875574731679,752.0887196826113
78,2020-04-09,280,84.2487324697966,419.73935443425887,True,79,275.3461478186926,752.0887196826113
79,2020-04-10,298,84.2487324697966,419.73935443425887,True,80,301.1991754933521,752.0887196826113
80,2020-04-11,339,84.2487324697966,419.73935443425887,True,81,328.0679687688247,752.0887196826113
81,2020-04-12,377,84.2487324697966,419.73935443425887,True,82,355.74953441023825,752.0887196826113
82,2020-04-13,419,84.2487324697966,419.73935443425887,True,83,384.01294802603485,752.0887196826113
83,2020-04-14,430,84.2487324697966,419.73935443425887,True,84,412.60651112225304,752.0887196826113
84,2020-04-15,449,84.2487324697966,419.73935443425887,True,85,441.26644886971593,752.0887196826113
85,2020-04-16,466,84.2487324697966,419.73935443425887,True,86,469.7265333260666,752.0887196826113
86,2020-04-17,489,84.2487324697966,419.73935443425887,True,87,497.7278972675485,752.0887196826113
87,2020-04-18,506,84.2487324697966,419.73935443425887,True,88,525.0282787263294,752.0887196826113
88,2020-04-19,554,84.2487324697966,419.73935443425887,True,89,551.4100107437237,752.0887196826113
89,2020-04-20,568,84.2487324697966,419.73935443425887,True,90,576.6862301510289,752.0887196826113
