,Report_Date,Cyprus_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
53,2020-03-15,26,26,75.94160401399655,453.02511669322234,True,54,41.59855774113173,905.8803039463952
54,2020-03-16,33,33,75.94160401399655,453.02511669322234,True,55,47.444356468012785,905.8803039463952
55,2020-03-17,46,46,75.94160401399655,453.02511669322234,True,56,54.06028430864585,905.8803039463952
56,2020-03-18,49,49,75.94160401399655,453.02511669322234,True,57,61.53266077800529,905.8803039463952
57,2020-03-19,67,67,75.94160401399655,453.02511669322234,True,58,69.95308871535066,905.8803039463952
58,2020-03-20,67,67,75.94160401399655,453.02511669322234,True,59,79.41744866002028,905.8803039463952
59,2020-03-21,84,84,75.94160401399655,453.02511669322234,True,60,90.024423873142,905.8803039463952
60,2020-03-22,95,91,75.94160401399655,453.02511669322234,True,61,101.87347561095876,905.8803039463952
61,2020-03-23,116,112,75.94160401399655,453.02511669322234,True,62,115.06219915802515,905.8803039463952
62,2020-03-24,124,118,75.94160401399655,453.02511669322234,True,63,129.68301436399275,905.8803039463952
63,2020-03-25,132,126,75.94160401399655,453.02511669322234,True,64,145.81918316425202,905.8803039463952
64,2020-03-26,146,139,75.94160401399655,453.02511669322234,True,65,163.5402030910803,905.8803039463952
65,2020-03-27,162,142,75.94160401399655,453.02511669322234,True,66,182.89670046896117,905.8803039463952
66,2020-03-28,179,159,75.94160401399655,453.02511669322234,True,67,203.91503705260237,905.8803039463952
67,2020-03-29,214,194,75.94160401399655,453.02511669322234,True,68,226.59194218487104,905.8803039463952
68,2020-03-30,230,201,75.94160401399655,453.02511669322234,True,69,250.88957693631085,905.8803039463952
69,2020-03-31,262,231,75.94160401399655,453.02511669322234,True,70,276.73151017156624,905.8803039463952
70,2020-04-01,320,283,75.94160401399655,453.02511669322234,True,71,304.00011914749155,905.8803039463952
71,2020-04-02,356,318,75.94160401399655,453.02511669322234,True,72,332.5358998221403,905.8803039463952
72,2020-04-03,396,357,75.94160401399655,453.02511669322234,True,73,362.1390710600385,905.8803039463952
73,2020-04-04,426,382,75.94160401399655,453.02511669322234,True,74,392.57368019293136,905.8803039463952
74,2020-04-05,446,400,75.94160401399655,453.02511669322234,True,75,423.57417829055504,905.8803039463952
75,2020-04-06,465,411,75.94160401399655,453.02511669322234,True,76,454.8541617575881,905.8803039463952
76,2020-04-07,494,438,75.94160401399655,453.02511669322234,True,77,486.1167148036744,905.8803039463952
77,2020-04-08,526,465,75.94160401399655,453.02511669322234,True,78,517.0655813474702,905.8803039463952
78,2020-04-09,564,501,75.94160401399655,453.02511669322234,True,79,547.4162844327664,905.8803039463952
79,2020-04-10,595,527,75.94160401399655,453.02511669322234,True,80,576.9063182990757,905.8803039463952
80,2020-04-11,616,545,75.94160401399655,453.02511669322234,True,81,605.3036614337942,905.8803039463952
