,Report_Date,Pakistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
52,2020-03-14,31,78.03746680016394,4183.609592243784,True,53,215.39897390258204,7709.632035050465
53,2020-03-15,53,78.03746680016394,4183.609592243784,True,54,248.04300604586132,7709.632035050465
54,2020-03-16,136,78.03746680016394,4183.609592243784,True,55,285.46104618980013,7709.632035050465
55,2020-03-17,236,78.03746680016394,4183.609592243784,True,56,328.29547320055065,7709.632035050465
56,2020-03-18,299,78.03746680016394,4183.609592243784,True,57,377.2573212977948,7709.632035050465
57,2020-03-19,454,78.03746680016394,4183.609592243784,True,58,433.12788738527144,7709.632035050465
58,2020-03-20,501,78.03746680016394,4183.609592243784,True,59,496.75826714521475,7709.632035050465
59,2020-03-21,730,78.03746680016394,4183.609592243784,True,60,569.0660531387856,7709.632035050465
60,2020-03-22,776,78.03746680016394,4183.609592243784,True,61,651.0282977478704,7709.632035050465
61,2020-03-23,875,78.03746680016394,4183.609592243784,True,62,743.6697360650894,7709.632035050465
62,2020-03-24,972,78.03746680016394,4183.609592243784,True,63,848.0452058272733,7709.632035050465
63,2020-03-25,1063,78.03746680016394,4183.609592243784,True,64,965.2152294723027,7709.632035050465
64,2020-03-26,1201,78.03746680016394,4183.609592243784,True,65,1096.2138820123675,7709.632035050465
65,2020-03-27,1373,78.03746680016394,4183.609592243784,True,66,1242.0084069341717,7709.632035050465
66,2020-03-28,1495,78.03746680016394,4183.609592243784,True,67,1403.4506068779285,7709.632035050465
67,2020-03-29,1597,78.03746680016394,4183.609592243784,True,68,1581.2208565493927,7709.632035050465
68,2020-03-30,1717,78.03746680016394,4183.609592243784,True,69,1775.7666586274665,7709.632035050465
69,2020-03-31,1938,78.03746680016394,4183.609592243784,True,70,1987.2389316901144,7709.632035050465
70,2020-04-01,2118,78.03746680016394,4183.609592243784,True,71,2215.430552658685,7709.632035050465
71,2020-04-02,2421,78.03746680016394,4183.609592243784,True,72,2459.7228658180757,7709.632035050465
72,2020-04-03,2686,78.03746680016394,4183.609592243784,True,73,2719.0466408715233,7709.632035050465
73,2020-04-04,2818,78.03746680016394,4183.609592243784,True,74,2991.864014486161,7709.632035050465
74,2020-04-05,3157,78.03746680016394,4183.609592243784,True,75,3276.1770318819736,7709.632035050465
75,2020-04-06,3766,78.03746680016394,4183.609592243784,True,76,3569.566403169782,7709.632035050465
76,2020-04-07,4035,78.03746680016394,4183.609592243784,True,77,3869.261108240499,7709.632035050465
77,2020-04-08,4263,78.03746680016394,4183.609592243784,True,78,4172.235886015913,7709.632035050465
78,2020-04-09,4489,78.03746680016394,4183.609592243784,True,79,4475.330012275576,7709.632035050465
79,2020-04-10,4695,78.03746680016394,4183.609592243784,True,80,4775.377792497415,7709.632035050465
80,2020-04-11,5011,78.03746680016394,4183.609592243784,True,81,5069.339489353147,7709.632035050465
81,2020-04-12,5230,78.03746680016394,4183.609592243784,True,82,5354.421340290538,7709.632035050465
82,2020-04-13,5496,78.03746680016394,4183.609592243784,True,83,5628.174913223518,7709.632035050465
83,2020-04-14,5837,78.03746680016394,4183.609592243784,True,84,5888.56895019522,7709.632035050465
84,2020-04-15,6383,78.03746680016394,4183.609592243784,True,85,6134.030455557753,7709.632035050465
