,Report_Date,China_zhejiang_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,1213,11.634274686161712,607.736537688864,True,42,1215.3557928121575,1215.4730745610789
42,2020-03-04,1213,11.634274686161712,607.736537688864,True,43,1215.3865770844595,1215.4730745610789
43,2020-03-05,1215,11.634274686161712,607.736537688864,True,44,1215.4092815396687,1215.4730745610789
44,2020-03-06,1215,11.634274686161712,607.736537688864,True,45,1215.4260266595927,1215.4730745610789
45,2020-03-07,1215,11.634274686161712,607.736537688864,True,46,1215.4383765111857,1215.4730745610789
46,2020-03-08,1215,11.634274686161712,607.736537688864,True,47,1215.4474847096767,1215.4730745610789
47,2020-03-09,1215,11.634274686161712,607.736537688864,True,48,1215.4542021098553,1215.4730745610789
48,2020-03-10,1215,11.634274686161712,607.736537688864,True,49,1215.4591562521025,1215.4730745610789
49,2020-03-11,1215,11.634274686161712,607.736537688864,True,50,1215.4628099667673,1215.4730745610789
50,2020-03-12,1215,11.634274686161712,607.736537688864,True,51,1215.4655046019566,1215.4730745610789
51,2020-03-13,1215,11.634274686161712,607.736537688864,True,52,1215.4674919078948,1215.4730745610789
52,2020-03-14,1227,11.634274686161712,607.736537688864,True,53,1215.4689575537504,1215.4730745610789
53,2020-03-15,1231,11.634274686161712,607.736537688864,True,54,1215.4700384724615,1215.4730745610789
54,2020-03-16,1231,11.634274686161712,607.736537688864,True,55,1215.4708356531805,1215.4730745610789
55,2020-03-17,1232,11.634274686161712,607.736537688864,True,56,1215.4714235760598,1215.4730745610789
56,2020-03-18,1232,11.634274686161712,607.736537688864,True,57,1215.4718571706019,1215.4730745610789
57,2020-03-19,1233,11.634274686161712,607.736537688864,True,58,1215.472176947552,1215.4730745610789
58,2020-03-20,1234,11.634274686161712,607.736537688864,True,59,1215.4724127837342,1215.4730745610789
59,2020-03-21,1236,11.634274686161712,607.736537688864,True,60,1215.4725867133998,1215.4730745610789
60,2020-03-22,1238,11.634274686161712,607.736537688864,True,61,1215.4727149868718,1215.4730745610789
61,2020-03-23,1238,11.634274686161712,607.736537688864,True,62,1215.4728095888047,1215.4730745610789
62,2020-03-24,1240,11.634274686161712,607.736537688864,True,63,1215.4728793579093,1215.4730745610789
63,2020-03-25,1241,11.634274686161712,607.736537688864,True,64,1215.4729308127542,1215.4730745610789
64,2020-03-26,1243,11.634274686161712,607.736537688864,True,65,1215.4729687607976,1215.4730745610789
65,2020-03-27,1247,11.634274686161712,607.736537688864,True,66,1215.4729967475487,1215.4730745610789
66,2020-03-28,1251,11.634274686161712,607.736537688864,True,67,1215.4730173878288,1215.4730745610789
67,2020-03-29,1254,11.634274686161712,607.736537688864,True,68,1215.473032610073,1215.4730745610789
68,2020-03-30,1255,11.634274686161712,607.736537688864,True,69,1215.4730438365054,1215.4730745610789
69,2020-03-31,1257,11.634274686161712,607.736537688864,True,70,1215.4730521160195,1215.4730745610789
70,2020-04-01,1257,11.634274686161712,607.736537688864,True,71,1215.4730582221762,1215.4730745610789
