,Report_Date,Denmark_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
52,2020-03-14,827,75.74090465912896,4542.304008150106,True,53,552.2164668870896,8270.623633435027
53,2020-03-15,864,75.74090465912896,4542.304008150106,True,54,618.056362390149,8270.623633435027
54,2020-03-16,914,75.74090465912896,4542.304008150106,True,55,691.1104077795511,8270.623633435027
55,2020-03-17,977,75.74090465912896,4542.304008150106,True,56,772.012047339175,8270.623633435027
56,2020-03-18,1057,75.74090465912896,4542.304008150106,True,57,861.4121321683012,8270.623633435027
57,2020-03-19,1151,75.74090465912896,4542.304008150106,True,58,959.9693100293905,8270.623633435027
58,2020-03-20,1255,75.74090465912896,4542.304008150106,True,59,1068.3377736318853,8270.623633435027
59,2020-03-21,1326,75.74090465912896,4542.304008150106,True,60,1187.1521544610728,8270.623633435027
60,2020-03-22,1395,75.74090465912896,4542.304008150106,True,61,1317.0094563761772,8270.623633435027
61,2020-03-23,1450,75.74090465912896,4542.304008150106,True,62,1458.448079526209,8270.623633435027
62,2020-03-24,1591,75.74090465912896,4542.304008150106,True,63,1611.9241946839527,8270.623633435027
63,2020-03-25,1724,75.74090465912896,4542.304008150106,True,64,1777.7859896072118,8270.623633435027
64,2020-03-26,1877,75.74090465912896,4542.304008150106,True,65,1956.2466134836006,8270.623633435027
65,2020-03-27,2046,75.74090465912896,4542.304008150106,True,66,2147.356973897701,8270.623633435027
66,2020-03-28,2201,75.74090465912896,4542.304008150106,True,67,2350.9798627365208,8270.623633435027
67,2020-03-29,2395,75.74090465912896,4542.304008150106,True,68,2566.767161702401,8270.623633435027
68,2020-03-30,2577,75.74090465912896,4542.304008150106,True,69,2794.142055222421,8270.623633435027
69,2020-03-31,2860,75.74090465912896,4542.304008150106,True,70,3032.2882069711163,8270.623633435027
70,2020-04-01,3107,75.74090465912896,4542.304008150106,True,71,3280.147691138493,8270.623633435027
71,2020-04-02,3386,75.74090465912896,4542.304008150106,True,72,3536.429083674484,8270.623633435027
72,2020-04-03,3757,75.74090465912896,4542.304008150106,True,73,3799.6265128098403,8270.623633435027
73,2020-04-04,4077,75.74090465912896,4542.304008150106,True,74,4068.049678544757,8270.623633435027
74,2020-04-05,4369,75.74090465912896,4542.304008150106,True,75,4339.863950831371,8270.623633435027
75,2020-04-06,4681,75.74090465912896,4542.304008150106,True,76,4613.138749413342,8270.623633435027
76,2020-04-07,5071,75.74090465912896,4542.304008150106,True,77,4885.901613534169,8270.623633435027
77,2020-04-08,5402,75.74090465912896,4542.304008150106,True,78,5156.19480018489,8270.623633435027
78,2020-04-09,5635,75.74090465912896,4542.304008150106,True,79,5422.130990680758,8270.623633435027
79,2020-04-10,5819,75.74090465912896,4542.304008150106,True,80,5681.9447770446695,8270.623633435027
80,2020-04-11,5996,75.74090465912896,4542.304008150106,True,81,5934.037027725146,8270.623633435027
81,2020-04-12,6174,75.74090465912896,4542.304008150106,True,82,6177.009931334838,8270.623633435027
82,2020-04-13,6318,75.74090465912896,4542.304008150106,True,83,6409.691384905703,8270.623633435027
83,2020-04-14,6511,75.74090465912896,4542.304008150106,True,84,6631.148310702113,8270.623633435027
84,2020-04-15,6681,75.74090465912896,4542.304008150106,True,85,6840.689339688913,8270.623633435027
