,Report_Date,UK_anguilla_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
42,2020-03-04,0,70.50577854816258,1.8372406011589866,True,43,0.04071481344665388,3.6181774626854892
43,2020-03-05,0,70.50577854816258,1.8372406011589866,True,44,0.04784272236910311,3.6181774626854892
44,2020-03-06,0,70.50577854816258,1.8372406011589866,True,45,0.05619920899295145,3.6181774626854892
45,2020-03-07,0,70.50577854816258,1.8372406011589866,True,46,0.06598872980282149,3.6181774626854892
46,2020-03-08,0,70.50577854816258,1.8372406011589866,True,47,0.07744701852514885,3.6181774626854892
47,2020-03-09,0,70.50577854816258,1.8372406011589866,True,48,0.09084483627571939,3.6181774626854892
48,2020-03-10,0,70.50577854816258,1.8372406011589866,True,49,0.10649176965142257,3.6181774626854892
49,2020-03-11,0,70.50577854816258,1.8372406011589866,True,50,0.1247398916675351,3.6181774626854892
50,2020-03-12,0,70.50577854816258,1.8372406011589866,True,51,0.14598701779077,3.6181774626854892
51,2020-03-13,0,70.50577854816258,1.8372406011589866,True,52,0.17067918575512475,3.6181774626854892
52,2020-03-14,0,70.50577854816258,1.8372406011589866,True,53,0.1993118632468785,3.6181774626854892
53,2020-03-15,0,70.50577854816258,1.8372406011589866,True,54,0.23242924528744516,3.6181774626854892
54,2020-03-16,0,70.50577854816258,1.8372406011589866,True,55,0.27062085234677263,3.6181774626854892
55,2020-03-17,0,70.50577854816258,1.8372406011589866,True,56,0.31451449853248536,3.6181774626854892
56,2020-03-18,0,70.50577854816258,1.8372406011589866,True,57,0.36476459580532283,3.6181774626854892
57,2020-03-19,0,70.50577854816258,1.8372406011589866,True,58,0.42203473820627235,3.6181774626854892
58,2020-03-20,0,70.50577854816258,1.8372406011589866,True,59,0.4869736269676367,3.6181774626854892
59,2020-03-21,0,70.50577854816258,1.8372406011589866,True,60,0.5601837208301105,3.6181774626854892
60,2020-03-22,0,70.50577854816258,1.8372406011589866,True,61,0.6421825928055673,3.6181774626854892
61,2020-03-23,0,70.50577854816258,1.8372406011589866,True,62,0.7333578905168217,3.6181774626854892
62,2020-03-24,0,70.50577854816258,1.8372406011589866,True,63,0.8339180258709735,3.6181774626854892
63,2020-03-25,0,70.50577854816258,1.8372406011589866,True,64,0.9438421675398772,3.6181774626854892
64,2020-03-26,0,70.50577854816258,1.8372406011589866,True,65,1.0628345660845988,3.6181774626854892
65,2020-03-27,0,70.50577854816258,1.8372406011589866,True,66,1.1902893750418855,3.6181774626854892
66,2020-03-28,2,70.50577854816258,1.8372406011589866,True,67,1.3252725314764482,3.6181774626854892
67,2020-03-29,2,70.50577854816258,1.8372406011589866,True,68,1.4665265382348749,3.6181774626854892
68,2020-03-30,2,70.50577854816258,1.8372406011589866,True,69,1.612501929857429,3.6181774626854892
69,2020-03-31,2,70.50577854816258,1.8372406011589866,True,70,1.761415907301739,3.6181774626854892
70,2020-04-01,2,70.50577854816258,1.8372406011589866,True,71,1.911334593497388,3.6181774626854892
71,2020-04-02,3,70.50577854816258,1.8372406011589866,True,72,2.060271428362018,3.6181774626854892
72,2020-04-03,3,70.50577854816258,1.8372406011589866,True,73,2.2062913420992034,3.6181774626854892
73,2020-04-04,3,70.50577854816258,1.8372406011589866,True,74,2.347609280184741,3.6181774626854892
74,2020-04-05,3,70.50577854816258,1.8372406011589866,True,75,2.4826726950903106,3.6181774626854892
75,2020-04-06,3,70.50577854816258,1.8372406011589866,True,76,2.6102204823001176,3.6181774626854892
76,2020-04-07,3,70.50577854816258,1.8372406011589866,True,77,2.729314764776278,3.6181774626854892
77,2020-04-08,3,70.50577854816258,1.8372406011589866,True,78,2.839345967277003,3.6181774626854892
78,2020-04-09,3,70.50577854816258,1.8372406011589866,True,79,2.940014930869798,3.6181774626854892
79,2020-04-10,3,70.50577854816258,1.8372406011589866,True,80,3.031297893872067,3.6181774626854892
80,2020-04-11,3,70.50577854816258,1.8372406011589866,True,81,3.113400901437618,3.6181774626854892
81,2020-04-12,3,70.50577854816258,1.8372406011589866,True,82,3.1867098167397434,3.6181774626854892
82,2020-04-13,3,70.50577854816258,1.8372406011589866,True,83,3.251740979273964,3.6181774626854892
83,2020-04-14,3,70.50577854816258,1.8372406011589866,True,84,3.3090961010641697,3.6181774626854892
84,2020-04-15,3,70.50577854816258,1.8372406011589866,True,85,3.3594235422939653,3.6181774626854892
85,2020-04-16,3,70.50577854816258,1.8372406011589866,True,86,3.403386875990425,3.6181774626854892
