,Report_Date,Canada_british columbia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
31,2020-02-22,6,66.30447466869873,753.783651525235,True,32,3.8928168244473773,1487.1465472006346
32,2020-02-23,6,66.30447466869873,753.783651525235,True,33,4.628721625028092,1487.1465472006346
33,2020-02-24,6,66.30447466869873,753.783651525235,True,34,5.503233989911521,1487.1465472006346
34,2020-02-25,7,66.30447466869873,753.783651525235,True,35,6.542250273391194,1487.1465472006346
35,2020-02-26,7,66.30447466869873,753.783651525235,True,36,7.77641831976415,1487.1465472006346
36,2020-02-27,7,66.30447466869873,753.783651525235,True,37,9.241973484695716,1487.1465472006346
37,2020-02-28,7,66.30447466869873,753.783651525235,True,38,10.981706933372047,1487.1465472006346
38,2020-02-29,8,66.30447466869873,753.783651525235,True,39,13.046080883610628,1487.1465472006346
39,2020-03-01,8,66.30447466869873,753.783651525235,True,40,15.49450424149537,1487.1465472006346
40,2020-03-02,8,66.30447466869873,753.783651525235,True,41,18.39677917404817,1487.1465472006346
41,2020-03-03,9,66.30447466869873,753.783651525235,True,42,21.834723791206088,1487.1465472006346
42,2020-03-04,12,66.30447466869873,753.783651525235,True,43,25.903967221117494,1487.1465472006346
43,2020-03-05,13,66.30447466869873,753.783651525235,True,44,30.71589960490666,1487.1465472006346
44,2020-03-06,21,66.30447466869873,753.783651525235,True,45,36.399739220562466,1487.1465472006346
45,2020-03-07,21,66.30447466869873,753.783651525235,True,46,43.10465006107262,1487.1465472006346
46,2020-03-08,27,66.30447466869873,753.783651525235,True,47,51.00180351037126,1487.1465472006346
47,2020-03-09,32,66.30447466869873,753.783651525235,True,48,60.28622508416282,1487.1465472006346
48,2020-03-10,32,66.30447466869873,753.783651525235,True,49,71.17819985464153,1487.1465472006346
49,2020-03-11,39,66.30447466869873,753.783651525235,True,50,83.92392784653163,1487.1465472006346
50,2020-03-12,46,66.30447466869873,753.783651525235,True,51,98.79502574460865,1487.1465472006346
51,2020-03-13,64,66.30447466869873,753.783651525235,True,52,116.08637060459523,1487.1465472006346
52,2020-03-14,64,66.30447466869873,753.783651525235,True,53,136.11168873796473,1487.1465472006346
53,2020-03-15,73,66.30447466869873,753.783651525235,True,54,159.19623181844466,1487.1465472006346
54,2020-03-16,103,66.30447466869873,753.783651525235,True,55,185.66588711684463,1487.1465472006346
55,2020-03-17,103,66.30447466869873,753.783651525235,True,56,215.832185184939,1487.1465472006346
56,2020-03-18,186,66.30447466869873,753.783651525235,True,57,249.97294806207387,1487.1465472006346
57,2020-03-19,231,66.30447466869873,753.783651525235,True,58,288.30881029508055,1487.1465472006346
58,2020-03-20,271,66.30447466869873,753.783651525235,True,59,330.9765634711311,1487.1465472006346
59,2020-03-21,424,66.30447466869873,753.783651525235,True,60,378.00118756742677,1487.1465472006346
60,2020-03-22,424,66.30447466869873,753.783651525235,True,61,429.26942072856326,1487.1465472006346
61,2020-03-23,472,66.30447466869873,753.783651525235,True,62,484.5085666259156,1487.1465472006346
62,2020-03-24,617,66.30447466869873,753.783651525235,True,63,543.2746506873348,1487.1465472006346
63,2020-03-25,617,66.30447466869873,753.783651525235,True,64,604.9537104608136,1487.1465472006346
64,2020-03-26,725,66.30447466869873,753.783651525235,True,65,668.7787474734497,1487.1465472006346
65,2020-03-27,725,66.30447466869873,753.783651525235,True,66,733.8627219530525,1487.1465472006346
66,2020-03-28,884,66.30447466869873,753.783651525235,True,67,799.2452935869309,1487.1465472006346
67,2020-03-29,884,66.30447466869873,753.783651525235,True,68,863.9484244808958,1487.1465472006346
68,2020-03-30,970,66.30447466869873,753.783651525235,True,69,927.0341730057485,1487.1465472006346
69,2020-03-31,1013,66.30447466869873,753.783651525235,True,70,987.6575521947145,1487.1465472006346
70,2020-04-01,1013,66.30447466869873,753.783651525235,True,71,1045.1083442109202,1487.1465472006346
71,2020-04-02,1121,66.30447466869873,753.783651525235,True,72,1098.8379415864856,1487.1465472006346
72,2020-04-03,1174,66.30447466869873,753.783651525235,True,73,1148.4699936797479,1487.1465472006346
73,2020-04-04,1203,66.30447466869873,753.783651525235,True,74,1193.79616900559,1487.1465472006346
74,2020-04-05,1203,66.30447466869873,753.783651525235,True,75,1234.7601674276339,1487.1465472006346
75,2020-04-06,1266,66.30447466869873,753.783651525235,True,76,1271.4339992190853,1487.1465472006346
76,2020-04-07,1266,66.30447466869873,753.783651525235,True,77,1303.9905532981459,1487.1465472006346
77,2020-04-08,1291,66.30447466869873,753.783651525235,True,78,1332.6758567581428,1487.1465472006346
78,2020-04-09,1336,66.30447466869873,753.783651525235,True,79,1357.7834934806492,1487.1465472006346
79,2020-04-10,1370,66.30447466869873,753.783651525235,True,80,1379.6326705724293,1487.1465472006346
80,2020-04-11,1445,66.30447466869873,753.783651525235,True,81,1398.5505757636329,1487.1465472006346
