,Report_Date,Vietnam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,16,63.10991116616469,138.54289562904012,True,33,3.0319286376570282,276.4759782352537
33,2020-02-24,16,63.10991116616469,138.54289562904012,True,34,3.5149466794207,276.4759782352537
34,2020-02-25,16,63.10991116616469,138.54289562904012,True,35,4.073770714691335,276.4759782352537
35,2020-02-26,16,63.10991116616469,138.54289562904012,True,36,4.71990659338057,276.4759782352537
36,2020-02-27,16,63.10991116616469,138.54289562904012,True,37,5.466473311093726,276.4759782352537
37,2020-02-28,16,63.10991116616469,138.54289562904012,True,38,6.328383760128357,276.4759782352537
38,2020-02-29,16,63.10991116616469,138.54289562904012,True,39,7.322529778835136,276.4759782352537
39,2020-03-01,16,63.10991116616469,138.54289562904012,True,40,8.467965026927507,276.4759782352537
40,2020-03-02,16,63.10991116616469,138.54289562904012,True,41,9.786076431613576,276.4759782352537
41,2020-03-03,16,63.10991116616469,138.54289562904012,True,42,11.300731473491796,276.4759782352537
42,2020-03-04,16,63.10991116616469,138.54289562904012,True,43,13.038384370584986,276.4759782352537
43,2020-03-05,16,63.10991116616469,138.54289562904012,True,44,15.02811930466795,276.4759782352537
44,2020-03-06,16,63.10991116616469,138.54289562904012,True,45,17.301603368698743,276.4759782352537
45,2020-03-07,18,63.10991116616469,138.54289562904012,True,46,19.892916236174774,276.4759782352537
46,2020-03-08,30,63.10991116616469,138.54289562904012,True,47,22.83821826410062,276.4759782352537
47,2020-03-09,30,63.10991116616469,138.54289562904012,True,48,26.175214785925146,276.4759782352537
48,2020-03-10,31,63.10991116616469,138.54289562904012,True,49,29.94237308176747,276.4759782352537
49,2020-03-11,38,63.10991116616469,138.54289562904012,True,50,34.177851704186665,276.4759782352537
50,2020-03-12,39,63.10991116616469,138.54289562904012,True,51,38.9181115966466,276.4759782352537
51,2020-03-13,47,63.10991116616469,138.54289562904012,True,52,44.196196961236,276.4759782352537
52,2020-03-14,53,63.10991116616469,138.54289562904012,True,53,50.03970291668054,276.4759782352537
53,2020-03-15,56,63.10991116616469,138.54289562904012,True,54,56.46848733077183,276.4759782352537
54,2020-03-16,61,63.10991116616469,138.54289562904012,True,55,63.49223447262195,276.4759782352537
55,2020-03-17,66,63.10991116616469,138.54289562904012,True,56,71.10803399343405,276.4759782352537
56,2020-03-18,75,63.10991116616469,138.54289562904012,True,57,79.2981923008465,276.4759782352537
57,2020-03-19,85,63.10991116616469,138.54289562904012,True,58,88.02853332393371,276.4759782352537
58,2020-03-20,91,63.10991116616469,138.54289562904012,True,59,97.2474587038941,276.4759782352537
59,2020-03-21,94,63.10991116616469,138.54289562904012,True,60,106.8860113064604,276.4759782352537
60,2020-03-22,113,63.10991116616469,138.54289562904012,True,61,116.85911341062497,276.4759782352537
61,2020-03-23,123,63.10991116616469,138.54289562904012,True,62,127.06803392382571,276.4759782352537
62,2020-03-24,134,63.10991116616469,138.54289562904012,True,63,137.4039910772976,276.4759782352537
63,2020-03-25,141,63.10991116616469,138.54289562904012,True,64,147.752642643618,276.4759782352537
64,2020-03-26,153,63.10991116616469,138.54289562904012,True,65,157.99908513444117,276.4759782352537
65,2020-03-27,163,63.10991116616469,138.54289562904012,True,66,168.03290506769963,276.4759782352537
66,2020-03-28,174,63.10991116616469,138.54289562904012,True,67,177.75281724158103,276.4759782352537
67,2020-03-29,188,63.10991116616469,138.54289562904012,True,68,187.07048892719234,276.4759782352537
68,2020-03-30,203,63.10991116616469,138.54289562904012,True,69,195.91327019208993,276.4759782352537
69,2020-03-31,212,63.10991116616469,138.54289562904012,True,70,204.2257024110047,276.4759782352537
70,2020-04-01,218,63.10991116616469,138.54289562904012,True,71,211.9698287490986,276.4759782352537
71,2020-04-02,233,63.10991116616469,138.54289562904012,True,72,219.12445577901457,276.4759782352537
72,2020-04-03,237,63.10991116616469,138.54289562904012,True,73,225.6835982600875,276.4759782352537
73,2020-04-04,240,63.10991116616469,138.54289562904012,True,74,231.65437508901576,276.4759782352537
74,2020-04-05,241,63.10991116616469,138.54289562904012,True,75,237.0546190603619,276.4759782352537
75,2020-04-06,245,63.10991116616469,138.54289562904012,True,76,241.91042789610893,276.4759782352537
76,2020-04-07,249,63.10991116616469,138.54289562904012,True,77,246.253832370756,276.4759782352537
77,2020-04-08,251,63.10991116616469,138.54289562904012,True,78,250.12070119494587,276.4759782352537
78,2020-04-09,255,63.10991116616469,138.54289562904012,True,79,253.54895033821026,276.4759782352537
