,Report_Date,China_liaoning_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
65,2020-03-27,128,12.179576201403954,65.50559036936484,True,66,131.00999359521066,131.01117977819524
66,2020-03-28,132,12.179576201403954,65.50559036936484,True,67,131.01022396951055,131.01117977819524
67,2020-03-29,134,12.179576201403954,65.50559036936484,True,68,131.01040963817476,131.01117977819524
68,2020-03-30,136,12.179576201403954,65.50559036936484,True,69,131.01055927653127,131.01117977819524
69,2020-03-31,139,12.179576201403954,65.50559036936484,True,70,131.01067987645436,131.01117977819524
70,2020-04-01,140,12.179576201403954,65.50559036936484,True,71,131.01077707302858,131.01117977819524
71,2020-04-02,141,12.179576201403954,65.50559036936484,True,72,131.01085540782975,131.01117977819524
72,2020-04-03,141,12.179576201403954,65.50559036936484,True,73,131.0109185411194,131.01117977819524
73,2020-04-04,141,12.179576201403954,65.50559036936484,True,74,131.01096942286506,131.01117977819524
74,2020-04-05,142,12.179576201403954,65.50559036936484,True,75,131.0110104305746,131.01117977819524
75,2020-04-06,142,12.179576201403954,65.50559036936484,True,76,131.01104348038433,131.01117977819524
76,2020-04-07,144,12.179576201403954,65.50559036936484,True,77,131.01107011659042,131.01117977819524
77,2020-04-08,144,12.179576201403954,65.50559036936484,True,78,131.0110915838067,131.01117977819524
78,2020-04-09,144,12.179576201403954,65.50559036936484,True,79,131.01110888511977,131.01117977819524
79,2020-04-10,144,12.179576201403954,65.50559036936484,True,80,131.01112282895923,131.01117977819524
80,2020-04-11,145,12.179576201403954,65.50559036936484,True,81,131.01113406687216,131.01117977819524
81,2020-04-12,145,12.179576201403954,65.50559036936484,True,82,131.01114312396743,131.01117977819524
82,2020-04-13,145,12.179576201403954,65.50559036936484,True,83,131.011150423452,131.01117977819524
83,2020-04-14,145,12.179576201403954,65.50559036936484,True,84,131.01115630640587,131.01117977819524
84,2020-04-15,145,12.179576201403954,65.50559036936484,True,85,131.0111610477195,131.01117977819524
85,2020-04-16,145,12.179576201403954,65.50559036936484,True,86,131.0111648689384,131.01117977819524
86,2020-04-17,146,12.179576201403954,65.50559036936484,True,87,131.01116794861525,131.01117977819524
87,2020-04-18,146,12.179576201403954,65.50559036936484,True,88,131.01117043065292,131.01117977819524
88,2020-04-19,146,12.179576201403954,65.50559036936484,True,89,131.0111724310287,131.01117977819524
