,Report_Date,Ukraine_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,0,96.66359812186246,9336.782193566207,False,33,9.505103315269233,18673.56438713241
33,2020-02-24,0,96.66359812186246,9336.782193566207,False,34,10.70667602118992,18673.56438713241
34,2020-02-25,0,96.66359812186246,9336.782193566207,False,35,12.060045504365744,18673.56438713241
35,2020-02-26,0,96.66359812186246,9336.782193566207,False,36,13.584362138533242,18673.56438713241
36,2020-02-27,0,96.66359812186246,9336.782193566207,False,37,15.301185181736226,18673.56438713241
37,2020-02-28,0,96.66359812186246,9336.782193566207,False,38,17.234783879954506,18673.56438713241
38,2020-02-29,0,96.66359812186246,9336.782193566207,False,39,19.412475695528975,18673.56438713241
39,2020-03-01,0,96.66359812186246,9336.782193566207,False,40,21.865006099515462,18673.56438713241
40,2020-03-02,0,96.66359812186246,9336.782193566207,False,41,24.626974860302106,18673.56438713241
41,2020-03-03,1,96.66359812186246,9336.782193566207,False,42,27.737314298362467,18673.56438713241
42,2020-03-04,1,96.66359812186246,9336.782193566207,False,43,31.239825559773614,18673.56438713241
43,2020-03-05,1,96.66359812186246,9336.782193566207,False,44,35.183779588895256,18673.56438713241
44,2020-03-06,1,96.66359812186246,9336.782193566207,False,45,39.624590151627885,18673.56438713241
45,2020-03-07,1,96.66359812186246,9336.782193566207,False,46,44.624566971080974,18673.56438713241
46,2020-03-08,1,96.66359812186246,9336.782193566207,False,47,50.25375778059372,18673.56438713241
47,2020-03-09,1,96.66359812186246,9336.782193566207,False,48,56.590888864400306,18673.56438713241
48,2020-03-10,1,96.66359812186246,9336.782193566207,False,49,63.724414428459426,18673.56438713241
49,2020-03-11,1,96.66359812186246,9336.782193566207,False,50,71.7536859013288,18673.56438713241
50,2020-03-12,1,96.66359812186246,9336.782193566207,False,51,80.79025297756426,18673.56438713241
51,2020-03-13,3,96.66359812186246,9336.782193566207,False,52,90.95930884366562,18673.56438713241
52,2020-03-14,3,96.66359812186246,9336.782193566207,False,53,102.40129251569293,18673.56438713241
53,2020-03-15,3,96.66359812186246,9336.782193566207,False,54,115.27366149859948,18673.56438713241
54,2020-03-16,7,96.66359812186246,9336.782193566207,False,55,129.7528479600399,18673.56438713241
55,2020-03-17,14,96.66359812186246,9336.782193566207,False,56,146.03641118104633,18673.56438713241
56,2020-03-18,14,96.66359812186246,9336.782193566207,False,57,164.34539805742924,18673.56438713241
57,2020-03-19,16,96.66359812186246,9336.782193566207,False,58,184.92692169777254,18673.56438713241
58,2020-03-20,29,96.66359812186246,9336.782193566207,False,59,208.05696547231236,18673.56438713241
59,2020-03-21,47,96.66359812186246,9336.782193566207,False,60,234.04341593782058,18673.56438713241
60,2020-03-22,73,96.66359812186246,9336.782193566207,False,61,263.2293225661009,18673.56438713241
61,2020-03-23,73,96.66359812186246,9336.782193566207,False,62,295.9963747440308,18673.56438713241
62,2020-03-24,97,96.66359812186246,9336.782193566207,False,63,332.76857663012646,18673.56438713241
63,2020-03-25,145,96.66359812186246,9336.782193566207,False,64,374.016087616854,18673.56438713241
64,2020-03-26,196,96.66359812186246,9336.782193566207,False,65,420.2591797663736,18673.56438713241
65,2020-03-27,310,96.66359812186246,9336.782193566207,False,66,472.07224301713046,18673.56438713241
66,2020-03-28,356,96.66359812186246,9336.782193566207,False,67,530.0877435336597,18673.56438713241
67,2020-03-29,475,96.66359812186246,9336.782193566207,False,68,595.0000096481259,18673.56438713241
68,2020-03-30,548,96.66359812186246,9336.782193566207,False,69,667.5686828678417,18673.56438713241
69,2020-03-31,645,96.66359812186246,9336.782193566207,False,70,748.6216280423815,18673.56438713241
70,2020-04-01,794,96.66359812186246,9336.782193566207,False,71,839.0570469809207,18673.56438713241
71,2020-04-02,897,96.66359812186246,9336.782193566207,False,72,939.8444841026461,18673.56438713241
