,Report_Date,Netherlands_aruba_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
56,2020-03-18,4,70.9231180709176,51.69017840393781,True,57,9.767254098720251,102.90113429278443
57,2020-03-19,4,70.9231180709176,51.69017840393781,True,58,11.300539320683113,102.90113429278443
58,2020-03-20,5,70.9231180709176,51.69017840393781,True,59,13.040991989942823,102.90113429278443
59,2020-03-21,5,70.9231180709176,51.69017840393781,True,60,15.00581668923972,102.90113429278443
60,2020-03-22,9,70.9231180709176,51.69017840393781,True,61,17.2102763156118,102.90113429278443
61,2020-03-23,9,70.9231180709176,51.69017840393781,True,62,19.666518094012385,102.90113429278443
62,2020-03-24,12,70.9231180709176,51.69017840393781,True,63,22.38225885386214,102.90113429278443
63,2020-03-25,17,70.9231180709176,51.69017840393781,True,64,25.35941172034087,102.90113429278443
64,2020-03-26,28,70.9231180709176,51.69017840393781,True,65,28.59277626786138,102.90113429278443
65,2020-03-27,33,70.9231180709176,51.69017840393781,True,66,32.06894901234792,102.90113429278443
66,2020-03-28,46,70.9231180709176,51.69017840393781,True,67,35.76563052284635,102.90113429278443
67,2020-03-29,50,70.9231180709176,51.69017840393781,True,68,39.651498471184446,102.90113429278443
68,2020-03-30,50,70.9231180709176,51.69017840393781,True,69,43.686774614489686,102.90113429278443
69,2020-03-31,55,70.9231180709176,51.69017840393781,True,70,47.824537081883335,102.90113429278443
70,2020-04-01,55,70.9231180709176,51.69017840393781,True,71,52.012726544581824,102.90113429278443
71,2020-04-02,60,70.9231180709176,51.69017840393781,True,72,56.19668504576382,102.90113429278443
72,2020-04-03,62,70.9231180709176,51.69017840393781,True,73,60.3219744546195,102.90113429278443
73,2020-04-04,64,70.9231180709176,51.69017840393781,True,74,64.33717100718592,102.90113429278443
74,2020-04-05,64,70.9231180709176,51.69017840393781,True,75,68.19633677394147,102.90113429278443
75,2020-04-06,71,70.9231180709176,51.69017840393781,True,76,71.86092695578976,102.90113429278443
76,2020-04-07,74,70.9231180709176,51.69017840393781,True,77,75.3009881466916,102.90113429278443
77,2020-04-08,77,70.9231180709176,51.69017840393781,True,78,78.49561298154964,102.90113429278443
78,2020-04-09,82,70.9231180709176,51.69017840393781,True,79,81.4327163789955,102.90113429278443
79,2020-04-10,86,70.9231180709176,51.69017840393781,True,80,84.10827010773215,102.90113429278443
80,2020-04-11,92,70.9231180709176,51.69017840393781,True,81,86.52516816266697,102.90113429278443
81,2020-04-12,92,70.9231180709176,51.69017840393781,True,82,88.69189770303358,102.90113429278443
82,2020-04-13,92,70.9231180709176,51.69017840393781,True,83,90.62116779716796,102.90113429278443
83,2020-04-14,92,70.9231180709176,51.69017840393781,True,84,92.32861198701126,102.90113429278443
84,2020-04-15,93,70.9231180709176,51.69017840393781,True,85,93.83164077466225,102.90113429278443
85,2020-04-16,95,70.9231180709176,51.69017840393781,True,86,95.14848374426458,102.90113429278443
86,2020-04-17,96,70.9231180709176,51.69017840393781,True,87,96.29743210701199,102.90113429278443
87,2020-04-18,96,70.9231180709176,51.69017840393781,True,88,97.29627219735646,102.90113429278443
88,2020-04-19,97,70.9231180709176,51.69017840393781,True,89,98.16188822324538,102.90113429278443
89,2020-04-20,97,70.9231180709176,51.69017840393781,True,90,98.91000680953175,102.90113429278443
90,2020-04-21,97,70.9231180709176,51.69017840393781,True,91,99.5550547332527,102.90113429278443
91,2020-04-22,100,70.9231180709176,51.69017840393781,True,92,100.11010304214368,102.90113429278443
92,2020-04-23,100,70.9231180709176,51.69017840393781,True,93,100.58687412412955,102.90113429278443
93,2020-04-24,100,70.9231180709176,51.69017840393781,True,94,100.99579228934309,102.90113429278443
