,Report_Date,China_inner mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
26,2020-02-17,72,529.4627663918332,1302582.2155201775,False,27,46.860053491924106,2605164.4310403545
27,2020-02-18,73,529.4627663918332,1302582.2155201775,False,28,47.890144003817454,2605164.4310403545
28,2020-02-19,75,529.4627663918332,1302582.2155201775,False,29,48.942877821656374,2605164.4310403545
29,2020-02-20,75,529.4627663918332,1302582.2155201775,False,30,50.01875266852505,2605164.4310403545
30,2020-02-21,75,529.4627663918332,1302582.2155201775,False,31,51.118277207131,2605164.4310403545
31,2020-02-22,75,529.4627663918332,1302582.2155201775,False,32,52.24197128021338,2605164.4310403545
32,2020-02-23,75,529.4627663918332,1302582.2155201775,False,33,53.390366156232815,2605164.4310403545
33,2020-02-24,75,529.4627663918332,1302582.2155201775,False,34,54.56400478045881,2605164.4310403545
34,2020-02-25,75,529.4627663918332,1302582.2155201775,False,35,55.76344203157295,2605164.4310403545
35,2020-02-26,75,529.4627663918332,1302582.2155201775,False,36,56.989244983909444,2605164.4310403545
36,2020-02-27,75,529.4627663918332,1302582.2155201775,False,37,58.24199317545623,2605164.4310403545
37,2020-02-28,75,529.4627663918332,1302582.2155201775,False,38,59.52227888174365,2605164.4310403545
38,2020-02-29,75,529.4627663918332,1302582.2155201775,False,39,60.830707395749485,2605164.4310403545
39,2020-03-01,75,529.4627663918332,1302582.2155201775,False,40,62.16789731395264,2605164.4310403545
40,2020-03-02,75,529.4627663918332,1302582.2155201775,False,41,63.53448082867046,2605164.4310403545
41,2020-03-03,75,529.4627663918332,1302582.2155201775,False,42,64.93110402681747,2605164.4310403545
42,2020-03-04,75,529.4627663918332,1302582.2155201775,False,43,66.35842719522658,2605164.4310403545
43,2020-03-05,75,529.4627663918332,1302582.2155201775,False,44,67.81712513267688,2605164.4310403545
44,2020-03-06,75,529.4627663918332,1302582.2155201775,False,45,69.30788746877487,2605164.4310403545
45,2020-03-07,75,529.4627663918332,1302582.2155201775,False,46,70.83141898983997,2605164.4310403545
46,2020-03-08,75,529.4627663918332,1302582.2155201775,False,47,72.38843997194785,2605164.4310403545
47,2020-03-09,75,529.4627663918332,1302582.2155201775,False,48,73.9796865212884,2605164.4310403545
48,2020-03-10,75,529.4627663918332,1302582.2155201775,False,49,75.60591092199942,2605164.4310403545
49,2020-03-11,75,529.4627663918332,1302582.2155201775,False,50,77.26788199163944,2605164.4310403545
50,2020-03-12,75,529.4627663918332,1302582.2155201775,False,51,78.96638544446778,2605164.4310403545
51,2020-03-13,75,529.4627663918332,1302582.2155201775,False,52,80.702224262703,2605164.4310403545
52,2020-03-14,75,529.4627663918332,1302582.2155201775,False,53,82.47621907593464,2605164.4310403545
