,Report_Date,Cameroon_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
20,2020-02-11,0,0,148.2397148848279,10321.861161124032,False,21,33.09003654501369,20643.722322248064
21,2020-02-12,0,0,148.2397148848279,10321.861161124032,False,22,34.80348954671514,20643.722322248064
22,2020-02-13,0,0,148.2397148848279,10321.861161124032,False,23,36.605510200576525,20643.722322248064
23,2020-02-14,0,0,148.2397148848279,10321.861161124032,False,24,38.50065979233797,20643.722322248064
24,2020-02-15,0,0,148.2397148848279,10321.861161124032,False,25,40.49373273899539,20643.722322248064
25,2020-02-16,0,0,148.2397148848279,10321.861161124032,False,26,42.58976831543384,20643.722322248064
26,2020-02-17,0,0,148.2397148848279,10321.861161124032,False,27,44.7940629507826,20643.722322248064
27,2020-02-18,0,0,148.2397148848279,10321.861161124032,False,28,47.11218312000537,20643.722322248064
28,2020-02-19,0,0,148.2397148848279,10321.861161124032,False,29,49.54997885714353,20643.722322248064
29,2020-02-20,0,0,148.2397148848279,10321.861161124032,False,30,52.11359791753768,20643.722322248064
30,2020-02-21,0,0,148.2397148848279,10321.861161124032,False,31,54.809500617261065,20643.722322248064
31,2020-02-22,0,0,148.2397148848279,10321.861161124032,False,32,57.6444753789004,20643.722322248064
32,2020-02-23,0,0,148.2397148848279,10321.861161124032,False,33,60.62565501371293,20643.722322248064
33,2020-02-24,0,0,148.2397148848279,10321.861161124032,False,34,63.76053377106346,20643.722322248064
34,2020-02-25,0,0,148.2397148848279,10321.861161124032,False,35,67.05698518689812,20643.722322248064
35,2020-02-26,0,0,148.2397148848279,10321.861161124032,False,36,70.52328076383164,20643.722322248064
36,2020-02-27,0,0,148.2397148848279,10321.861161124032,False,37,74.16810951620495,20643.722322248064
37,2020-02-28,0,0,148.2397148848279,10321.861161124032,False,38,78.00059841419906,20643.722322248064
38,2020-02-29,0,0,148.2397148848279,10321.861161124032,False,39,82.03033376175709,20643.722322248064
39,2020-03-01,0,0,148.2397148848279,10321.861161124032,False,40,86.26738354365857,20643.722322248064
40,2020-03-02,0,0,148.2397148848279,10321.861161124032,False,41,90.72232077759003,20643.722322248064
41,2020-03-03,0,0,148.2397148848279,10321.861161124032,False,42,95.40624790745375,20643.722322248064
