,Report_Date,France_french polynesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,0,66.72015375994955,28.030608109333524,True,33,0.1661076703882321,55.84842032505289
33,2020-02-24,0,66.72015375994955,28.030608109333524,True,34,0.19728191597573988,55.84842032505289
34,2020-02-25,0,66.72015375994955,28.030608109333524,True,35,0.234282263280537,55.84842032505289
35,2020-02-26,0,66.72015375994955,28.030608109333524,True,36,0.27818749241955937,55.84842032505289
36,2020-02-27,0,66.72015375994955,28.030608109333524,True,37,0.33027202216958024,55.84842032505289
37,2020-02-28,0,66.72015375994955,28.030608109333524,True,38,0.3920397078230205,55.84842032505289
38,2020-02-29,0,66.72015375994955,28.030608109333524,True,39,0.4652627866880837,55.84842032505289
39,2020-03-01,0,66.72015375994955,28.030608109333524,True,40,0.5520264643879322,55.84842032505289
40,2020-03-02,0,66.72015375994955,28.030608109333524,True,41,0.6547795484193036,55.84842032505289
41,2020-03-03,0,66.72015375994955,28.030608109333524,True,42,0.7763913691931136,55.84842032505289
42,2020-03-04,0,66.72015375994955,28.030608109333524,True,43,0.9202149487468434,55.84842032505289
43,2020-03-05,0,66.72015375994955,28.030608109333524,True,44,1.0901559389430902,55.84842032505289
44,2020-03-06,0,66.72015375994955,28.030608109333524,True,45,1.2907461981977275,55.84842032505289
45,2020-03-07,0,66.72015375994955,28.030608109333524,True,46,1.5272199410818859,55.84842032505289
46,2020-03-08,0,66.72015375994955,28.030608109333524,True,47,1.8055891020346655,55.84842032505289
47,2020-03-09,0,66.72015375994955,28.030608109333524,True,48,2.132712824495445,55.84842032505289
48,2020-03-10,0,66.72015375994955,28.030608109333524,True,49,2.5163537539917673,55.84842032505289
49,2020-03-11,0,66.72015375994955,28.030608109333524,True,50,2.965211049773685,55.84842032505289
50,2020-03-12,0,66.72015375994955,28.030608109333524,True,51,3.48891678424817,55.84842032505289
51,2020-03-13,3,66.72015375994955,28.030608109333524,True,52,4.097978859481744,55.84842032505289
52,2020-03-14,3,66.72015375994955,28.030608109333524,True,53,4.803650136394225,55.84842032505289
53,2020-03-15,3,66.72015375994955,28.030608109333524,True,54,5.61770084800801,55.84842032505289
54,2020-03-16,3,66.72015375994955,28.030608109333524,True,55,6.5520706343924155,55.84842032505289
55,2020-03-17,3,66.72015375994955,28.030608109333524,True,56,7.618379173172238,55.84842032505289
56,2020-03-18,3,66.72015375994955,28.030608109333524,True,57,8.827282157641045,55.84842032505289
57,2020-03-19,6,66.72015375994955,28.030608109333524,True,58,10.187674038832338,55.84842032505289
58,2020-03-20,11,66.72015375994955,28.030608109333524,True,59,11.705761602639928,55.84842032505289
59,2020-03-21,15,66.72015375994955,28.030608109333524,True,60,13.384062656894656,55.84842032505289
60,2020-03-22,18,66.72015375994955,28.030608109333524,True,61,15.220418835425443,55.84842032505289
