,Report_Date,Belarus_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
68,2020-03-30,152,103.90616070296332,17380.587578918992,True,69,711.8879312816965,29265.348892193993
69,2020-03-31,152,103.90616070296332,17380.587578918992,True,70,793.3979531801599,29265.348892193993
70,2020-04-01,163,103.90616070296332,17380.587578918992,True,71,883.9984410934709,29265.348892193993
71,2020-04-02,304,103.90616070296332,17380.587578918992,True,72,984.6449658127192,29265.348892193993
72,2020-04-03,351,103.90616070296332,17380.587578918992,True,73,1096.3796220328502,29265.348892193993
73,2020-04-04,440,103.90616070296332,17380.587578918992,True,74,1220.3355030668436,29265.348892193993
74,2020-04-05,562,103.90616070296332,17380.587578918992,True,75,1357.740530099136,29265.348892193993
75,2020-04-06,700,103.90616070296332,17380.587578918992,True,76,1509.9203523541344,29265.348892193993
76,2020-04-07,861,103.90616070296332,17380.587578918992,True,77,1678.2999768266425,29265.348892193993
77,2020-04-08,1066,103.90616070296332,17380.587578918992,True,78,1864.403723760361,29265.348892193993
78,2020-04-09,1486,103.90616070296332,17380.587578918992,True,79,2069.853038830361,29265.348892193993
79,2020-04-10,1981,103.90616070296332,17380.587578918992,True,80,2296.3616280906786,29265.348892193993
80,2020-04-11,2226,103.90616070296332,17380.587578918992,True,81,2545.7273217276634,29265.348892193993
81,2020-04-12,2578,103.90616070296332,17380.587578918992,True,82,2819.820023764394,29265.348892193993
82,2020-04-13,2919,103.90616070296332,17380.587578918992,True,83,3120.565075283414,29265.348892193993
83,2020-04-14,3281,103.90616070296332,17380.587578918992,True,84,3449.921358708838,29265.348892193993
84,2020-04-15,3728,103.90616070296332,17380.587578918992,True,85,3809.853512383061,29265.348892193993
85,2020-04-16,4204,103.90616070296332,17380.587578918992,True,86,4202.297721744761,29265.348892193993
86,2020-04-17,4779,103.90616070296332,17380.587578918992,True,87,4629.120720109995,29265.348892193993
87,2020-04-18,4779,103.90616070296332,17380.587578918992,True,88,5092.071881721444,29265.348892193993
88,2020-04-19,4779,103.90616070296332,17380.587578918992,True,89,5592.728632653213,29265.348892193993
89,2020-04-20,6264,103.90616070296332,17380.587578918992,True,90,6132.4358457462085,29265.348892193993
90,2020-04-21,6723,103.90616070296332,17380.587578918992,True,91,6712.240419179394,29265.348892193993
91,2020-04-22,7281,103.90616070296332,17380.587578918992,True,92,7332.822846975969,29265.348892193993
92,2020-04-23,8022,103.90616070296332,17380.587578918992,True,93,7994.428240278701,29265.348892193993
93,2020-04-24,8773,103.90616070296332,17380.587578918992,True,94,8696.799899517784,29265.348892193993
94,2020-04-25,9590,103.90616070296332,17380.587578918992,True,95,9439.119101374352,29265.348892193993
95,2020-04-26,10463,103.90616070296332,17380.587578918992,True,96,10219.955169047355,29265.348892193993
96,2020-04-27,11289,103.90616070296332,17380.587578918992,True,97,11037.230052487477,29265.348892193993
97,2020-04-28,12208,103.90616070296332,17380.587578918992,True,98,11888.201475900183,29265.348892193993
98,2020-04-29,13181,103.90616070296332,17380.587578918992,True,99,12769.468152974407,29265.348892193993
99,2020-04-30,14027,103.90616070296332,17380.587578918992,True,100,13676.999602874854,29265.348892193993
100,2020-05-01,14917,103.90616070296332,17380.587578918992,True,101,14606.191749301062,29265.348892193993
101,2020-05-02,15828,103.90616070296332,17380.587578918992,True,102,15551.947835828087,29265.348892193993
102,2020-05-03,16705,103.90616070296332,17380.587578918992,True,103,16508.782383935173,29265.348892193993
103,2020-05-04,17489,103.90616070296332,17380.587578918992,True,104,17470.94413861259,29265.348892193993
104,2020-05-05,18350,103.90616070296332,17380.587578918992,True,105,18432.55239181382,29265.348892193993
105,2020-05-06,19255,103.90616070296332,17380.587578918992,True,106,19387.739935697064,29265.348892193993
106,2020-05-07,20168,103.90616070296332,17380.587578918992,True,107,20330.795321025314,29265.348892193993
107,2020-05-08,21101,103.90616070296332,17380.587578918992,True,108,21256.297156898723,29265.348892193993
108,2020-05-09,22052,103.90616070296332,17380.587578918992,True,109,22159.233878144394,29265.348892193993
