,Report_Date,Australia_northern territory_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,1,71.38920780984574,19.237756704061145,True,58,3.9809712959737293,36.65313987786947
58,2020-03-20,3,71.38920780984574,19.237756704061145,True,59,4.594457104972391,36.65313987786947
59,2020-03-21,3,71.38920780984574,19.237756704061145,True,60,5.287990804302282,36.65313987786947
60,2020-03-22,5,71.38920780984574,19.237756704061145,True,61,6.067465632334953,36.65313987786947
61,2020-03-23,5,71.38920780984574,19.237756704061145,True,62,6.937819360488139,36.65313987786947
62,2020-03-24,6,71.38920780984574,19.237756704061145,True,63,7.902577964510629,36.65313987786947
63,2020-03-25,6,71.38920780984574,19.237756704061145,True,64,8.963364870799438,36.65313987786947
64,2020-03-26,12,71.38920780984574,19.237756704061145,True,65,10.1194135090684,36.65313987786947
65,2020-03-27,12,71.38920780984574,19.237756704061145,True,66,11.36713434052835,36.65313987786947
66,2020-03-28,15,71.38920780984574,19.237756704061145,True,67,12.699797121233756,36.65313987786947
67,2020-03-29,15,71.38920780984574,19.237756704061145,True,68,14.107391044184439,36.65313987786947
68,2020-03-30,15,71.38920780984574,19.237756704061145,True,69,15.576716183790252,36.65313987786947
69,2020-03-31,17,71.38920780984574,19.237756704061145,True,70,17.091737797437993,36.65313987786947
70,2020-04-01,19,71.38920780984574,19.237756704061145,True,71,18.634202113972716,36.65313987786947
71,2020-04-02,21,71.38920780984574,19.237756704061145,True,72,20.184473503469544,36.65313987786947
72,2020-04-03,22,71.38920780984574,19.237756704061145,True,73,21.722516469871238,36.65313987786947
73,2020-04-04,26,71.38920780984574,19.237756704061145,True,74,23.228920512794705,36.65313987786947
74,2020-04-05,27,71.38920780984574,19.237756704061145,True,75,24.685858172427547,36.65313987786947
75,2020-04-06,28,71.38920780984574,19.237756704061145,True,76,26.077878581559467,36.65313987786947
76,2020-04-07,28,71.38920780984574,19.237756704061145,True,77,27.392467384453493,36.65313987786947
77,2020-04-08,28,71.38920780984574,19.237756704061145,True,78,28.6203416168184,36.65313987786947
78,2020-04-09,28,71.38920780984574,19.237756704061145,True,79,29.75548621250986,36.65313987786947
79,2020-04-10,28,71.38920780984574,19.237756704061145,True,80,30.79496960405601,36.65313987786947
