,Report_Date,Canada_prince edward island_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
83,2020-04-14,25,68.44271021630998,13.631365652719195,True,84,25.407321843407953,27.26034975195649
84,2020-04-15,26,68.44271021630998,13.631365652719195,True,85,25.67788782965915,27.26034975195649
85,2020-04-16,26,68.44271021630998,13.631365652719195,True,86,25.91109737239651,27.26034975195649
86,2020-04-17,26,68.44271021630998,13.631365652719195,True,87,26.11152866102003,27.26034975195649
87,2020-04-18,26,68.44271021630998,13.631365652719195,True,88,26.28336176131077,27.26034975195649
88,2020-04-19,26,68.44271021630998,13.631365652719195,True,89,26.430363974397363,27.26034975195649
89,2020-04-20,26,68.44271021630998,13.631365652719195,True,90,26.555894717421843,27.26034975195649
90,2020-04-21,26,68.44271021630998,13.631365652719195,True,91,26.662923583546014,27.26034975195649
91,2020-04-22,26,68.44271021630998,13.631365652719195,True,92,26.75405661754242,27.26034975195649
92,2020-04-23,26,68.44271021630998,13.631365652719195,True,93,26.83156707498864,27.26034975195649
93,2020-04-24,26,68.44271021630998,13.631365652719195,True,94,26.89742796757691,27.26034975195649
94,2020-04-25,26,68.44271021630998,13.631365652719195,True,95,26.953344526564273,27.26034975195649
95,2020-04-26,26,68.44271021630998,13.631365652719195,True,96,27.00078535693673,27.26034975195649
96,2020-04-27,26,68.44271021630998,13.631365652719195,True,97,27.04101153333375,27.26034975195649
97,2020-04-28,27,68.44271021630998,13.631365652719195,True,98,27.07510323501014,27.26034975195649
98,2020-04-29,27,68.44271021630998,13.631365652719195,True,99,27.10398375945688,27.26034975195649
99,2020-04-30,27,68.44271021630998,13.631365652719195,True,100,27.12844091752892,27.26034975195649
100,2020-05-01,27,68.44271021630998,13.631365652719195,True,101,27.149145917523196,27.26034975195649
101,2020-05-02,27,68.44271021630998,13.631365652719195,True,102,27.166669907902744,27.26034975195649
102,2020-05-03,27,68.44271021630998,13.631365652719195,True,103,27.181498380838253,27.26034975195649
103,2020-05-04,27,68.44271021630998,13.631365652719195,True,104,27.194043650884897,27.26034975195649
104,2020-05-05,27,68.44271021630998,13.631365652719195,True,105,27.204655621879965,27.26034975195649
105,2020-05-06,27,68.44271021630998,13.631365652719195,True,106,27.21363104553873,27.26034975195649
106,2020-05-07,27,68.44271021630998,13.631365652719195,True,107,27.22122146076929,27.26034975195649
107,2020-05-08,27,68.44271021630998,13.631365652719195,True,108,27.22763998584878,27.26034975195649
108,2020-05-09,27,68.44271021630998,13.631365652719195,True,109,27.23306711792748,27.26034975195649
109,2020-05-10,27,68.44271021630998,13.631365652719195,True,110,27.23765567690204,27.26034975195649
110,2020-05-11,27,68.44271021630998,13.631365652719195,True,111,27.241535014164985,27.26034975195649
111,2020-05-12,27,68.44271021630998,13.631365652719195,True,112,27.244814591454,27.26034975195649
112,2020-05-13,27,68.44271021630998,13.631365652719195,True,113,27.247587021161365,27.26034975195649
113,2020-05-14,27,68.44271021630998,13.631365652719195,True,114,27.249930647063557,27.26034975195649
