,Report_Date,Panama_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,69,79.78622716572109,2687.7499220674968,True,56,168.26162022316453,4486.0431395556425
56,2020-03-18,86,79.78622716572109,2687.7499220674968,True,57,193.44052300837413,4486.0431395556425
57,2020-03-19,109,79.78622716572109,2687.7499220674968,True,58,222.22643523221802,4486.0431395556425
58,2020-03-20,137,79.78622716572109,2687.7499220674968,True,59,255.08512269398653,4486.0431395556425
59,2020-03-21,200,79.78622716572109,2687.7499220674968,True,60,292.52654282320793,4486.0431395556425
60,2020-03-22,313,79.78622716572109,2687.7499220674968,True,61,335.10395691949265,4486.0431395556425
61,2020-03-23,345,79.78622716572109,2687.7499220674968,True,62,383.41108389011896,4486.0431395556425
62,2020-03-24,345,79.78622716572109,2687.7499220674968,True,63,438.07671483594714,4486.0431395556425
63,2020-03-25,443,79.78622716572109,2687.7499220674968,True,64,499.7561505286296,4486.0431395556425
64,2020-03-26,558,79.78622716572109,2687.7499220674968,True,65,569.1188041736995,4486.0431395556425
65,2020-03-27,674,79.78622716572109,2687.7499220674968,True,66,646.831353834312,4486.0431395556425
66,2020-03-28,786,79.78622716572109,2687.7499220674968,True,67,733.535960958902,4486.0431395556425
67,2020-03-29,901,79.78622716572109,2687.7499220674968,True,68,829.8233235605998,4486.0431395556425
68,2020-03-30,989,79.78622716572109,2687.7499220674968,True,69,936.2007304923528,4486.0431395556425
69,2020-03-31,1181,79.78622716572109,2687.7499220674968,True,70,1053.0558397579337,4486.0431395556425
70,2020-04-01,1181,79.78622716572109,2687.7499220674968,True,71,1180.6176073544586,4486.0431395556425
71,2020-04-02,1317,79.78622716572109,2687.7499220674968,True,72,1318.9165956468044,4486.0431395556425
72,2020-04-03,1475,79.78622716572109,2687.7499220674968,True,73,1467.7476976829346,4486.0431395556425
73,2020-04-04,1673,79.78622716572109,2687.7499220674968,True,74,1626.6389850482153,4486.0431395556425
74,2020-04-05,1801,79.78622716572109,2687.7499220674968,True,75,1794.8307465882015,4486.0431395556425
75,2020-04-06,1988,79.78622716572109,2687.7499220674968,True,76,1971.2686552107061,4486.0431395556425
76,2020-04-07,2100,79.78622716572109,2687.7499220674968,True,77,2154.6142459597468,4486.0431395556425
77,2020-04-08,2249,79.78622716572109,2687.7499220674968,True,78,2343.2744753755137,4486.0431395556425
78,2020-04-09,2528,79.78622716572109,2687.7499220674968,True,79,2535.4501670508093,4486.0431395556425
79,2020-04-10,2752,79.78622716572109,2687.7499220674968,True,80,2729.2008928797277,4486.0431395556425
80,2020-04-11,2974,79.78622716572109,2687.7499220674968,True,81,2922.5216744309255,4486.0431395556425
