,Report_Date,Uzbekistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
38,2020-02-29,0,94.49792694580081,2411.214054466457,False,39,5.5757524158097365,4822.428108932914
39,2020-03-01,0,94.49792694580081,2411.214054466457,False,40,6.297230492609367,4822.428108932914
40,2020-03-02,0,94.49792694580081,2411.214054466457,False,41,7.111926852773888,4822.428108932914
41,2020-03-03,0,94.49792694580081,2411.214054466457,False,42,8.031847765087889,4822.428108932914
42,2020-03-04,0,94.49792694580081,2411.214054466457,False,43,9.070535423197107,4822.428108932914
43,2020-03-05,0,94.49792694580081,2411.214054466457,False,44,10.243261554188564,4822.428108932914
44,2020-03-06,0,94.49792694580081,2411.214054466457,False,45,11.567244638313488,4822.428108932914
45,2020-03-07,0,94.49792694580081,2411.214054466457,False,46,13.061893398701036,4822.428108932914
46,2020-03-08,0,94.49792694580081,2411.214054466457,False,47,14.749079456698972,4822.428108932914
47,2020-03-09,0,94.49792694580081,2411.214054466457,False,48,16.65344228742529,4822.428108932914
48,2020-03-10,0,94.49792694580081,2411.214054466457,False,49,18.80272984415042,4822.428108932914
49,2020-03-11,0,94.49792694580081,2411.214054466457,False,50,21.2281784394585,4822.428108932914
50,2020-03-12,0,94.49792694580081,2411.214054466457,False,51,23.964935662484738,4822.428108932914
51,2020-03-13,0,94.49792694580081,2411.214054466457,False,52,27.052530257213327,4822.428108932914
52,2020-03-14,0,94.49792694580081,2411.214054466457,False,53,30.535392963630688,4822.428108932914
53,2020-03-15,1,94.49792694580081,2411.214054466457,False,54,34.46343230137079,4822.428108932914
54,2020-03-16,6,94.49792694580081,2411.214054466457,False,55,38.89266911579889,4822.428108932914
55,2020-03-17,10,94.49792694580081,2411.214054466457,False,56,43.885933360389856,4822.428108932914
56,2020-03-18,15,94.49792694580081,2411.214054466457,False,57,49.51362599550789,4822.428108932914
57,2020-03-19,23,94.49792694580081,2411.214054466457,False,58,55.854547966366,4822.428108932914
58,2020-03-20,33,94.49792694580081,2411.214054466457,False,59,62.99679688907338,4822.428108932914
59,2020-03-21,43,94.49792694580081,2411.214054466457,False,60,71.03873021093776,4822.428108932914
60,2020-03-22,43,94.49792694580081,2411.214054466457,False,61,80.08999108592512,4822.428108932914
61,2020-03-23,46,94.49792694580081,2411.214054466457,False,62,90.2725898621968,4822.428108932914
62,2020-03-24,50,94.49792694580081,2411.214054466457,False,63,101.7220297374097,4822.428108932914
63,2020-03-25,60,94.49792694580081,2411.214054466457,False,64,114.58845960061657,4822.428108932914
64,2020-03-26,75,94.49792694580081,2411.214054466457,False,65,129.03783013497673,4822.428108932914
65,2020-03-27,88,94.49792694580081,2411.214054466457,False,66,145.25302068835654,4822.428108932914
66,2020-03-28,104,94.49792694580081,2411.214054466457,False,67,163.4348940304298,4822.428108932914
67,2020-03-29,144,94.49792694580081,2411.214054466457,False,68,183.80322375042428,4822.428108932914
68,2020-03-30,149,94.49792694580081,2411.214054466457,False,69,206.59742463961376,4822.428108932914
69,2020-03-31,172,94.49792694580081,2411.214054466457,False,70,232.07700001893863,4822.428108932914
70,2020-04-01,181,94.49792694580081,2411.214054466457,False,71,260.52160190272434,4822.428108932914
71,2020-04-02,205,94.49792694580081,2411.214054466457,False,72,292.2305807320249,4822.428108932914
72,2020-04-03,227,94.49792694580081,2411.214054466457,False,73,327.5218821843509,4822.428108932914
73,2020-04-04,266,94.49792694580081,2411.214054466457,False,74,366.7301308330734,4822.428108932914
74,2020-04-05,342,94.49792694580081,2411.214054466457,False,75,410.20372641708695,4822.428108932914
75,2020-04-06,457,94.49792694580081,2411.214054466457,False,76,458.3007711781049,4822.428108932914
76,2020-04-07,520,94.49792694580081,2411.214054466457,False,77,511.3836499147782,4822.428108932914
77,2020-04-08,545,94.49792694580081,2411.214054466457,False,78,569.8121025981172,4822.428108932914
78,2020-04-09,582,94.49792694580081,2411.214054466457,False,79,633.9346675772166,4822.428108932914
79,2020-04-10,624,94.49792694580081,2411.214054466457,False,80,704.0784365574324,4822.428108932914
80,2020-04-11,767,94.49792694580081,2411.214054466457,False,81,780.5371548487078,4822.428108932914
81,2020-04-12,865,94.49792694580081,2411.214054466457,False,82,863.5578241684927,4822.428108932914
82,2020-04-13,998,94.49792694580081,2411.214054466457,False,83,953.3261195907795,4822.428108932914
83,2020-04-14,1165,94.49792694580081,2411.214054466457,False,84,1049.951111345757,4822.428108932914
84,2020-04-15,1302,94.49792694580081,2411.214054466457,False,85,1153.4499742686803,4822.428108932914
85,2020-04-16,1349,94.49792694580081,2411.214054466457,False,86,1263.7335540695394,4822.428108932914
86,2020-04-17,1405,94.49792694580081,2411.214054466457,False,87,1380.5938150012262,4822.428108932914
87,2020-04-18,1490,94.49792694580081,2411.214054466457,False,88,1503.6942880912038,4822.428108932914
88,2020-04-19,1565,94.49792694580081,2411.214054466457,False,89,1632.564642251336,4822.428108932914
