,Report_Date,Grenada_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,0,69.40737980015261,7.724796691160929,True,56,1.5082012455019074,15.336375178933645
56,2020-03-18,0,69.40737980015261,7.724796691160929,True,57,1.7495042217241397,15.336375178933645
57,2020-03-19,0,69.40737980015261,7.724796691160929,True,58,2.023809792218755,15.336375178933645
58,2020-03-20,0,69.40737980015261,7.724796691160929,True,59,2.3337974018842305,15.336375178933645
59,2020-03-21,0,69.40737980015261,7.724796691160929,True,60,2.681781670637159,15.336375178933645
60,2020-03-22,1,69.40737980015261,7.724796691160929,True,61,3.069509518571079,15.336375178933645
61,2020-03-23,1,69.40737980015261,7.724796691160929,True,62,3.4979367637254515,15.336375178933645
62,2020-03-24,1,69.40737980015261,7.724796691160929,True,63,3.96700055432198,15.336375178933645
63,2020-03-25,1,69.40737980015261,7.724796691160929,True,64,4.4754109548853815,15.336375178933645
64,2020-03-26,7,69.40737980015261,7.724796691160929,True,65,5.020490473035172,15.336375178933645
65,2020-03-27,7,69.40737980015261,7.724796691160929,True,66,5.598092285278376,15.336375178933645
66,2020-03-28,7,69.40737980015261,7.724796691160929,True,67,6.202624487977223,15.336375178933645
67,2020-03-29,9,69.40737980015261,7.724796691160929,True,68,6.827197800114141,15.336375178933645
68,2020-03-30,9,69.40737980015261,7.724796691160929,True,69,7.46389831099706,15.336375178933645
69,2020-03-31,9,69.40737980015261,7.724796691160929,True,70,8.104167610439683,15.336375178933645
70,2020-04-01,9,69.40737980015261,7.724796691160929,True,71,8.739254112813128,15.336375178933645
71,2020-04-02,10,69.40737980015261,7.724796691160929,True,72,9.36068624842457,15.336375178933645
72,2020-04-03,12,69.40737980015261,7.724796691160929,True,73,9.960714035828433,15.336375178933645
73,2020-04-04,12,69.40737980015261,7.724796691160929,True,74,10.532671545247023,15.336375178933645
74,2020-04-05,12,69.40737980015261,7.724796691160929,True,75,11.071227223744195,15.336375178933645
75,2020-04-06,12,69.40737980015261,7.724796691160929,True,76,11.572508070823638,15.336375178933645
76,2020-04-07,12,69.40737980015261,7.724796691160929,True,77,12.034102550256376,15.336375178933645
77,2020-04-08,12,69.40737980015261,7.724796691160929,True,78,12.454961988414178,15.336375178933645
78,2020-04-09,12,69.40737980015261,7.724796691160929,True,79,12.835228895053218,15.336375178933645
79,2020-04-10,14,69.40737980015261,7.724796691160929,True,80,13.176022957142203,15.336375178933645
80,2020-04-11,14,69.40737980015261,7.724796691160929,True,81,13.479212681256362,15.336375178933645
81,2020-04-12,14,69.40737980015261,7.724796691160929,True,82,13.747194772390758,15.336375178933645
82,2020-04-13,14,69.40737980015261,7.724796691160929,True,83,13.982696296210465,15.336375178933645
83,2020-04-14,14,69.40737980015261,7.724796691160929,True,84,14.188607973406494,15.336375178933645
84,2020-04-15,14,69.40737980015261,7.724796691160929,True,85,14.367851480212801,15.336375178933645
85,2020-04-16,14,69.40737980015261,7.724796691160929,True,86,14.523279707984432,15.336375178933645
86,2020-04-17,14,69.40737980015261,7.724796691160929,True,87,14.657606509742058,15.336375178933645
87,2020-04-18,14,69.40737980015261,7.724796691160929,True,88,14.773361265223022,15.336375178933645
88,2020-04-19,14,69.40737980015261,7.724796691160929,True,89,14.872863290394493,15.336375178933645
