,Report_Date,France_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
49,2020-03-11,2281,73.58891506093786,69310.54097638634,False,50,3375.771236002524,138621.0819527727
50,2020-03-12,2281,73.58891506093786,69310.54097638634,False,51,3931.2496172877472,138621.0819527727
51,2020-03-13,3661,73.58891506093786,69310.54097638634,False,52,4575.039220020164,138621.0819527727
52,2020-03-14,4469,73.58891506093786,69310.54097638634,False,53,5320.092848280097,138621.0819527727
53,2020-03-15,4499,73.58891506093786,69310.54097638634,False,54,6180.885141194282,138621.0819527727
54,2020-03-16,6633,73.58891506093786,69310.54097638634,False,55,7173.45881313214,138621.0819527727
55,2020-03-17,7652,73.58891506093786,69310.54097638634,False,56,8315.419721638873,138621.0819527727
56,2020-03-18,9043,73.58891506093786,69310.54097638634,False,57,9625.859720892353,138621.0819527727
57,2020-03-19,10871,73.58891506093786,69310.54097638634,False,58,11125.182318581883,138621.0819527727
58,2020-03-20,12612,73.58891506093786,69310.54097638634,False,59,12834.802939782963,138621.0819527727
59,2020-03-21,14282,73.58891506093786,69310.54097638634,False,60,14776.694063640052,138621.0819527727
60,2020-03-22,16018,73.58891506093786,69310.54097638634,False,61,16972.74693379955,138621.0819527727
61,2020-03-23,19856,73.58891506093786,69310.54097638634,False,62,19443.927546072795,138621.0819527727
62,2020-03-24,22304,73.58891506093786,69310.54097638634,False,63,22209.216901396485,138621.0819527727
63,2020-03-25,25233,73.58891506093786,69310.54097638634,False,64,25284.34554725107,138621.0819527727
64,2020-03-26,29155,73.58891506093786,69310.54097638634,False,65,28680.36085149219,138621.0819527727
65,2020-03-27,32964,73.58891506093786,69310.54097638634,False,66,32402.101289325066,138621.0819527727
66,2020-03-28,37575,73.58891506093786,69310.54097638634,False,67,36446.69190322135,138621.0819527727
67,2020-03-29,40174,73.58891506093786,69310.54097638634,False,68,40802.21272535732,138621.0819527727
68,2020-03-30,44550,73.58891506093786,69310.54097638634,False,69,45446.71833283289,138621.0819527727
69,2020-03-31,52128,73.58891506093786,69310.54097638634,False,70,50347.79148666061,138621.0819527727
70,2020-04-01,56989,73.58891506093786,69310.54097638634,False,71,55462.78793807896,138621.0819527727
71,2020-04-02,59105,73.58891506093786,69310.54097638634,False,72,60739.86875290244,138621.0819527727
