,Report_Date,New Zealand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
54,2020-03-16,8,72.64790914350768,802.6184504873688,True,55,92.29998169295233,1584.4699153194256
55,2020-03-17,12,72.64790914350768,802.6184504873688,True,56,107.0926191982793,1584.4699153194256
56,2020-03-18,20,72.64790914350768,802.6184504873688,True,57,124.06162327885163,1584.4699153194256
57,2020-03-19,28,72.64790914350768,802.6184504873688,True,58,143.46191870132884,1584.4699153194256
58,2020-03-20,39,72.64790914350768,802.6184504873688,True,59,165.5568663028777,1584.4699153194256
59,2020-03-21,52,72.64790914350768,802.6184504873688,True,60,190.61098703896448,1584.4699153194256
60,2020-03-22,102,72.64790914350768,802.6184504873688,True,61,218.88017178903635,1584.4699153194256
61,2020-03-23,102,72.64790914350768,802.6184504873688,True,62,250.59920464695426,1584.4699153194256
62,2020-03-24,155,72.64790914350768,802.6184504873688,True,63,285.96665996212454,1584.4699153194256
63,2020-03-25,205,72.64790914350768,802.6184504873688,True,64,325.127574349198,1584.4699153194256
64,2020-03-26,283,72.64790914350768,802.6184504873688,True,65,368.1547370151846,1584.4699153194256
65,2020-03-27,368,72.64790914350768,802.6184504873688,True,66,415.0299479471438,1584.4699153194256
66,2020-03-28,451,72.64790914350768,802.6184504873688,True,67,465.627088634313,1584.4699153194256
67,2020-03-29,514,72.64790914350768,802.6184504873688,True,68,519.699221417184,1584.4699153194256
68,2020-03-30,589,72.64790914350768,802.6184504873688,True,69,576.8720463078696,1584.4699153194256
69,2020-03-31,647,72.64790914350768,802.6184504873688,True,70,636.6457739117227,1584.4699153194256
70,2020-04-01,708,72.64790914350768,802.6184504873688,True,71,698.4067526633388,1584.4699153194256
71,2020-04-02,797,72.64790914350768,802.6184504873688,True,72,761.4490535011487,1584.4699153194256
72,2020-04-03,868,72.64790914350768,802.6184504873688,True,73,825.004827146086,1584.4699153194256
73,2020-04-04,950,72.64790914350768,802.6184504873688,True,74,888.2808779766209,1584.4699153194256
74,2020-04-05,1039,72.64790914350768,802.6184504873688,True,75,950.4978559899819,1584.4699153194256
75,2020-04-06,1106,72.64790914350768,802.6184504873688,True,76,1010.9280134149199,1584.4699153194256
76,2020-04-07,1160,72.64790914350768,802.6184504873688,True,77,1068.9277230715593,1584.4699153194256
77,2020-04-08,1210,72.64790914350768,802.6184504873688,True,78,1123.9618463000843,1584.4699153194256
78,2020-04-09,1239,72.64790914350768,802.6184504873688,True,79,1175.6183442579656,1584.4699153194256
79,2020-04-10,1283,72.64790914350768,802.6184504873688,True,80,1223.6129409977736,1584.4699153194256
80,2020-04-11,1312,72.64790914350768,802.6184504873688,True,81,1267.7848791215472,1584.4699153194256
81,2020-04-12,1330,72.64790914350768,802.6184504873688,True,82,1308.085661129686,1584.4699153194256
82,2020-04-13,1349,72.64790914350768,802.6184504873688,True,83,1344.5630698220887,1584.4699153194256
83,2020-04-14,1366,72.64790914350768,802.6184504873688,True,84,1377.3427503085825,1584.4699153194256
84,2020-04-15,1386,72.64790914350768,802.6184504873688,True,85,1406.6093269237392,1584.4699153194256
85,2020-04-16,1401,72.64790914350768,802.6184504873688,True,86,1432.5885566244378,1584.4699153194256
86,2020-04-17,1409,72.64790914350768,802.6184504873688,True,87,1455.5315078972433,1584.4699153194256
87,2020-04-18,1422,72.64790914350768,802.6184504873688,True,88,1475.7012876504186,1584.4699153194256
88,2020-04-19,1431,72.64790914350768,802.6184504873688,True,89,1493.3624657896987,1584.4699153194256
89,2020-04-20,1440,72.64790914350768,802.6184504873688,True,90,1508.773083143606,1584.4699153194256
