,Report_Date,Canada_manitoba_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
44,2020-03-06,0,73.70108553286448,157.13271784932084,True,45,3.5098712030345642,303.37543638429156
45,2020-03-07,0,73.70108553286448,157.13271784932084,True,46,4.095561816956299,303.37543638429156
46,2020-03-08,0,73.70108553286448,157.13271784932084,True,47,4.777483819004242,303.37543638429156
47,2020-03-09,0,73.70108553286448,157.13271784932084,True,48,5.570908353538995,303.37543638429156
48,2020-03-10,0,73.70108553286448,157.13271784932084,True,49,6.493336891983628,303.37543638429156
49,2020-03-11,0,73.70108553286448,157.13271784932084,True,50,7.5647578624386504,303.37543638429156
50,2020-03-12,0,73.70108553286448,157.13271784932084,True,51,8.807907293355314,303.37543638429156
51,2020-03-13,4,73.70108553286448,157.13271784932084,True,52,10.248522354743551,303.37543638429156
52,2020-03-14,4,73.70108553286448,157.13271784932084,True,53,11.915571874799982,303.37543638429156
53,2020-03-15,4,73.70108553286448,157.13271784932084,True,54,13.841441912959686,303.37543638429156
54,2020-03-16,7,73.70108553286448,157.13271784932084,True,55,16.062047249678624,303.37543638429156
55,2020-03-17,8,73.70108553286448,157.13271784932084,True,56,18.616831340589332,303.37543638429156
56,2020-03-18,15,73.70108553286448,157.13271784932084,True,57,21.548608279819767,303.37543638429156
57,2020-03-19,17,73.70108553286448,157.13271784932084,True,58,24.90319143038841,303.37543638429156
58,2020-03-20,17,73.70108553286448,157.13271784932084,True,59,28.728745971481896,303.37543638429156
59,2020-03-21,18,73.70108553286448,157.13271784932084,True,60,33.07479874314435,303.37543638429156
60,2020-03-22,20,73.70108553286448,157.13271784932084,True,61,37.9908412682553,303.37543638429156
61,2020-03-23,20,73.70108553286448,157.13271784932084,True,62,43.52447421322209,303.37543638429156
62,2020-03-24,21,73.70108553286448,157.13271784932084,True,63,49.71906764432686,303.37543638429156
63,2020-03-25,35,73.70108553286448,157.13271784932084,True,64,56.61095462210657,303.37543638429156
64,2020-03-26,36,73.70108553286448,157.13271784932084,True,65,64.22623760868603,303.37543638429156
