,Report_Date,Norway_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
49,2020-03-11,598,64.99190403026076,3435.6301005187206,True,50,583.2711910371424,6743.519064080089
50,2020-03-12,702,64.99190403026076,3435.6301005187206,True,51,673.6900457338621,6743.519064080089
51,2020-03-13,996,64.99190403026076,3435.6301005187206,True,52,776.394968723783,6743.519064080089
52,2020-03-14,1090,64.99190403026076,3435.6301005187206,True,53,892.5025782689294,6743.519064080089
53,2020-03-15,1221,64.99190403026076,3435.6301005187206,True,54,1023.0591677092757,6743.519064080089
54,2020-03-16,1333,64.99190403026076,3435.6301005187206,True,55,1168.979682626404,6743.519064080089
55,2020-03-17,1463,64.99190403026076,3435.6301005187206,True,56,1330.9763219230213,6743.519064080089
56,2020-03-18,1550,64.99190403026076,3435.6301005187206,True,57,1509.4796781016355,6743.519064080089
57,2020-03-19,1746,64.99190403026076,3435.6301005187206,True,58,1704.5574432276524,6743.519064080089
58,2020-03-20,1914,64.99190403026076,3435.6301005187206,True,59,1915.8379042563517,6743.519064080089
59,2020-03-21,2118,64.99190403026076,3435.6301005187206,True,60,2142.44730181279,6743.519064080089
60,2020-03-22,2385,64.99190403026076,3435.6301005187206,True,61,2382.9710694434125,6743.519064080089
61,2020-03-23,2621,64.99190403026076,3435.6301005187206,True,62,2635.4484328325866,6743.519064080089
62,2020-03-24,2863,64.99190403026076,3435.6301005187206,True,63,2897.407430135866,6743.519064080089
63,2020-03-25,3084,64.99190403026076,3435.6301005187206,True,64,3165.943095675597,6743.519064080089
64,2020-03-26,3369,64.99190403026076,3435.6301005187206,True,65,3437.8358367841765,6743.519064080089
65,2020-03-27,3755,64.99190403026076,3435.6301005187206,True,66,3709.700951635175,6743.519064080089
66,2020-03-28,4015,64.99190403026076,3435.6301005187206,True,67,3978.1551095544837,6743.519064080089
67,2020-03-29,4284,64.99190403026076,3435.6301005187206,True,68,4239.982688750156,6743.519064080089
68,2020-03-30,4445,64.99190403026076,3435.6301005187206,True,69,4492.284891370698,6743.519064080089
69,2020-03-31,4641,64.99190403026076,3435.6301005187206,True,70,4732.597525768935,6743.519064080089
70,2020-04-01,4863,64.99190403026076,3435.6301005187206,True,71,4958.96849837991,6743.519064080089
71,2020-04-02,5147,64.99190403026076,3435.6301005187206,True,72,5169.992143774407,6743.519064080089
72,2020-04-03,5370,64.99190403026076,3435.6301005187206,True,73,5364.803218283539,6743.519064080089
73,2020-04-04,5550,64.99190403026076,3435.6301005187206,True,74,5543.037673246264,6743.519064080089
74,2020-04-05,5687,64.99190403026076,3435.6301005187206,True,75,5704.769710379112,6743.519064080089
75,2020-04-06,5865,64.99190403026076,3435.6301005187206,True,76,5850.435131381871,6743.519064080089
76,2020-04-07,6086,64.99190403026076,3435.6301005187206,True,77,5980.750031521677,6743.519064080089
77,2020-04-08,6086,64.99190403026076,3435.6301005187206,True,78,6096.6320266807315,6743.519064080089
78,2020-04-09,6211,64.99190403026076,3435.6301005187206,True,79,6199.129004541375,6743.519064080089
79,2020-04-10,6314,64.99190403026076,3435.6301005187206,True,80,6289.3582834032,6743.519064080089
