,Report_Date,Botswana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
21,2020-02-12,0,92.90897179464135,17.76664119195803,False,22,0.09574710063698628,0.15462241763255108
22,2020-02-13,0,92.90897179464135,17.76664119195803,False,23,0.10405047583040654,0.15462241763255108
23,2020-02-14,0,92.90897179464135,17.76664119195803,False,24,0.1130716383081157,0.15462241763255108
24,2020-02-15,0,92.90897179464135,17.76664119195803,False,25,0.1228722218584183,0.15462241763255108
25,2020-02-16,0,92.90897179464135,17.76664119195803,False,26,0.13351907743972072,0.15462241763255108
26,2020-02-17,0,92.90897179464135,17.76664119195803,False,27,0.14508470121799602,0.15462241763255108
27,2020-02-18,0,92.90897179464135,17.76664119195803,False,28,0.1576476952520153,0.15462241763255108
28,2020-02-19,0,92.90897179464135,17.76664119195803,False,29,0.17129326285950544,0.15462241763255108
29,2020-02-20,0,92.90897179464135,17.76664119195803,False,30,0.1861137407348764,0.15462241763255108
30,2020-02-21,0,92.90897179464135,17.76664119195803,False,31,0.2022091699065634,0.15462241763255108
31,2020-02-22,0,92.90897179464135,17.76664119195803,False,32,0.2196879076138887,0.15462241763255108
32,2020-02-23,0,92.90897179464135,17.76664119195803,False,33,0.23866728214321842,0.15462241763255108
33,2020-02-24,0,92.90897179464135,17.76664119195803,False,34,0.2592742925834728,0.15462241763255108
34,2020-02-25,0,92.90897179464135,17.76664119195803,False,35,0.28164635533282795,0.15462241763255108
35,2020-02-26,0,92.90897179464135,17.76664119195803,False,36,0.3059320990013506,0.15462241763255108
36,2020-02-27,0,92.90897179464135,17.76664119195803,False,37,0.33229220909629625,0.15462241763255108
37,2020-02-28,0,92.90897179464135,17.76664119195803,False,38,0.3609003235339757,0.15462241763255108
38,2020-02-29,0,92.90897179464135,17.76664119195803,False,39,0.39194397957855565,0.15462241763255108
39,2020-03-01,0,92.90897179464135,17.76664119195803,False,40,0.4256256122457541,0.15462241763255108
40,2020-03-02,0,92.90897179464135,17.76664119195803,False,41,0.4621636035075986,0.15462241763255108
41,2020-03-03,0,92.90897179464135,17.76664119195803,False,42,0.5017933807701875,0.15462241763255108
42,2020-03-04,0,92.90897179464135,17.76664119195803,False,43,0.5447685620440704,0.15462241763255108
43,2020-03-05,0,92.90897179464135,17.76664119195803,False,44,0.5913621439581616,0.15462241763255108
44,2020-03-06,0,92.90897179464135,17.76664119195803,False,45,0.6418677272521832,0.15462241763255108
45,2020-03-07,0,92.90897179464135,17.76664119195803,False,46,0.6966007725863919,0.15462241763255108
46,2020-03-08,0,92.90897179464135,17.76664119195803,False,47,0.7558998773957641,0.15462241763255108
47,2020-03-09,0,92.90897179464135,17.76664119195803,False,48,0.8201280620527054,0.15462241763255108
48,2020-03-10,0,92.90897179464135,17.76664119195803,False,49,0.8896740507512785,0.15462241763255108
49,2020-03-11,0,92.90897179464135,17.76664119195803,False,50,0.9649535292517629,0.15462241763255108
50,2020-03-12,0,92.90897179464135,17.76664119195803,False,51,1.0464103578948942,0.15462241763255108
51,2020-03-13,0,92.90897179464135,17.76664119195803,False,52,1.134517714083886,0.15462241763255108
52,2020-03-14,0,92.90897179464135,17.76664119195803,False,53,1.229779133721646,0.15462241763255108
53,2020-03-15,0,92.90897179464135,17.76664119195803,False,54,1.3327294158754437,0.15462241763255108
54,2020-03-16,0,92.90897179464135,17.76664119195803,False,55,1.443935349234717,0.15462241763255108
55,2020-03-17,0,92.90897179464135,17.76664119195803,False,56,1.56399621276625,0.15462241763255108
56,2020-03-18,0,92.90897179464135,17.76664119195803,False,57,1.693543996422111,0.15462241763255108
