,Report_Date,China_tianjin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,137,17.501319653617536,78.12342248853912,True,58,155.51504026575688,156.24134825644794
58,2020-03-20,137,17.501319653617536,78.12342248853912,True,59,155.60537045819808,156.24134825644794
59,2020-03-21,137,17.501319653617536,78.12342248853912,True,60,155.68459107007342,156.24134825644794
60,2020-03-22,137,17.501319653617536,78.12342248853912,True,61,155.75405910405465,156.24134825644794
61,2020-03-23,141,17.501319653617536,78.12342248853912,True,62,155.8149679788226,156.24134825644794
62,2020-03-24,145,17.501319653617536,78.12342248853912,True,63,155.8683667436396,156.24134825644794
63,2020-03-25,145,17.501319653617536,78.12342248853912,True,64,155.91517715449436,156.24134825644794
64,2020-03-26,151,17.501319653617536,78.12342248853912,True,65,155.95620882148413,156.24134825644794
65,2020-03-27,155,17.501319653617536,78.12342248853912,True,66,155.99217262361762,156.24134825644794
66,2020-03-28,161,17.501319653617536,78.12342248853912,True,67,156.0236925726231,156.24134825644794
67,2020-03-29,166,17.501319653617536,78.12342248853912,True,68,156.051316292382,156.24134825644794
68,2020-03-30,174,17.501319653617536,78.12342248853912,True,69,156.07552426579628,156.24134825644794
69,2020-03-31,174,17.501319653617536,78.12342248853912,True,70,156.0967379866039,156.24134825644794
70,2020-04-01,176,17.501319653617536,78.12342248853912,True,71,156.1153271401082,156.24134825644794
71,2020-04-02,176,17.501319653617536,78.12342248853912,True,72,156.13161592411964,156.24134825644794
72,2020-04-03,180,17.501319653617536,78.12342248853912,True,73,156.14588860969803,156.24134825644794
73,2020-04-04,180,17.501319653617536,78.12342248853912,True,74,156.15839443054625,156.24134825644794
74,2020-04-05,180,17.501319653617536,78.12342248853912,True,75,156.1693518801313,156.24134825644794
75,2020-04-06,180,17.501319653617536,78.12342248853912,True,76,156.17895248676254,156.24134825644794
76,2020-04-07,180,17.501319653617536,78.12342248853912,True,77,156.18736412888552,156.24134825644794
77,2020-04-08,180,17.501319653617536,78.12342248853912,True,78,156.19473394569974,156.24134825644794
78,2020-04-09,182,17.501319653617536,78.12342248853912,True,79,156.20119089181182,156.24134825644794
79,2020-04-10,183,17.501319653617536,78.12342248853912,True,80,156.20684797893387,156.24134825644794
80,2020-04-11,183,17.501319653617536,78.12342248853912,True,81,156.21180424256235,156.24134825644794
81,2020-04-12,183,17.501319653617536,78.12342248853912,True,82,156.21614646706914,156.24134825644794
82,2020-04-13,184,17.501319653617536,78.12342248853912,True,83,156.21995069864386,156.24134825644794
83,2020-04-14,185,17.501319653617536,78.12342248853912,True,84,156.22328357199652,156.24134825644794
84,2020-04-15,185,17.501319653617536,78.12342248853912,True,85,156.22620347360524,156.24134825644794
