,Report_Date,Azerbaijan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
23,2020-02-14,0,80.24799078406434,928.4073780348898,True,24,0.5807607592165108,1753.7114603935684
24,2020-02-15,0,80.24799078406434,928.4073780348898,True,25,0.6703215252674071,1753.7114603935684
25,2020-02-16,0,80.24799078406434,928.4073780348898,True,26,0.7736879547338593,1753.7114603935684
26,2020-02-17,0,80.24799078406434,928.4073780348898,True,27,0.8929862586751806,1753.7114603935684
27,2020-02-18,0,80.24799078406434,928.4073780348898,True,28,1.0306694710070399,1753.7114603935684
28,2020-02-19,0,80.24799078406434,928.4073780348898,True,29,1.1895674739933428,1753.7114603935684
29,2020-02-20,0,80.24799078406434,928.4073780348898,True,30,1.3729446108660466,1753.7114603935684
30,2020-02-21,0,80.24799078406434,928.4073780348898,True,31,1.5845660129479522,1753.7114603935684
31,2020-02-22,0,80.24799078406434,928.4073780348898,True,32,1.8287739283625337,1753.7114603935684
32,2020-02-23,0,80.24799078406434,928.4073780348898,True,33,2.1105755190971003,1753.7114603935684
33,2020-02-24,0,80.24799078406434,928.4073780348898,True,34,2.435743794403019,1753.7114603935684
34,2020-02-25,0,80.24799078406434,928.4073780348898,True,35,2.810933572583278,1753.7114603935684
35,2020-02-26,0,80.24799078406434,928.4073780348898,True,36,3.2438146110080797,1753.7114603935684
36,2020-02-27,0,80.24799078406434,928.4073780348898,True,37,3.74322431588066,1753.7114603935684
37,2020-02-28,0,80.24799078406434,928.4073780348898,True,38,4.319342737938853,1753.7114603935684
38,2020-02-29,0,80.24799078406434,928.4073780348898,True,39,4.983892875436951,1753.7114603935684
39,2020-03-01,3,80.24799078406434,928.4073780348898,True,40,5.750369636668659,1753.7114603935684
40,2020-03-02,3,80.24799078406434,928.4073780348898,True,41,6.634301153080284,1753.7114603935684
41,2020-03-03,3,80.24799078406434,928.4073780348898,True,42,7.6535464684692105,1753.7114603935684
42,2020-03-04,3,80.24799078406434,928.4073780348898,True,43,8.828633941787846,1753.7114603935684
43,2020-03-05,6,80.24799078406434,928.4073780348898,True,44,10.183144964752975,1753.7114603935684
44,2020-03-06,6,80.24799078406434,928.4073780348898,True,45,11.744147774509502,1753.7114603935684
45,2020-03-07,9,80.24799078406434,928.4073780348898,True,46,13.542686186217084,1753.7114603935684
46,2020-03-08,9,80.24799078406434,928.4073780348898,True,47,15.61432791342627,1753.7114603935684
47,2020-03-09,9,80.24799078406434,928.4073780348898,True,48,17.999776696242765,1753.7114603935684
48,2020-03-10,11,80.24799078406434,928.4073780348898,True,49,20.74555160179448,1753.7114603935684
49,2020-03-11,11,80.24799078406434,928.4073780348898,True,50,23.90473544806644,1753.7114603935684
50,2020-03-12,11,80.24799078406434,928.4073780348898,True,51,27.53779214036942,1753.7114603935684
51,2020-03-13,15,80.24799078406434,928.4073780348898,True,52,31.713449563062685,1753.7114603935684
52,2020-03-14,15,80.24799078406434,928.4073780348898,True,53,36.50964025047606,1753.7114603935684
53,2020-03-15,23,80.24799078406434,928.4073780348898,True,54,42.01448603125918,1753.7114603935684
54,2020-03-16,28,80.24799078406434,928.4073780348898,True,55,48.32730481404967,1753.7114603935684
55,2020-03-17,28,80.24799078406434,928.4073780348898,True,56,55.55960724322612,1753.7114603935684
56,2020-03-18,28,80.24799078406434,928.4073780348898,True,57,63.836037687640975,1753.7114603935684
57,2020-03-19,44,80.24799078406434,928.4073780348898,True,58,73.29519757841837,1753.7114603935684
58,2020-03-20,44,80.24799078406434,928.4073780348898,True,59,84.09026928191565,1753.7114603935684
59,2020-03-21,53,80.24799078406434,928.4073780348898,True,60,96.38933556805206,1753.7114603935684
60,2020-03-22,65,80.24799078406434,928.4073780348898,True,61,110.375263881996,1753.7114603935684
61,2020-03-23,72,80.24799078406434,928.4073780348898,True,62,126.24499735340466,1753.7114603935684
62,2020-03-24,87,80.24799078406434,928.4073780348898,True,63,144.20806812814547,1753.7114603935684
63,2020-03-25,93,80.24799078406434,928.4073780348898,True,64,164.4841269014079,1753.7114603935684
64,2020-03-26,122,80.24799078406434,928.4073780348898,True,65,187.29927085332073,1753.7114603935684
65,2020-03-27,165,80.24799078406434,928.4073780348898,True,66,212.88095773463994,1753.7114603935684
66,2020-03-28,182,80.24799078406434,928.4073780348898,True,67,241.45132545496207,1753.7114603935684
67,2020-03-29,209,80.24799078406434,928.4073780348898,True,68,273.2188039487585,1753.7114603935684
68,2020-03-30,273,80.24799078406434,928.4073780348898,True,69,308.36801852648887,1753.7114603935684
69,2020-03-31,298,80.24799078406434,928.4073780348898,True,70,347.0481475272747,1753.7114603935684
70,2020-04-01,359,80.24799078406434,928.4073780348898,True,71,389.3601116222107,1753.7114603935684
71,2020-04-02,400,80.24799078406434,928.4073780348898,True,72,435.343226948236,1753.7114603935684
72,2020-04-03,443,80.24799078406434,928.4073780348898,True,73,484.96222482319854,1753.7114603935684
73,2020-04-04,521,80.24799078406434,928.4073780348898,True,74,538.0957869651857,1753.7114603935684
74,2020-04-05,584,80.24799078406434,928.4073780348898,True,75,594.5279133498242,1753.7114603935684
75,2020-04-06,641,80.24799078406434,928.4073780348898,True,76,653.9434706734658,1753.7114603935684
76,2020-04-07,717,80.24799078406434,928.4073780348898,True,77,715.9291109358313,1753.7114603935684
77,2020-04-08,822,80.24799078406434,928.4073780348898,True,78,779.9803747098246,1753.7114603935684
