,Report_Date,Italy_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
45,2020-03-07,5883,63.622995105664636,72594.40425774222,True,46,7002.605730730018,141970.72697660894
46,2020-03-08,7375,63.622995105664636,72594.40425774222,True,47,8220.71463835202,141970.72697660894
47,2020-03-09,9172,63.622995105664636,72594.40425774222,True,48,9635.939080526998,141970.72697660894
48,2020-03-10,10149,63.622995105664636,72594.40425774222,True,49,11274.74404018566,141970.72697660894
49,2020-03-11,12462,63.622995105664636,72594.40425774222,True,50,13165.194669829774,141970.72697660894
50,2020-03-12,12462,63.622995105664636,72594.40425774222,True,51,15336.318526225023,141970.72697660894
51,2020-03-13,17660,63.622995105664636,72594.40425774222,True,52,17817.170692889133,141970.72697660894
52,2020-03-14,21157,63.622995105664636,72594.40425774222,True,53,20635.55904471675,141970.72697660894
53,2020-03-15,24747,63.622995105664636,72594.40425774222,True,54,23816.409184562188,141970.72697660894
54,2020-03-16,27980,63.622995105664636,72594.40425774222,True,55,27379.786940369886,141970.72697660894
55,2020-03-17,31506,63.622995105664636,72594.40425774222,True,56,31338.65226210533,141970.72697660894
56,2020-03-18,35713,63.622995105664636,72594.40425774222,True,57,35696.489463152946,141970.72697660894
57,2020-03-19,41035,63.622995105664636,72594.40425774222,True,58,40445.03655782232,141970.72697660894
58,2020-03-20,47021,63.622995105664636,72594.40425774222,True,59,45562.405343901126,141970.72697660894
59,2020-03-21,53578,63.622995105664636,72594.40425774222,True,60,51011.92223675378,141970.72697660894
60,2020-03-22,59138,63.622995105664636,72594.40425774222,True,61,56742.00460947765,141970.72697660894
61,2020-03-23,63927,63.622995105664636,72594.40425774222,True,62,62687.30203337822,141970.72697660894
62,2020-03-24,69176,63.622995105664636,72594.40425774222,True,63,68771.17575657107,141970.72697660894
63,2020-03-25,74386,63.622995105664636,72594.40425774222,True,64,74909.38478184969,141970.72697660894
64,2020-03-26,80589,63.622995105664636,72594.40425774222,True,65,81014.63601360594,141970.72697660894
65,2020-03-27,86498,63.622995105664636,72594.40425774222,True,66,87001.49243638445,141970.72697660894
66,2020-03-28,92472,63.622995105664636,72594.40425774222,True,67,92791.0628160551,141970.72697660894
67,2020-03-29,97689,63.622995105664636,72594.40425774222,True,68,98314.93959930539,141970.72697660894
68,2020-03-30,101739,63.622995105664636,72594.40425774222,True,69,103517.99582935615,141970.72697660894
69,2020-03-31,105792,63.622995105664636,72594.40425774222,True,70,108359.85611013604,141970.72697660894
70,2020-04-01,110574,63.622995105664636,72594.40425774222,True,71,112815.06772440078,141970.72697660894
71,2020-04-02,115242,63.622995105664636,72594.40425774222,True,72,116872.16903145448,141970.72697660894
72,2020-04-03,119827,63.622995105664636,72594.40425774222,True,73,120531.95576154636,141970.72697660894
73,2020-04-04,124632,63.622995105664636,72594.40425774222,True,74,123805.27725150566,141970.72697660894
74,2020-04-05,128948,63.622995105664636,72594.40425774222,True,75,126710.66745304843,141970.72697660894
75,2020-04-06,132547,63.622995105664636,72594.40425774222,True,76,129272.0519927067,141970.72697660894
