,Report_Date,USA_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
24,2020-02-15,13,88.21345847023733,725290.4353878055,True,25,2472.364519704155,1412291.8275635112
25,2020-02-16,13,88.21345847023733,725290.4353878055,True,26,2734.1177346879085,1412291.8275635112
26,2020-02-17,13,88.21345847023733,725290.4353878055,True,27,3023.5253235093824,1412291.8275635112
27,2020-02-18,13,88.21345847023733,725290.4353878055,True,28,3343.496092872916,1412291.8275635112
28,2020-02-19,13,88.21345847023733,725290.4353878055,True,29,3697.241938590345,1412291.8275635112
29,2020-02-20,13,88.21345847023733,725290.4353878055,True,30,4088.308786688495,1412291.8275635112
30,2020-02-21,15,88.21345847023733,725290.4353878055,True,31,4520.610550144282,1412291.8275635112
31,2020-02-22,15,88.21345847023733,725290.4353878055,True,32,4998.466362852533,1412291.8275635112
32,2020-02-23,15,88.21345847023733,725290.4353878055,True,33,5526.6413675937865,1412291.8275635112
33,2020-02-24,51,88.21345847023733,725290.4353878055,True,34,6110.391348876761,1412291.8275635112
34,2020-02-25,51,88.21345847023733,725290.4353878055,True,35,6755.511513927921,1412291.8275635112
35,2020-02-26,57,88.21345847023733,725290.4353878055,True,36,7468.389734959357,1412291.8275635112
36,2020-02-27,58,88.21345847023733,725290.4353878055,True,37,8256.064572128116,1412291.8275635112
37,2020-02-28,60,88.21345847023733,725290.4353878055,True,38,9126.288398016379,1412291.8275635112
38,2020-02-29,68,88.21345847023733,725290.4353878055,True,39,10087.595939424733,1412291.8275635112
39,2020-03-01,74,88.21345847023733,725290.4353878055,True,40,11149.37853884062,1412291.8275635112
40,2020-03-02,98,88.21345847023733,725290.4353878055,True,41,12321.964413766855,1412291.8275635112
41,2020-03-03,118,88.21345847023733,725290.4353878055,True,42,13616.705154337626,1412291.8275635112
42,2020-03-04,149,88.21345847023733,725290.4353878055,True,43,15046.068644926365,1412291.8275635112
43,2020-03-05,217,88.21345847023733,725290.4353878055,True,44,16623.738519749164,1412291.8275635112
44,2020-03-06,262,88.21345847023733,725290.4353878055,True,45,18364.720161078076,1412291.8275635112
45,2020-03-07,402,88.21345847023733,725290.4353878055,True,46,20285.45311611945,1412291.8275635112
46,2020-03-08,518,88.21345847023733,725290.4353878055,True,47,22403.92963857954,1412291.8275635112
47,2020-03-09,583,88.21345847023733,725290.4353878055,True,48,24739.818846271963,1412291.8275635112
48,2020-03-10,959,88.21345847023733,725290.4353878055,True,49,27314.59571881129,1412291.8275635112
49,2020-03-11,1281,88.21345847023733,725290.4353878055,True,50,30151.673830688316,1412291.8275635112
50,2020-03-12,1663,88.21345847023733,725290.4353878055,True,51,33276.54031540373,1412291.8275635112
51,2020-03-13,2179,88.21345847023733,725290.4353878055,True,52,36716.89107604037,1412291.8275635112
52,2020-03-14,2727,88.21345847023733,725290.4353878055,True,53,40502.76368690952,1412291.8275635112
53,2020-03-15,3499,88.21345847023733,725290.4353878055,True,54,44666.66476061237,1412291.8275635112
54,2020-03-16,4632,88.21345847023733,725290.4353878055,True,55,49243.687777441824,1412291.8275635112
55,2020-03-17,6421,88.21345847023733,725290.4353878055,True,56,54271.61648469287,1412291.8275635112
56,2020-03-18,7783,88.21345847023733,725290.4353878055,True,57,59791.00797164394,1412291.8275635112
57,2020-03-19,13747,88.21345847023733,725290.4353878055,True,58,65845.24841757884,1412291.8275635112
58,2020-03-20,19273,88.21345847023733,725290.4353878055,True,59,72480.57330996172,1412291.8275635112
59,2020-03-21,25600,88.21345847023733,725290.4353878055,True,60,79746.0426643883,1412291.8275635112
60,2020-03-22,33276,88.21345847023733,725290.4353878055,True,61,87693.46048922076,1412291.8275635112
61,2020-03-23,43843,88.21345847023733,725290.4353878055,True,62,96377.22648710164,1412291.8275635112
62,2020-03-24,53736,88.21345847023733,725290.4353878055,True,63,105854.10685718953,1412291.8275635112
63,2020-03-25,65778,88.21345847023733,725290.4353878055,True,64,116182.91016709793,1412291.8275635112
64,2020-03-26,83836,88.21345847023733,725290.4353878055,True,65,127424.05374273754,1412291.8275635112
65,2020-03-27,101657,88.21345847023733,725290.4353878055,True,66,139639.0060485975,1412291.8275635112
66,2020-03-28,121465,88.21345847023733,725290.4353878055,True,67,152889.59129999185,1412291.8275635112
67,2020-03-29,140909,88.21345847023733,725290.4353878055,True,68,167237.14428443954,1412291.8275635112
68,2020-03-30,161831,88.21345847023733,725290.4353878055,True,69,182741.50630433921,1412291.8275635112
69,2020-03-31,188172,88.21345847023733,725290.4353878055,True,70,199459.8575120335,1412291.8275635112
70,2020-04-01,213242,88.21345847023733,725290.4353878055,True,71,217445.38688081168,1412291.8275635112
71,2020-04-02,243622,88.21345847023733,725290.4353878055,True,72,236745.80876044548,1412291.8275635112
72,2020-04-03,275367,88.21345847023733,725290.4353878055,True,73,257401.74440924198,1412291.8275635112
73,2020-04-04,308650,88.21345847023733,725290.4353878055,True,74,279444.9979211381,1412291.8275635112
74,2020-04-05,336802,88.21345847023733,725290.4353878055,True,75,302896.768213139,1412291.8275635112
75,2020-04-06,366317,88.21345847023733,725290.4353878055,True,76,327765.8515963687,1412291.8275635112
76,2020-04-07,397121,88.21345847023733,725290.4353878055,True,77,354046.90204868675,1412291.8275635112
77,2020-04-08,428654,88.21345847023733,725290.4353878055,True,78,381718.8275095099,1412291.8275635112
78,2020-04-09,462780,88.21345847023733,725290.4353878055,True,79,410743.40899852617,1412291.8275635112
79,2020-04-10,496535,88.21345847023733,725290.4353878055,True,80,441064.2336916804,1412291.8275635112
80,2020-04-11,526396,88.21345847023733,725290.4353878055,True,81,472606.03189832286,1412291.8275635112
81,2020-04-12,555313,88.21345847023733,725290.4353878055,True,82,505274.500052221,1412291.8275635112
82,2020-04-13,580619,88.21345847023733,725290.4353878055,True,83,538956.676703121,1412291.8275635112
83,2020-04-14,607670,88.21345847023733,725290.4353878055,True,84,573521.9160918371,1412291.8275635112
84,2020-04-15,636350,88.21345847023733,725290.4353878055,True,85,608823.4750467055,1412291.8275635112
85,2020-04-16,667592,88.21345847023733,725290.4353878055,True,86,644700.6953603751,1412291.8275635112
86,2020-04-17,699706,88.21345847023733,725290.4353878055,True,87,680981.7279956787,1412291.8275635112
87,2020-04-18,732197,88.21345847023733,725290.4353878055,True,88,717486.7105068705,1412291.8275635112
88,2020-04-19,758809,88.21345847023733,725290.4353878055,True,89,754031.2782595328,1412291.8275635112
89,2020-04-20,784326,88.21345847023733,725290.4353878055,True,90,790430.2665087521,1412291.8275635112
