,Report_Date,Guatemala_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
45,2020-03-07,0,0,148.55170413881228,12470.336856414173,False,46,8.811243524316453,24940.673712828357
46,2020-03-08,0,0,148.55170413881228,12470.336856414173,False,47,9.521012934219971,24940.673712828357
47,2020-03-09,0,0,148.55170413881228,12470.336856414173,False,48,10.287932590411186,24940.673712828357
48,2020-03-10,0,0,148.55170413881228,12470.336856414173,False,49,11.116600245973691,24940.673712828357
49,2020-03-11,0,0,148.55170413881228,12470.336856414173,False,50,12.011982881990779,24940.673712828357
50,2020-03-12,0,0,148.55170413881228,12470.336856414173,False,51,12.979446247809346,24940.673712828357
51,2020-03-13,0,0,148.55170413881228,12470.336856414173,False,52,14.024786746068642,24940.673712828357
52,2020-03-14,1,1,148.55170413881228,12470.336856414173,False,53,15.154265845481795,24940.673712828357
53,2020-03-15,1,1,148.55170413881228,12470.336856414173,False,54,16.374647218110482,24940.673712828357
54,2020-03-16,2,1,148.55170413881228,12470.336856414173,False,55,17.693236812568905,24940.673712828357
55,2020-03-17,6,5,148.55170413881228,12470.336856414173,False,56,19.117926090280253,24940.673712828357
56,2020-03-18,6,5,148.55170413881228,12470.336856414173,False,57,20.657238668636897,24940.673712828357
57,2020-03-19,9,8,148.55170413881228,12470.336856414173,False,58,22.32038063273034,24940.673712828357
58,2020-03-20,12,11,148.55170413881228,12470.336856414173,False,59,24.117294796262993,24940.673712828357
59,2020-03-21,17,16,148.55170413881228,12470.336856414173,False,60,26.058719212374164,24940.673712828357
60,2020-03-22,19,18,148.55170413881228,12470.336856414173,False,61,28.156250256440995,24940.673712828357
61,2020-03-23,20,19,148.55170413881228,12470.336856414173,False,62,30.42241062548427,24940.673712828357
62,2020-03-24,21,20,148.55170413881228,12470.336856414173,False,63,32.8707226226393,24940.673712828357
63,2020-03-25,24,19,148.55170413881228,12470.336856414173,False,64,35.51578712025292,24940.673712828357
64,2020-03-26,25,20,148.55170413881228,12470.336856414173,False,65,38.373368621540365,24940.673712828357
65,2020-03-27,28,23,148.55170413881228,12470.336856414173,False,66,41.46048686835412,24940.673712828357
66,2020-03-28,34,23,148.55170413881228,12470.336856414173,False,67,44.79551547144564,24940.673712828357
67,2020-03-29,34,23,148.55170413881228,12470.336856414173,False,68,48.39828806957047,24940.673712828357
68,2020-03-30,36,25,148.55170413881228,12470.336856414173,False,69,52.290212554797435,24940.673712828357
69,2020-03-31,38,25,148.55170413881228,12470.336856414173,False,70,56.49439393330429,24940.673712828357
70,2020-04-01,39,26,148.55170413881228,12470.336856414173,False,71,61.0357664235856,24940.673712828357
71,2020-04-02,47,34,148.55170413881228,12470.336856414173,False,72,65.94123542713714,24940.673712828357
72,2020-04-03,50,37,148.55170413881228,12470.336856414173,False,73,71.23983004001114,24940.673712828357
73,2020-04-04,61,44,148.55170413881228,12470.336856414173,False,74,76.9628668067831,24940.673712828357
74,2020-04-05,61,44,148.55170413881228,12470.336856414173,False,75,83.14412545097754,24940.673712828357
75,2020-04-06,70,52,148.55170413881228,12470.336856414173,False,76,89.82003734728713,24940.673712828357
76,2020-04-07,77,57,148.55170413881228,12470.336856414173,False,77,97.02988753030895,24940.673712828357
77,2020-04-08,87,67,148.55170413881228,12470.336856414173,False,78,104.81603106117595,24940.673712828357
78,2020-04-09,95,75,148.55170413881228,12470.336856414173,False,79,113.22412459637896,24940.673712828357
79,2020-04-10,126,106,148.55170413881228,12470.336856414173,False,80,122.3033740210802,24940.673712828357
80,2020-04-11,137,115,148.55170413881228,12470.336856414173,False,81,132.10679902089376,24940.673712828357
81,2020-04-12,155,131,148.55170413881228,12470.336856414173,False,82,142.6915154697952,24940.673712828357
82,2020-04-13,156,132,148.55170413881228,12470.336856414173,False,83,154.11903650558682,24940.673712828357
83,2020-04-14,167,143,148.55170413881228,12470.336856414173,False,84,166.45559314588948,24940.673712828357
84,2020-04-15,180,156,148.55170413881228,12470.336856414173,False,85,179.772475264338,24940.673712828357
85,2020-04-16,196,172,148.55170413881228,12470.336856414173,False,86,194.14639369544344,24940.673712828357
86,2020-04-17,214,186,148.55170413881228,12470.336856414173,False,87,209.65986416392656,24940.673712828357
87,2020-04-18,235,207,148.55170413881228,12470.336856414173,False,88,226.4016136361844,24940.673712828357
88,2020-04-19,257,229,148.55170413881228,12470.336856414173,False,89,244.46700956327444,24940.673712828357
89,2020-04-20,289,261,148.55170413881228,12470.336856414173,False,90,263.95851232116024,24940.673712828357
90,2020-04-21,294,263,148.55170413881228,12470.336856414173,False,91,284.9861509489996,24940.673712828357
91,2020-04-22,316,284,148.55170413881228,12470.336856414173,False,92,307.6680220332878,24940.673712828357
92,2020-04-23,384,343,148.55170413881228,12470.336856414173,False,93,332.13081127726997,24940.673712828357
93,2020-04-24,430,389,148.55170413881228,12470.336856414173,False,94,358.5103369228968,24940.673712828357
94,2020-04-25,473,415,148.55170413881228,12470.336856414173,False,95,386.95211374766336,24940.673712828357
95,2020-04-26,500,436,148.55170413881228,12470.336856414173,False,96,417.61193583102227,24940.673712828357
96,2020-04-27,530,466,148.55170413881228,12470.336856414173,False,97,450.65647566398474,24940.673712828357
97,2020-04-28,530,466,148.55170413881228,12470.336856414173,False,98,486.26389644971346,24940.673712828357
98,2020-04-29,557,479,148.55170413881228,12470.336856414173,False,99,524.6244736003595,24940.673712828357
99,2020-04-30,599,517,148.55170413881228,12470.336856414173,False,100,565.9412204639244,24940.673712828357
100,2020-05-01,644,556,148.55170413881228,12470.336856414173,False,101,610.4305122022142,24940.673712828357
101,2020-05-02,688,599,148.55170413881228,12470.336856414173,False,102,658.3227004750812,24940.673712828357
102,2020-05-03,703,614,148.55170413881228,12470.336856414173,False,103,709.86271015621,24940.673712828357
103,2020-05-04,730,632,148.55170413881228,12470.336856414173,False,104,765.3106077023341,24940.673712828357
104,2020-05-05,763,665,148.55170413881228,12470.336856414173,False,105,824.9421290142043,24940.673712828357
105,2020-05-06,798,691,148.55170413881228,12470.336856414173,False,106,889.0491526608156,24940.673712828357
