,Report_Date,China_yunnan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,174,11.336732576474985,87.61274092784295,True,33,174.5632549595983,175.2254808289255
33,2020-02-24,174,11.336732576474985,87.61274092784295,True,34,174.71306210968348,175.2254808289255
34,2020-02-25,174,11.336732576474985,87.61274092784295,True,35,174.82905725779037,175.2254808289255
35,2020-02-26,174,11.336732576474985,87.61274092784295,True,36,174.9188409655976,175.2254808289255
36,2020-02-27,174,11.336732576474985,87.61274092784295,True,37,174.98831771229356,175.2254808289255
37,2020-02-28,174,11.336732576474985,87.61274092784295,True,38,175.04206936465195,175.2254808289255
38,2020-02-29,174,11.336732576474985,87.61274092784295,True,39,175.0836484420503,175.2254808289255
39,2020-03-01,174,11.336732576474985,87.61274092784295,True,40,175.11580756959128,175.2254808289255
40,2020-03-02,174,11.336732576474985,87.61274092784295,True,41,175.140678509328,175.2254808289255
41,2020-03-03,174,11.336732576474985,87.61274092784295,True,42,175.15991155479935,175.2254808289255
42,2020-03-04,174,11.336732576474985,87.61274092784295,True,43,175.17478388838677,175.2254808289255
43,2020-03-05,174,11.336732576474985,87.61274092784295,True,44,175.18628370720484,175.2254808289255
44,2020-03-06,174,11.336732576474985,87.61274092784295,True,45,175.19517547365905,175.2254808289255
45,2020-03-07,174,11.336732576474985,87.61274092784295,True,46,175.2020504883303,175.2254808289255
46,2020-03-08,174,11.336732576474985,87.61274092784295,True,47,175.20736606448995,175.2254808289255
47,2020-03-09,174,11.336732576474985,87.61274092784295,True,48,175.21147585992446,175.2254808289255
48,2020-03-10,174,11.336732576474985,87.61274092784295,True,49,175.21465335411764,175.2254808289255
49,2020-03-11,174,11.336732576474985,87.61274092784295,True,50,175.21711001509792,175.2254808289255
50,2020-03-12,174,11.336732576474985,87.61274092784295,True,51,175.21900935425563,175.2254808289255
51,2020-03-13,174,11.336732576474985,87.61274092784295,True,52,175.2204777981793,175.2254808289255
52,2020-03-14,174,11.336732576474985,87.61274092784295,True,53,175.22161309734136,175.2254808289255
53,2020-03-15,174,11.336732576474985,87.61274092784295,True,54,175.2224908290826,175.2254808289255
54,2020-03-16,176,11.336732576474985,87.61274092784295,True,55,175.22316942643144,175.2254808289255
55,2020-03-17,176,11.336732576474985,87.61274092784295,True,56,175.22369406671987,175.2254808289255
56,2020-03-18,176,11.336732576474985,87.61274092784295,True,57,175.22409967838914,175.2254808289255
57,2020-03-19,176,11.336732576474985,87.61274092784295,True,58,175.22441326587318,175.2254808289255
58,2020-03-20,176,11.336732576474985,87.61274092784295,True,59,175.2246557071687,175.2254808289255
59,2020-03-21,176,11.336732576474985,87.61274092784295,True,60,175.22484314366554,175.2254808289255
60,2020-03-22,176,11.336732576474985,87.61274092784295,True,61,175.22498805470772,175.2254808289255
61,2020-03-23,176,11.336732576474985,87.61274092784295,True,62,175.2251000883909,175.2254808289255
62,2020-03-24,176,11.336732576474985,87.61274092784295,True,63,175.22518670388823,175.2254808289255
63,2020-03-25,176,11.336732576474985,87.61274092784295,True,64,175.22525366805684,175.2254808289255
64,2020-03-26,178,11.336732576474985,87.61274092784295,True,65,175.22530543938095,175.2254808289255
65,2020-03-27,180,11.336732576474985,87.61274092784295,True,66,175.22534546481015,175.2254808289255
66,2020-03-28,180,11.336732576474985,87.61274092784295,True,67,175.22537640925322,175.2254808289255
67,2020-03-29,180,11.336732576474985,87.61274092784295,True,68,175.2254003330059,175.2254808289255
68,2020-03-30,180,11.336732576474985,87.61274092784295,True,69,175.22541882892452,175.2254808289255
69,2020-03-31,182,11.336732576474985,87.61274092784295,True,70,175.22543312847827,175.2254808289255
70,2020-04-01,182,11.336732576474985,87.61274092784295,True,71,175.22544418374042,175.2254808289255
71,2020-04-02,183,11.336732576474985,87.61274092784295,True,72,175.22545273077756,175.2254808289255
72,2020-04-03,184,11.336732576474985,87.61274092784295,True,73,175.22545933865723,175.2254808289255
73,2020-04-04,184,11.336732576474985,87.61274092784295,True,74,175.22546444733663,175.2254808289255
74,2020-04-05,184,11.336732576474985,87.61274092784295,True,75,175.22546839695536,175.2254808289255
