,Report_Date,Holy See_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,0,66.0659881453778,4.3198933569124645,True,35,0.03832120990569552,8.584333670838559
35,2020-02-26,0,66.0659881453778,4.3198933569124645,True,36,0.04557792696797529,8.584333670838559
36,2020-02-27,0,66.0659881453778,4.3198933569124645,True,37,0.054200157231181684,8.584333670838559
37,2020-02-28,0,66.0659881453778,4.3198933569124645,True,38,0.06444127234730716,8.584333670838559
38,2020-02-29,0,66.0659881453778,4.3198933569124645,True,39,0.07660018080605759,8.584333670838559
39,2020-03-01,0,66.0659881453778,4.3198933569124645,True,40,0.09102890347281893,8.584333670838559
40,2020-03-02,0,66.0659881453778,4.3198933569124645,True,41,0.10814115651468774,8.584333670838559
41,2020-03-03,0,66.0659881453778,4.3198933569124645,True,42,0.12842196620528604,8.584333670838559
42,2020-03-04,0,66.0659881453778,4.3198933569124645,True,43,0.15243828413492447,8.584333670838559
43,2020-03-05,0,66.0659881453778,4.3198933569124645,True,44,0.180850485253023,8.584333670838559
44,2020-03-06,1,66.0659881453778,4.3198933569124645,True,45,0.21442450461094106,8.584333670838559
45,2020-03-07,1,66.0659881453778,4.3198933569124645,True,46,0.25404418947182544,8.584333670838559
46,2020-03-08,1,66.0659881453778,4.3198933569124645,True,47,0.30072319827568805,8.584333670838559
47,2020-03-09,1,66.0659881453778,4.3198933569124645,True,48,0.35561545398892414,8.584333670838559
48,2020-03-10,1,66.0659881453778,4.3198933569124645,True,49,0.4200227475717875,8.584333670838559
49,2020-03-11,1,66.0659881453778,4.3198933569124645,True,50,0.4953975878078365,8.584333670838559
50,2020-03-12,1,66.0659881453778,4.3198933569124645,True,51,0.583338824287111,8.584333670838559
51,2020-03-13,1,66.0659881453778,4.3198933569124645,True,52,0.6855769779592773,8.584333670838559
52,2020-03-14,1,66.0659881453778,4.3198933569124645,True,53,0.8039456892473661,8.584333670838559
53,2020-03-15,1,66.0659881453778,4.3198933569124645,True,54,0.9403353868371672,8.584333670838559
54,2020-03-16,1,66.0659881453778,4.3198933569124645,True,55,1.0966254088802194,8.584333670838559
55,2020-03-17,1,66.0659881453778,4.3198933569124645,True,56,1.27459165309832,8.584333670838559
56,2020-03-18,1,66.0659881453778,4.3198933569124645,True,57,1.475788701149401,8.584333670838559
57,2020-03-19,1,66.0659881453778,4.3198933569124645,True,58,1.7014085104252608,8.584333670838559
58,2020-03-20,1,66.0659881453778,4.3198933569124645,True,59,1.9521222606498496,8.584333670838559
59,2020-03-21,1,66.0659881453778,4.3198933569124645,True,60,2.227917488738105,8.584333670838559
60,2020-03-22,1,66.0659881453778,4.3198933569124645,True,61,2.527948423655144,8.584333670838559
61,2020-03-23,1,66.0659881453778,4.3198933569124645,True,62,2.8504220438776677,8.584333670838559
62,2020-03-24,4,66.0659881453778,4.3198933569124645,True,63,3.1925440191541457,8.584333670838559
63,2020-03-25,4,66.0659881453778,4.3198933569124645,True,64,3.5505456418903347,8.584333670838559
64,2020-03-26,4,66.0659881453778,4.3198933569124645,True,65,3.919804198197708,8.584333670838559
65,2020-03-27,4,66.0659881453778,4.3198933569124645,True,66,4.295055625593531,8.584333670838559
66,2020-03-28,6,66.0659881453778,4.3198933569124645,True,67,4.67068227557872,8.584333670838559
67,2020-03-29,6,66.0659881453778,4.3198933569124645,True,68,5.041044080460284,8.584333670838559
68,2020-03-30,6,66.0659881453778,4.3198933569124645,True,69,5.400812518596139,8.584333670838559
69,2020-03-31,6,66.0659881453778,4.3198933569124645,True,70,5.745266186136998,8.584333670838559
70,2020-04-01,6,66.0659881453778,4.3198933569124645,True,71,6.0705146987427705,8.584333670838559
71,2020-04-02,7,66.0659881453778,4.3198933569124645,True,72,6.373631645142697,8.584333670838559
72,2020-04-03,7,66.0659881453778,4.3198933569124645,True,73,6.652693388306761,8.584333670838559
73,2020-04-04,7,66.0659881453778,4.3198933569124645,True,74,6.90673461660801,8.584333670838559
74,2020-04-05,7,66.0659881453778,4.3198933569124645,True,75,7.135640932961941,8.584333670838559
75,2020-04-06,7,66.0659881453778,4.3198933569124645,True,76,7.340002540539732,8.584333670838559
76,2020-04-07,7,66.0659881453778,4.3198933569124645,True,77,7.52095197507053,8.584333670838559
77,2020-04-08,8,66.0659881453778,4.3198933569124645,True,78,7.6800045071991505,8.584333670838559
78,2020-04-09,8,66.0659881453778,4.3198933569124645,True,79,7.818914122222692,8.584333670838559
79,2020-04-10,8,66.0659881453778,4.3198933569124645,True,80,7.939552348122452,8.584333670838559
80,2020-04-11,8,66.0659881453778,4.3198933569124645,True,81,8.043812542985007,8.584333670838559
81,2020-04-12,8,66.0659881453778,4.3198933569124645,True,82,8.133538925307558,8.584333670838559
82,2020-04-13,8,66.0659881453778,4.3198933569124645,True,83,8.210477605150986,8.584333670838559
83,2020-04-14,8,66.0659881453778,4.3198933569124645,True,84,8.276245911725603,8.584333670838559
84,2020-04-15,8,66.0659881453778,4.3198933569124645,True,85,8.33231610704612,8.584333670838559
