,Report_Date,Indonesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
65,2020-03-27,1046,87.13294349637438,5904.985307427372,True,66,929.2147778076474,10498.611516807045
66,2020-03-28,1155,87.13294349637438,5904.985307427372,True,67,1033.903994074458,10498.611516807045
67,2020-03-29,1285,87.13294349637438,5904.985307427372,True,68,1149.1422658993317,10498.611516807045
68,2020-03-30,1414,87.13294349637438,5904.985307427372,True,69,1275.704362967859,10498.611516807045
69,2020-03-31,1528,87.13294349637438,5904.985307427372,True,70,1414.3562467433908,10498.611516807045
70,2020-04-01,1677,87.13294349637438,5904.985307427372,True,71,1565.8377438557948,10498.611516807045
71,2020-04-02,1790,87.13294349637438,5904.985307427372,True,72,1730.8420638051207,10498.611516807045
72,2020-04-03,1986,87.13294349637438,5904.985307427372,True,73,1909.992248230099,10498.611516807045
73,2020-04-04,2092,87.13294349637438,5904.985307427372,True,74,2103.814856633641,10498.611516807045
74,2020-04-05,2273,87.13294349637438,5904.985307427372,True,75,2312.7114604761164,10498.611516807045
75,2020-04-06,2491,87.13294349637438,5904.985307427372,True,76,2536.92882443241,10498.611516807045
76,2020-04-07,2738,87.13294349637438,5904.985307427372,True,77,2776.5289816353447,10498.611516807045
77,2020-04-08,2956,87.13294349637438,5904.985307427372,True,78,3031.360729876665,10498.611516807045
78,2020-04-09,3293,87.13294349637438,5904.985307427372,True,79,3301.0343491207877,10498.611516807045
79,2020-04-10,3512,87.13294349637438,5904.985307427372,True,80,3584.90152114913,10498.611516807045
80,2020-04-11,3842,87.13294349637438,5904.985307427372,True,81,3882.042471458763,10498.611516807045
81,2020-04-12,4241,87.13294349637438,5904.985307427372,True,82,4191.262209078238,10498.611516807045
82,2020-04-13,4557,87.13294349637438,5904.985307427372,True,83,4511.097384133773,10498.611516807045
83,2020-04-14,4839,87.13294349637438,5904.985307427372,True,84,4839.834712602515,10498.611516807045
84,2020-04-15,5136,87.13294349637438,5904.985307427372,True,85,5175.541161009293,10498.611516807045
85,2020-04-16,5516,87.13294349637438,5904.985307427372,True,86,5516.105202894853,10498.611516807045
86,2020-04-17,5923,87.13294349637438,5904.985307427372,True,87,5859.287545069844,10498.611516807045
87,2020-04-18,6248,87.13294349637438,5904.985307427372,True,88,6202.7788840743,10498.611516807045
88,2020-04-19,6575,87.13294349637438,5904.985307427372,True,89,6544.26160144959,10498.611516807045
89,2020-04-20,6760,87.13294349637438,5904.985307427372,True,90,6881.471930829021,10498.611516807045
90,2020-04-21,7135,87.13294349637438,5904.985307427372,True,91,7212.2590843778435,10498.611516807045
91,2020-04-22,7418,87.13294349637438,5904.985307427372,True,92,7534.638117374879,10498.611516807045
92,2020-04-23,7775,87.13294349637438,5904.985307427372,True,93,7846.833895692758,10498.611516807045
93,2020-04-24,8211,87.13294349637438,5904.985307427372,True,94,8147.314329385962,10498.611516807045
94,2020-04-25,8607,87.13294349637438,5904.985307427372,True,95,8434.811940153168,10498.611516807045
